experiment_id,dag_size,method,identifiability,adjustment_set,true_parents,nb_CI_tests
100_54,100,pc,True,"['34', '73', '41', '1']","['1', '41']",18752
100_54,100,CMB,True,"['75', '85', '41', '62', '99']","['1', '41']",2149
100_54,100,MBbyMB,True,"['75', '41', '99']","['1', '41']",9523
100_55,100,locpc,True,"['46', '27', '34', '93']","['27', '46']",1540
100_55,100,ldecc,False,,"['27', '46']",14457
100_55,100,pc,True,"['93', '46', '27', '34']","['27', '46']",21230
100_55,100,CMB,True,['0'],"['27', '46']",24901
100_55,100,MBbyMB,True,"['34', '95']","['27', '46']",6157
100_56,100,locpc,True,"['43', '62']","['43', '62']",1686
100_56,100,ldecc,True,"['43', '83', '62']","['43', '62']",566
100_56,100,pc,True,"['62', '43']","['43', '62']",23340
100_56,100,CMB,True,['9'],"['43', '62']",12242
100_56,100,MBbyMB,True,"['19', '84', '74', '42', '33']","['43', '62']",18272
100_57,100,locpc,True,"['0', '23']","['0', '23']",655
100_57,100,ldecc,True,"['23', '0']","['0', '23']",317
100_57,100,pc,True,"['0', '23']","['0', '23']",21586
100_57,100,CMB,True,"['96', '75', '23', '9']","['0', '23']",1394
100_57,100,MBbyMB,True,"['96', '75', '56', '23', '9']","['0', '23']",14283
100_58,100,locpc,True,"['71', '57', '56', '74']","['71', '74']",1193
100_58,100,ldecc,False,,"['71', '74']",13335
100_58,100,pc,True,"['57', '74', '71', '56']","['71', '74']",16183
100_58,100,CMB,True,"['28', '34', '56', '92', '67', '46', '41', '86']","['71', '74']",33002
100_58,100,MBbyMB,True,"['38', '72', '92']","['71', '74']",36957
100_59,100,locpc,True,"['27', '94']","['27', '94']",1702
100_59,100,ldecc,True,"['27', '94']","['27', '94']",9423
100_59,100,pc,True,"['94', '27']","['27', '94']",25737
100_59,100,CMB,True,"['53', '95', '40', '38', '36', '49']","['27', '94']",11586
100_59,100,MBbyMB,True,"['95', '49']","['27', '94']",14803
100_60,100,locpc,True,"['52', '35', '6']","['6', '35', '52']",886
100_60,100,ldecc,True,"['6', '35', '52']","['6', '35', '52']",357
100_60,100,pc,True,"['35', '52', '6']","['6', '35', '52']",20457
100_60,100,CMB,True,"['35', '38', '42', '56', '84']","['6', '35', '52']",11622
100_60,100,MBbyMB,True,"['35', '42', '58']","['6', '35', '52']",10473
100_61,100,locpc,True,"['24', '13', '47']","['13', '24', '47']",549
100_61,100,ldecc,True,"['13', '47', '24']","['13', '24', '47']",332
100_61,100,pc,True,"['47', '24', '13']","['13', '24', '47']",28460
100_61,100,CMB,True,"['2', '78', '81', '9']","['13', '24', '47']",1026
100_61,100,MBbyMB,True,[],"['13', '24', '47']",11711
100_62,100,locpc,True,"['92', '4', '71', '41']","['41', '71']",876
100_62,100,ldecc,False,,"['41', '71']",18055
100_62,100,pc,True,"['4', '92', '41', '71']","['41', '71']",27527
100_62,100,CMB,True,"['4', '41', '2', '0', '25']","['41', '71']",4407
100_62,100,MBbyMB,True,"['4', '41', '97', '2', '25', '68']","['41', '71']",13740
100_63,100,locpc,True,"['41', '5']","['5', '41']",1233
100_63,100,ldecc,True,"['41', '5', '60']","['5', '41']",2909
100_63,100,pc,True,"['5', '41']","['5', '41']",23305
100_63,100,CMB,True,['19'],"['5', '41']",7635
100_63,100,MBbyMB,True,"['18', '41', '95']","['5', '41']",9376
100_64,100,locpc,True,"['23', '71', '91']","['71', '91']",2206
100_64,100,ldecc,True,"['91', '71']","['71', '91']",512
100_64,100,pc,True,"['71', '91', '23']","['71', '91']",29352
100_64,100,CMB,True,"['36', '53', '71', '84', '62', '48']","['71', '91']",13159
100_64,100,MBbyMB,True,"['53', '71', '28', '84', '60', '38']","['71', '91']",14610
100_65,100,locpc,True,"['8', '56', '46']","['8', '56']",867
100_65,100,ldecc,True,"['56', '8', '46']","['8', '56']",244
100_65,100,pc,True,"['46', '56', '8']","['8', '56']",20394
100_65,100,CMB,True,"['8', '29', '0', '46', '14', '37', '60']","['8', '56']",3035
100_65,100,MBbyMB,True,"['8', '29', '0', '46', '41', '37']","['8', '56']",15615
100_66,100,locpc,True,"['90', '99']","['90', '99']",2180
100_66,100,ldecc,True,"['43', '90', '99']","['90', '99']",2703
100_66,100,pc,True,"['99', '90']","['90', '99']",21852
100_66,100,CMB,True,"['99', '44', '43']","['90', '99']",2287
100_66,100,MBbyMB,True,"['5', '35', '3', '99', '44', '43']","['90', '99']",6364
100_67,100,locpc,True,"['99', '52']","['52', '99']",509
100_67,100,ldecc,True,"['52', '99']","['52', '99']",315
100_67,100,pc,True,"['99', '52']","['52', '99']",20306
100_67,100,CMB,True,"['52', '93', '36']","['52', '99']",673
100_67,100,MBbyMB,True,"['52', '93']","['52', '99']",7549
100_68,100,locpc,True,"['24', '69']","['24', '69']",2952
100_68,100,ldecc,True,"['69', '24']","['24', '69']",389
100_68,100,pc,True,"['24', '69']","['24', '69']",24189
100_68,100,CMB,True,"['24', '69', '33']","['24', '69']",2528
100_68,100,MBbyMB,True,"['24', '47', '59', '19', '17', '92', '69', '33']","['24', '69']",10865
100_69,100,locpc,True,"['62', '80', '21']","['21', '62', '80']",819
100_69,100,ldecc,False,,"['21', '62', '80']",15185
100_69,100,pc,True,"['21', '80', '62']","['21', '62', '80']",19904
100_69,100,CMB,True,"['42', '69', '72', '21', '76', '38']","['21', '62', '80']",14298
100_69,100,MBbyMB,True,"['9', '60', '61', '69', '21', '76', '38']","['21', '62', '80']",21154
100_70,100,locpc,True,"['2', '8']","['2', '8']",1527
100_70,100,ldecc,True,"['2', '8']","['2', '8']",5278
100_70,100,pc,True,"['8', '2']","['2', '8']",22539
100_70,100,CMB,True,"['2', '8', '35']","['2', '8']",1603
100_70,100,MBbyMB,True,"['2', '51', '65', '28', '66', '8', '14', '35']","['2', '8']",7378
100_71,100,locpc,True,"['2', '41']","['2', '41']",1775
100_71,100,ldecc,True,"['41', '2']","['2', '41']",429
100_71,100,pc,True,"['41', '2']","['2', '41']",28036
100_71,100,CMB,True,"['2', '75', '41']","['2', '41']",6253
100_71,100,MBbyMB,True,"['1', '2', '81', '98', '75', '41', '91']","['2', '41']",8651
100_72,100,locpc,True,"['4', '97']","['4', '97']",339
100_72,100,ldecc,True,"['97', '4']","['4', '97']",310
100_72,100,pc,True,"['4', '97']","['4', '97']",28751
100_72,100,CMB,True,"['4', '97', '99']","['4', '97']",542
100_72,100,MBbyMB,True,"['4', '97']","['4', '97']",4930
100_73,100,locpc,True,"['49', '1', '33', '67', '5']","['1', '5', '33', '49', '67']",2110
100_73,100,ldecc,True,"['1', '33', '5', '67']","['1', '5', '33', '49', '67']",730
100_73,100,pc,True,"['49', '5', '1', '33', '67']","['1', '5', '33', '49', '67']",27731
100_73,100,CMB,True,"['1', '33', '39', '10', '49', '69']","['1', '5', '33', '49', '67']",1573
100_73,100,MBbyMB,True,"['1', '9', '33', '80', '35', '10', '49', '8', '58', '20', '61']","['1', '5', '33', '49', '67']",22387
100_74,100,locpc,True,"['59', '85', '67']","['59', '67', '85']",1421
100_74,100,ldecc,True,"['59', '67']","['59', '67', '85']",9682
100_74,100,pc,True,"['85', '59', '67']","['59', '67', '85']",20979
100_74,100,CMB,True,"['71', '58', '67', '1', '48']","['59', '67', '85']",4699
100_74,100,MBbyMB,True,"['58', '67']","['59', '67', '85']",8226
100_75,100,locpc,True,"['94', '97']","['94', '97']",1040
100_75,100,ldecc,False,,"['94', '97']",15548
100_75,100,pc,True,"['7', '94', '97']","['94', '97']",23083
100_75,100,CMB,True,['27'],"['94', '97']",70004
100_75,100,MBbyMB,True,"['48', '88', '6', '28', '77', '7', '92']","['94', '97']",11696
