experiment_id,dag_size,method,identifiability,adjustment_set,true_parents,nb_CI_tests
10_80,10,locpc,True,"['0', '8']","['0', '8']",402
10_80,10,pc,True,"['0', '8']","['0', '8']",914
10_81,10,locpc,True,"['9', '1', '3']","['1', '3', '9']",119
10_81,10,pc,True,"['9', '1', '3']","['1', '3', '9']",182
10_82,10,locpc,True,"['0', '8', '6']","['0', '6', '8']",124
10_82,10,pc,True,"['0', '8', '6']","['0', '6', '8']",352
10_83,10,locpc,True,"['5', '9']","['5', '9']",148
10_83,10,pc,True,"['9', '5']","['5', '9']",455
10_84,10,locpc,True,"['0', '2']","['0', '2']",185
10_84,10,pc,True,"['0', '2']","['0', '2']",588
10_85,10,locpc,False,,"['1', '6', '8']",530
10_85,10,pc,True,"['8', '0']","['1', '6', '8']",1105
10_86,10,locpc,True,['3'],['3'],347
10_86,10,pc,True,['3'],['3'],455
10_87,10,locpc,True,"['0', '3']","['0', '3']",99
10_87,10,pc,True,"['0', '3']","['0', '3']",228
10_88,10,locpc,True,"['4', '9', '6', '0']","['0', '2', '4', '6', '9']",505
10_88,10,pc,True,"['4', '9', '6', '0']","['0', '2', '4', '6', '9']",809
10_89,10,locpc,True,"['8', '6']","['6', '8']",120
10_89,10,pc,True,"['8', '6']","['6', '8']",430
10_90,10,locpc,True,"['5', '0']","['0', '5']",91
10_90,10,pc,True,"['0', '5']","['0', '5']",245
10_91,10,locpc,True,"['5', '0']","['0', '5']",151
10_91,10,pc,True,"['5', '0']","['0', '5']",457
10_92,10,locpc,True,"['4', '9']","['4', '9']",163
10_92,10,pc,True,"['9', '4']","['4', '9']",530
10_93,10,locpc,True,"['3', '0']","['0', '3']",94
10_93,10,pc,True,"['3', '0']","['0', '3']",211
10_94,10,locpc,True,"['1', '8']","['1', '8']",123
10_94,10,pc,True,"['1', '8']","['1', '8']",242
10_95,10,locpc,True,"['4', '6']","['6', '7']",483
10_95,10,pc,True,[],"['6', '7']",716
10_96,10,locpc,True,"['0', '2']",['0'],192
10_96,10,pc,True,"['2', '0']",['0'],648
10_97,10,locpc,True,"['2', '5', '1']","['1', '2', '5']",239
10_97,10,pc,True,"['2', '5', '1']","['1', '2', '5']",626
10_98,10,locpc,True,"['5', '1']","['1', '5']",71
10_98,10,pc,True,"['5', '1']","['1', '5']",217
10_99,10,locpc,True,"['0', '8']","['0', '8']",81
10_99,10,pc,True,"['0', '8']","['0', '8']",231
20_0,20,locpc,True,"['4', '6', '10', '13', '15']","['4', '6', '10', '13', '15']",780
20_0,20,pc,True,"['13', '15', '6', '10', '4']","['4', '6', '10', '13', '15']",1125
20_1,20,locpc,True,"['4', '7']","['4', '7']",469
20_1,20,pc,True,"['7', '4']","['4', '7']",2132
20_2,20,locpc,True,"['7', '2']","['2', '7']",201
20_2,20,pc,True,"['7', '2']","['2', '7']",1507
20_3,20,locpc,True,['4'],['4'],427
20_3,20,pc,True,['4'],['4'],2231
