experiment_id,dag_size,method,identifiability,adjustment_set,true_parents,nb_CI_tests
100_16,100,ldecc,True,"['53', '10', '14']","['10', '14', '53']",1361
100_16,100,pc,True,"['53', '10', '14']","['10', '14', '53']",29005
100_16,100,CMB,True,"['29', '85', '18', '90', '5', '17', '91', '80']","['10', '14', '53']",7247
100_16,100,MBbyMB,True,[],"['10', '14', '53']",26015
100_17,100,locpc,True,['3'],['3'],5695
100_17,100,ldecc,True,"['4', '3']",['3'],14815
100_17,100,pc,True,['3'],['3'],24090
100_17,100,CMB,True,[],['3'],11241
100_17,100,MBbyMB,True,"['47', '7', '3', '4']",['3'],3191
100_18,100,locpc,True,"['83', '42']","['44', '83']",1611
100_18,100,ldecc,True,['83'],"['44', '83']",8966
100_18,100,pc,True,"['44', '42', '83']","['44', '83']",28539
100_18,100,CMB,True,"['7', '13', '44', '99']","['44', '83']",6718
100_18,100,MBbyMB,True,"['77', '55', '44']","['44', '83']",13401
100_19,100,locpc,True,"['38', '27', '99']","['38', '99']",1598
100_19,100,ldecc,False,,"['38', '99']",17879
100_19,100,pc,True,"['38', '27', '99']","['38', '99']",26995
100_19,100,CMB,True,"['72', '96', '27', '4', '86']","['38', '99']",10816
100_19,100,MBbyMB,True,[],"['38', '99']",19152
100_20,100,locpc,True,"['77', '98', '99', '51']","['77', '98']",1630
100_20,100,ldecc,True,"['99', '77', '51', '98']","['77', '98']",684
100_20,100,pc,True,"['99', '51', '77', '98']","['77', '98']",24458
100_20,100,CMB,True,"['98', '61', '77', '74']","['77', '98']",2169
100_20,100,MBbyMB,True,"['7', '98', '65', '53']","['77', '98']",16461
100_21,100,locpc,True,"['69', '15', '8']","['15', '50']",2689
100_21,100,ldecc,True,"['70', '39']","['15', '50']",14065
100_21,100,pc,True,"['15', '69', '8']","['15', '50']",25287
100_21,100,CMB,True,['70'],"['15', '50']",22977
100_21,100,MBbyMB,True,"['42', '18', '24', '53', '69']","['15', '50']",11862
100_22,100,locpc,True,[],['40'],697
100_22,100,ldecc,True,[],['40'],9929
100_22,100,pc,True,['29'],['40'],29634
100_22,100,CMB,True,['47'],['40'],15256
100_22,100,MBbyMB,True,"['5', '29']",['40'],9752
100_23,100,locpc,True,[],['12'],3495
100_23,100,ldecc,True,[],['12'],9624
100_23,100,pc,True,[],['12'],23687
100_23,100,CMB,True,['39'],['12'],33015
100_23,100,MBbyMB,True,"['88', '89']",['12'],16377
100_24,100,locpc,True,"['18', '57', '20']","['20', '57']",2412
100_24,100,ldecc,True,[],"['20', '57']",18625
100_24,100,pc,True,"['18', '57', '20']","['20', '57']",29169
100_24,100,CMB,True,"['18', '92', '10', '94', '34', '63']","['20', '57']",11694
100_24,100,MBbyMB,True,[],"['20', '57']",13521
100_25,100,locpc,True,['12'],['12'],1965
100_25,100,ldecc,True,"['12', '8', '18']",['12'],4352
100_25,100,pc,True,['12'],['12'],24541
100_25,100,CMB,True,['77'],['12'],44284
100_25,100,MBbyMB,True,"['47', '39', '8']",['12'],17278
100_26,100,locpc,True,[],['49'],1874
100_26,100,ldecc,True,[],['49'],9895
100_26,100,pc,True,[],['49'],26411
100_26,100,CMB,True,"['31', '21', '70']",['49'],913
100_26,100,MBbyMB,True,['70'],['49'],16619
100_27,100,locpc,True,[],"['12', '82']",290
100_27,100,ldecc,True,['40'],"['12', '82']",3403
100_27,100,pc,True,"['40', '4', '12', '48']","['12', '82']",25577
100_27,100,CMB,True,"['82', '12', '4']","['12', '82']",6900
100_27,100,MBbyMB,True,"['10', '66', '82', '2', '42', '12', '53', '35', '48']","['12', '82']",18463
100_28,100,locpc,True,"['64', '56']",['64'],854
100_28,100,ldecc,True,"['56', '64']",['64'],2731
100_28,100,pc,True,"['64', '56']",['64'],20053
100_28,100,CMB,True,"['64', '56']",['64'],122
100_28,100,MBbyMB,True,"['64', '51', '56']",['64'],2821
100_29,100,locpc,True,"['4', '59']","['4', '59', '71']",2136
100_29,100,ldecc,True,"['59', '71', '4']","['4', '59', '71']",9329
100_29,100,pc,True,"['4', '59']","['4', '59', '71']",21071
