construction,goods,targeted_greedy_prop1,algorithm1_prop1
G2 construction,176,0.022727,1.000000
G2 construction,180,0.022222,1.000000
G2 construction,184,0.021739,1.000000
G2 construction,188,0.021277,1.000000
G2 construction,192,0.020833,1.000000
G2 construction,196,0.020408,1.000000
G2 construction,200,0.020000,1.000000
G2 construction,204,0.019608,1.000000
G2 construction,208,0.019231,1.000000
G2 construction,212,0.018868,1.000000
G2 construction,216,0.018519,1.000000
G2 construction,220,0.018182,1.000000
G2 construction,224,0.017857,1.000000
G2 construction,228,0.017544,1.000000
G2 construction,232,0.017241,1.000000
G2 construction,236,0.016949,1.000000
G2 construction,240,0.016667,1.000000
G2 construction,244,0.016393,1.000000
G2 construction,248,0.016129,1.000000
G2 construction,252,0.015873,1.000000
G2 construction,256,0.015625,1.000000
G2 construction,260,0.015385,1.000000
G2 construction,264,0.015152,1.000000
G2 construction,268,0.014925,1.000000
G2 construction,272,0.014706,1.000000
G2 construction,276,0.014493,1.000000
G2 construction,280,0.014286,1.000000
G2 construction,284,0.014085,1.000000
G2 construction,288,0.013889,1.000000
G2 construction,292,0.013699,1.000000
G2 construction,296,0.013514,1.000000
G2 construction,300,0.013333,1.000000
G2 construction,304,0.013158,1.000000
G2 construction,308,0.012987,1.000000
G2 construction,312,0.012821,1.000000
G2 construction,316,0.012658,1.000000
G2 construction,320,0.012500,1.000000
G2 construction,324,0.012346,1.000000
G2 construction,328,0.012195,1.000000
G2 construction,332,0.012048,1.000000
G2 construction,336,0.011905,1.000000
G2 construction,340,0.011765,1.000000
G2 construction,344,0.011628,1.000000
G2 construction,348,0.011494,1.000000
G2 construction,352,0.011364,1.000000
G2 construction,356,0.011236,1.000000
G2 construction,360,0.011111,1.000000
G2 construction,364,0.010989,1.000000
G2 construction,368,0.010870,1.000000
G2 construction,372,0.010753,1.000000
G2 construction,376,0.010638,1.000000
G2 construction,380,0.010526,1.000000
G2 construction,384,0.010417,1.000000
G2 construction,388,0.010309,1.000000
G2 construction,392,0.010204,1.000000
G2 construction,396,0.010101,1.000000
G2 construction,400,0.010000,1.000000
G2 construction,404,0.009901,1.000000
G2 construction,408,0.009804,1.000000
G2 construction,412,0.009709,1.000000
G2 construction,416,0.009615,1.000000
G2 construction,420,0.009524,1.000000
G2 construction,424,0.009434,1.000000
G2 construction,428,0.009346,1.000000
G2 construction,432,0.009259,1.000000
G2 construction,436,0.009174,1.000000
G2 construction,440,0.009091,1.000000
G2 construction,444,0.009009,1.000000
G2 construction,448,0.008929,1.000000
G2 construction,452,0.008850,1.000000
G2 construction,456,0.008772,1.000000
G2 construction,460,0.008696,1.000000
G2 construction,464,0.008621,1.000000
G2 construction,468,0.008547,1.000000
G2 construction,472,0.008475,1.000000
G2 construction,476,0.008403,1.000000
G2 construction,480,0.008333,1.000000
G2 construction,484,0.008264,1.000000
G2 construction,488,0.008197,1.000000
G2 construction,492,0.008130,1.000000
G2 construction,496,0.008065,1.000000
G2 construction,500,0.008000,1.000000
G3 construction,6,1.000000,1.000000
G3 construction,8,1.000000,1.000000
G3 construction,11,1.000000,1.000000
G3 construction,15,0.888889,1.000000
G3 construction,20,0.833333,1.000000
G3 construction,24,0.800000,1.000000
G3 construction,28,0.774194,1.000000
G3 construction,32,0.750000,1.000000
G3 construction,37,0.717949,1.000000
G3 construction,42,0.700000,1.000000
G3 construction,47,0.680851,1.000000
G3 construction,53,0.653061,1.000000
G3 construction,60,0.631579,1.000000
G3 construction,67,0.610169,1.000000
G3 construction,74,0.597015,1.000000
G3 construction,81,0.579710,1.000000
G3 construction,88,0.571429,1.000000
G3 construction,94,0.564103,1.000000
G3 construction,101,0.551724,1.000000
G3 construction,108,0.545455,1.000000
G3 construction,115,0.536082,1.000000
G3 construction,122,0.530612,1.000000
G3 construction,129,0.523364,1.000000
G3 construction,137,0.513761,1.000000
G3 construction,145,0.508475,1.000000
G3 construction,153,0.500000,1.000000
G3 construction,161,0.496124,1.000000
G3 construction,169,0.488550,1.000000
G3 construction,178,0.482270,1.000000
G3 construction,186,0.478873,1.000000
G3 construction,194,0.473684,1.000000
G3 construction,203,0.467532,1.000000
G3 construction,212,0.463415,1.000000
G3 construction,220,0.460606,1.000000
G3 construction,228,0.457143,1.000000
G3 construction,236,0.454545,1.000000
G3 construction,244,0.451613,1.000000
G3 construction,253,0.446809,1.000000
G3 construction,262,0.444444,1.000000
G3 construction,271,0.440000,1.000000
G3 construction,281,0.436019,1.000000
G3 construction,291,0.431925,1.000000
G3 construction,301,0.428571,1.000000
G3 construction,310,0.426667,1.000000
G3 construction,319,0.423729,1.000000
G3 construction,329,0.420168,1.000000
G3 construction,339,0.417671,1.000000
G3 construction,349,0.414343,1.000000
G3 construction,359,0.412214,1.000000
G3 construction,368,0.410646,1.000000
G3 construction,377,0.408759,1.000000
G3 construction,386,0.407273,1.000000
G3 construction,395,0.405594,1.000000
G3 construction,405,0.402778,1.000000
G3 construction,415,0.401338,1.000000
G3 construction,424,0.400000,1.000000
G3 construction,433,0.398714,1.000000
G3 construction,443,0.396166,1.000000
G3 construction,454,0.393846,1.000000
G3 construction,465,0.391437,1.000000
G3 construction,476,0.389381,1.000000
G3 construction,486,0.388235,1.000000
G3 construction,496,0.386364,1.000000
G3 construction,506,0.385269,1.000000
