Word,Auditory.mean,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,Foot_leg.mean,Hand_arm.mean,Head.mean,Mouth.mean,Torso.mean,Auditory.SD,Gustatory.SD,Haptic.SD,Interoceptive.SD,Olfactory.SD,Visual.SD,Foot_leg.SD,Hand_arm.SD,Head.SD,Mouth.SD,Torso.SD,Max_strength.perceptual,Minkowski3.perceptual,Exclusivity.perceptual,Dominant.perceptual,Max_strength.action,Minkowski3.action,Exclusivity.action,Dominant.action,Max_strength.sensorimotor,Minkowski3.sensorimotor,Exclusivity.sensorimotor,Dominant.sensorimotor,N_known.perceptual,List_N.perceptual,Percent_known.perceptual,N_known.action,List_N.action,Percent_known.action,Mean_age.perceptual,Mean_age.action,List#.perceptual,List#.action
ABIDINGLY,1.583333333,0.083333333,0.166666667,1.583333333,0.083333333,1.75,0.705882353,0.647058824,1.352941176,1.117647059,0.647058824,1.831955405,0.288675135,0.389249472,1.880924982,0.288675135,1.815338686,1.212678125,1.169464432,1.800735144,1.576481563,1.169464432,1.75,2.369511281,0.317460317,Visual,1.352941176,1.682888393,0.157894737,Head,1.75,2.624131843,0.171457388,Visual,12,19,0.631578947,17,20,0.85,37.25,37.58823529,PN_Sample_390.csv,MN_sample_390.csv
ABILITY,1.222222222,0.277777778,0.833333333,2.555555556,0.166666667,2,2.454545455,2.545454545,2.727272727,1.954545455,1.954545455,1.767535857,0.751903902,1.382665797,1.854159782,0.514495755,1.878672873,1.792239162,1.792239162,1.881787858,1.838147948,1.812056783,2.555555556,3.004457885,0.338582677,Interoceptive,2.727272727,4.051423324,0.06640625,Head,2.727272727,4.540712524,0.136990003,Head,18,18,1,22,22,1,35,38.27272727,PN_Sample_151.csv,MN_sample_151.csv
ABLAZE,1.470588235,0,1.117647059,0.823529412,0.941176471,3.705882353,0.388888889,0.555555556,2.277777778,0.722222222,0.333333333,1.58578242,0,1.615640467,1.333945938,1.519481336,1.759428383,1.036900863,1.1490263,2.16402554,1.40610248,0.9701425,3.705882353,3.845429492,0.459854015,Visual,2.277777778,2.318425575,0.454545455,Head,3.705882353,4.108003202,0.300397351,Visual,17,17,1,18,20,0.9,40.58823529,43.05555556,PN_Sample_355.csv,MN_sample_355.csv
ABLE,1.133333333,0.933333333,1.266666667,3.066666667,0.666666667,2,1.894736842,2.315789474,2.684210526,1.473684211,1.684210526,1.884776101,1.830950833,2.186538905,1.486446706,1.496026483,2.267786838,1.852767805,2.083070159,1.857496271,1.982378511,1.796683104,3.066666667,3.46044248,0.264705882,Interoceptive,2.684210526,3.596988218,0.120418848,Head,3.066666667,4.447566392,0.12552762,Interoceptive,15,15,1,19,19,1,30.4,37.84210526,PN_Sample_043.csv,MN_sample_043.csv
ABLY,1.176470588,0,0.235294118,1.176470588,0,2.529411765,1.647058824,2.058823529,2.647058824,1.529411765,1.705882353,1.629236559,0,0.752446989,1.667156791,0,2.065116433,1.93459222,2.105664629,1.617914416,1.874754886,1.961017143,2.529411765,2.689427174,0.494252874,Visual,2.647058824,3.42803656,0.116564417,Head,2.647058824,3.909139735,0.18,Head,17,19,0.894736842,17,20,0.85,41.0625,40.58823529,PN_Sample_447.csv,MN_sample_447.csv
ABNORMAL,1.894736842,1.263157895,2,2.052631579,1.526315789,3,0.571428571,0.761904762,2.428571429,1,0.714285714,1.997073883,1.851188965,1.795054936,2.013114895,2.010207868,1.914854216,0.978336781,1.091089451,1.748468718,1.549193338,1.10194633,3,3.826357006,0.147982063,Visual,2.428571429,2.536370725,0.339130435,Head,3,4.166679737,0.141089109,Visual,19,19,1,21,21,1,33.52631579,36.80952381,PN_Sample_343.csv,MN_sample_343.csv
ABNORMALITY,1.421052632,0.684210526,1.842105263,1.526315789,0.789473684,3.052631579,0.684210526,1.105263158,2.473684211,0.894736842,0.421052632,1.804801912,1.335524515,1.893355572,1.866917276,1.397575177,1.71508614,1.157230006,1.328940131,1.982378511,1.448935887,0.768533197,3.052631579,3.47422784,0.254237288,Visual,2.473684211,2.601093828,0.367924528,Head,3.052631579,3.904684756,0.176678445,Visual,19,19,1,19,20,0.95,35.52631579,35.78947368,PN_sample_274.csv,MN_sample_274.csv
ABNORMALLY,1.055555556,0.444444444,1.111111111,2.388888889,0.444444444,2.555555556,0.941176471,1.176470588,2.705882353,1.176470588,0.941176471,1.661757476,0.855585264,1.409584373,1.944491129,0.855585264,1.947010445,1.951620744,1.975958442,2.023755972,1.975958442,1.951620744,2.555555556,3.209033598,0.263888889,Visual,2.705882353,2.913689008,0.254237288,Head,2.705882353,3.866027586,0.15135608,Head,18,18,1,17,20,0.85,34.38888889,36.88235294,PN_Sample_405.csv,MN_sample_405.csv
ABOARD,1.19047619,0,0.714285714,0.714285714,0.238095238,2.857142857,2.777777778,2.166666667,2.5,1.333333333,1.888888889,1.289148852,0,1.146423008,1.146423008,0.624880941,1.740279124,1.926763686,2.007339474,1.917412472,1.748949264,1.936913521,2.857142857,2.953091021,0.5,Visual,2.777777778,3.833578364,0.135416667,Foot_leg,2.857142857,4.346117372,0.174418605,Visual,21,21,1,18,18,1,36.85714286,38.5,PN_Sample_306.csv,MN_sample_306.csv
ABODE,0.866666667,0.133333333,2.066666667,0.733333333,1.2,3.6,1.25,1.3125,2.4375,1.3125,1.3125,1.767430203,0.351865775,2.086236073,1.387014608,1.567527626,1.723783215,1.914854216,2.023816527,1.860779407,1.887458609,1.887458609,3.6,3.876622514,0.403100775,Visual,2.4375,2.852834431,0.155737705,Head,3.6,4.335224071,0.213662044,Visual,15,20,0.75,16,19,0.842105263,39.73333333,40.375,PN_Sample_035.csv,MN_sample_035.csv
