INFO - main.py - 2026-03-21 21:12:20,175 - Namespace(dataname='ACS_income_AZ', gpu=0, log_path='./classification_process/discrete_log_42/ACS_income_AZ/train/several_sigma_error_diff_train_260321_21-12-20', mode='train', comment='several_sigma_error_diff_EDM_3.0', use_weight=True, temperature=3.0, weight_criterion='several_timestep_error_diff', method='several_sigma_error_diff', non_param_dro=False, chi2_eta=None, cvar_alpha=None, kappa=None, tau=None, alpha=1, error_reflection='softmax', timestep_weight_criterion='EDM', single_sigma_index=None, selected_several_sigma_indices=None, eval_attribute=None, evaluated_model_path=None, seed=42, baseline_method=None, K=32, device='cuda:0')
INFO - main.py - 2026-03-21 21:13:00,454 - Epoch 130, training loss: 0.11
INFO - main.py - 2026-03-21 21:13:00,466 - Epoch 130, test acc: 0.78
INFO - main.py - 2026-03-21 21:13:00,740 - Update model in epoch 131, 0.11 < 0.11
INFO - main.py - 2026-03-21 21:13:01,031 - Update model in epoch 132, 0.10 < 0.11
INFO - main.py - 2026-03-21 21:13:01,484 - Update model in epoch 134, 0.10 < 0.10
INFO - main.py - 2026-03-21 21:13:02,207 - Update model in epoch 137, 0.10 < 0.10
INFO - main.py - 2026-03-21 21:13:02,492 - Update model in epoch 138, 0.10 < 0.10
INFO - main.py - 2026-03-21 21:13:02,770 - Update model in epoch 139, 0.10 < 0.10
INFO - main.py - 2026-03-21 21:13:03,048 - Epoch 140, training loss: 0.10
INFO - main.py - 2026-03-21 21:13:03,060 - Epoch 140, test acc: 0.78
INFO - main.py - 2026-03-21 21:13:05,490 - Update model in epoch 150, 0.10 < 0.10
INFO - main.py - 2026-03-21 21:13:05,497 - Epoch 150, training loss: 0.10
INFO - main.py - 2026-03-21 21:13:05,510 - Epoch 150, test acc: 0.78
INFO - main.py - 2026-03-21 21:13:05,789 - Update model in epoch 151, 0.09 < 0.10
INFO - main.py - 2026-03-21 21:13:06,069 - Update model in epoch 152, 0.09 < 0.09
INFO - main.py - 2026-03-21 21:13:08,048 - Epoch 160, training loss: 0.10
INFO - main.py - 2026-03-21 21:13:08,061 - Epoch 160, test acc: 0.78
INFO - main.py - 2026-03-21 21:13:09,803 - Update model in epoch 167, 0.09 < 0.09
INFO - main.py - 2026-03-21 21:13:10,077 - Update model in epoch 168, 0.09 < 0.09
INFO - main.py - 2026-03-21 21:13:10,532 - Update model in epoch 170, 0.09 < 0.09
INFO - main.py - 2026-03-21 21:13:10,538 - Epoch 170, training loss: 0.09
INFO - main.py - 2026-03-21 21:13:10,550 - Epoch 170, test acc: 0.78
INFO - main.py - 2026-03-21 21:13:11,551 - Update model in epoch 174, 0.09 < 0.09
INFO - main.py - 2026-03-21 21:13:11,823 - Update model in epoch 175, 0.09 < 0.09
INFO - main.py - 2026-03-21 21:13:12,098 - Update model in epoch 176, 0.08 < 0.09
INFO - main.py - 2026-03-21 21:13:12,288 - Update model in epoch 177, 0.08 < 0.08
INFO - main.py - 2026-03-21 21:13:13,101 - Epoch 180, training loss: 0.09
INFO - main.py - 2026-03-21 21:13:13,113 - Epoch 180, test acc: 0.77
INFO - main.py - 2026-03-21 21:13:14,285 - Update model in epoch 185, 0.08 < 0.08
INFO - main.py - 2026-03-21 21:13:14,567 - Update model in epoch 186, 0.08 < 0.08
INFO - main.py - 2026-03-21 21:13:15,574 - Epoch 190, training loss: 0.10
INFO - main.py - 2026-03-21 21:13:15,586 - Epoch 190, test acc: 0.78
INFO - main.py - 2026-03-21 21:13:18,094 - Epoch 200, training loss: 0.08
INFO - main.py - 2026-03-21 21:13:18,107 - Epoch 200, test acc: 0.77
INFO - main.py - 2026-03-21 21:13:18,289 - Update model in epoch 201, 0.08 < 0.08
INFO - main.py - 2026-03-21 21:13:18,565 - Update model in epoch 202, 0.08 < 0.08
INFO - main.py - 2026-03-21 21:13:20,546 - Epoch 210, training loss: 0.09
INFO - main.py - 2026-03-21 21:13:20,558 - Epoch 210, test acc: 0.77
INFO - main.py - 2026-03-21 21:13:22,114 - Update model in epoch 216, 0.08 < 0.08
INFO - main.py - 2026-03-21 21:13:22,305 - Update model in epoch 217, 0.07 < 0.08
INFO - main.py - 2026-03-21 21:13:22,585 - Update model in epoch 218, 0.07 < 0.07
INFO - main.py - 2026-03-21 21:13:22,865 - Update model in epoch 219, 0.07 < 0.07
INFO - main.py - 2026-03-21 21:13:23,146 - Update model in epoch 220, 0.07 < 0.07
INFO - main.py - 2026-03-21 21:13:23,153 - Epoch 220, training loss: 0.07
INFO - main.py - 2026-03-21 21:13:23,165 - Epoch 220, test acc: 0.78
INFO - main.py - 2026-03-21 21:13:23,346 - Update model in epoch 221, 0.07 < 0.07
INFO - main.py - 2026-03-21 21:13:24,154 - Update model in epoch 224, 0.07 < 0.07
INFO - main.py - 2026-03-21 21:13:24,340 - Update model in epoch 225, 0.07 < 0.07
INFO - main.py - 2026-03-21 21:13:24,616 - Update model in epoch 226, 0.07 < 0.07
INFO - main.py - 2026-03-21 21:13:25,602 - Update model in epoch 230, 0.07 < 0.07
INFO - main.py - 2026-03-21 21:13:25,609 - Epoch 230, training loss: 0.07
INFO - main.py - 2026-03-21 21:13:25,621 - Epoch 230, test acc: 0.78
INFO - main.py - 2026-03-21 21:13:28,148 - Epoch 240, training loss: 0.09
INFO - main.py - 2026-03-21 21:13:28,161 - Epoch 240, test acc: 0.79
INFO - main.py - 2026-03-21 21:13:30,602 - Early stopping in epoch 250
