env,algorithm,config,run,mc_mean,mc_stddev
frozenlake,UCT,bias=auto,eps=1.000000,15,0.00299368,0.0423371
frozenlake,UCT,bias=auto,eps=1.000000,16,0.00299368,0.0423371
frozenlake,UCT,bias=auto,eps=1.000000,17,0,0
frozenlake,UCT,bias=auto,eps=1.000000,18,0.0033171,0.0469109
frozenlake,UCT,bias=auto,eps=1.000000,19,0,0
frozenlake,UCT,bias=auto,eps=1.000000,20,0.00299368,0.0423371
frozenlake,UCT,bias=auto,eps=1.000000,21,0.00631079,0.0630326
frozenlake,UCT,bias=auto,eps=1.000000,22,0.00349169,0.0493799
frozenlake,UCT,bias=auto,eps=1.000000,23,0,0
frozenlake,UCT,bias=auto,eps=1.000000,24,0.0066342,0.0661751
frozenlake,UCT,bias=auto,eps=1.000000,25,0,0
frozenlake,UCT,bias=auto,eps=1.000000,26,0.00299368,0.0423371
frozenlake,UCT,bias=auto,eps=1.000000,27,0,0
frozenlake,UCT,bias=auto,eps=1.000000,28,0,0
frozenlake,UCT,bias=auto,eps=1.000000,29,0.00315125,0.0445654
frozenlake,UCT,bias=auto,eps=1.000000,30,0,0
frozenlake,UCT,bias=auto,eps=1.000000,31,0.00648537,0.0648829
frozenlake,UCT,bias=auto,eps=1.000000,32,0.00299368,0.0423371
frozenlake,UCT,bias=auto,eps=1.000000,33,0.00735092,0.0733243
frozenlake,UCT,bias=auto,eps=1.000000,34,0,0
frozenlake,UCT,bias=auto,eps=1.000000,35,0,0
frozenlake,UCT,bias=auto,eps=1.000000,36,0,0
frozenlake,UCT,bias=auto,eps=1.000000,37,0.00315125,0.0445654
frozenlake,UCT,bias=auto,eps=1.000000,38,0.00299368,0.0423371
frozenlake,UCT,bias=auto,eps=1.000000,39,0.00349169,0.0493799
frozenlake,UCT,bias=auto,eps=1.000000,40,0.0033171,0.0469109
frozenlake,UCT,bias=auto,eps=1.000000,41,0,0
frozenlake,UCT,bias=auto,eps=1.000000,42,0,0
frozenlake,UCT,bias=auto,eps=1.000000,43,0.00631079,0.0630326
frozenlake,UCT,bias=auto,eps=1.000000,44,0.00680879,0.0679391
frozenlake,UCT,bias=auto,eps=1.000000,45,0.00716715,0.0715149
frozenlake,UCT,bias=auto,eps=1.000000,46,0.00315125,0.0445654
frozenlake,UCT,bias=auto,eps=1.000000,47,0.00614493,0.0613151
frozenlake,UCT,bias=auto,eps=1.000000,48,0.00598737,0.0597231
frozenlake,UCT,bias=auto,eps=1.000000,49,0.00349169,0.0493799
frozenlake,UCT,bias=2.000000,eps=0.100000,0,0.203352,0.32721
frozenlake,UCT,bias=2.000000,eps=0.100000,1,0.213687,0.331573
frozenlake,UCT,bias=2.000000,eps=0.100000,2,0.242532,0.342969
frozenlake,UCT,bias=2.000000,eps=0.100000,3,0.219609,0.336346
frozenlake,UCT,bias=2.000000,eps=0.100000,4,0.167466,0.303531
frozenlake,UCT,bias=2.000000,eps=0.100000,5,0.19636,0.323964
frozenlake,UCT,bias=2.000000,eps=0.100000,6,0.225019,0.336826
frozenlake,UCT,bias=2.000000,eps=0.100000,7,0.195861,0.323258
frozenlake,UCT,bias=2.000000,eps=0.100000,8,0.222437,0.336839
frozenlake,UCT,bias=2.000000,eps=0.100000,9,0.201241,0.327638
frozenlake,UCT,bias=2.000000,eps=0.100000,10,0.219618,0.336378
frozenlake,UCT,bias=2.000000,eps=0.100000,11,0.301846,0.359576
frozenlake,UCT,bias=2.000000,eps=0.100000,12,0.216135,0.335038
frozenlake,UCT,bias=2.000000,eps=0.100000,13,0.222297,0.336715
frozenlake,UCT,bias=2.000000,eps=0.100000,14,0.168887,0.3098
frozenlake,UCT,bias=2.000000,eps=0.100000,15,0.217871,0.333949
frozenlake,UCT,bias=2.000000,eps=0.100000,16,0.213531,0.331392
frozenlake,UCT,bias=2.000000,eps=0.100000,17,0.201622,0.324685
frozenlake,UCT,bias=2.000000,eps=0.100000,18,0.24414,0.345102
frozenlake,UCT,bias=2.000000,eps=0.100000,19,0.203518,0.327443
frozenlake,UCT,bias=2.000000,eps=0.100000,20,0.240237,0.343363
frozenlake,UCT,bias=2.000000,eps=0.100000,21,0.219452,0.33617
frozenlake,UCT,bias=2.000000,eps=0.100000,22,0.259559,0.350943
frozenlake,UCT,bias=2.000000,eps=0.100000,23,0.189165,0.320149
frozenlake,UCT,bias=2.000000,eps=0.100000,24,0.261766,0.350156
frozenlake,UCT,bias=2.000000,eps=0.100000,25,0.260558,0.348716
frozenlake,UCT,bias=2.000000,eps=0.100000,26,0.215279,0.333866
frozenlake,UCT,bias=2.000000,eps=0.100000,27,0.246713,0.344899
frozenlake,UCT,bias=2.000000,eps=0.100000,28,0.181474,0.315396
frozenlake,UCT,bias=2.000000,eps=0.100000,29,0.196333,0.323869
frozenlake,UCT,bias=2.000000,eps=0.100000,30,0.183091,0.318063
frozenlake,UCT,bias=2.000000,eps=0.100000,31,0.199397,0.325055
frozenlake,UCT,bias=2.000000,eps=0.100000,32,0.202819,0.326407
frozenlake,UCT,bias=2.000000,eps=0.100000,33,0.179447,0.312285
frozenlake,UCT,bias=2.000000,eps=0.100000,34,0.223706,0.33169
frozenlake,UCT,bias=2.000000,eps=0.100000,35,0.211026,0.331227
frozenlake,UCT,bias=2.000000,eps=0.100000,36,0.164393,0.301897
