seed,batch_size,dim,in_dim,hidden_dim,dataset,n_samples,teacher_scale,weight_sigma,misranking_rd,tail_probe_rd,tail_ratio,variance_rel_sd,pred_noise_probe_switch
37,4,265,64,4,digits0,256,2.0,1.0,0.22999999999999998,0.195,3.152636938872843,0.4268605093408662,hetero
37,16,265,64,4,digits0,256,2.0,1.0,0.175,0.26,5.924638141400834,0.36023771070814486,robust
37,256,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
38,4,265,64,4,digits0,256,2.0,1.0,0.24,0.26,1.9551291350631579,0.7720711652778564,hetero
38,16,265,64,4,digits0,256,2.0,1.0,0.195,0.275,5.2547749033864495,0.5009586283375503,robust
38,256,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
39,4,265,64,4,digits0,256,2.0,1.0,0.205,0.325,3.541907465824771,0.7734405279306521,hetero
39,16,265,64,4,digits0,256,2.0,1.0,0.27999999999999997,0.24500000000000002,3.4936010877883263,0.24668298280007647,hetero
39,256,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
40,4,265,64,4,digits0,256,2.0,1.0,0.27999999999999997,0.24,3.819434188290198,0.7296402074959967,hetero
40,16,265,64,4,digits0,256,2.0,1.0,0.27,0.23500000000000001,1.813812964988205,0.29628291245259064,hetero
40,256,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
41,4,265,64,4,digits0,256,2.0,1.0,0.2,0.305,3.5338362281141458,0.6124886247366657,hetero
41,16,265,64,4,digits0,256,2.0,1.0,0.185,0.21000000000000002,3.168658939347159,0.3262850716463433,hetero
41,256,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
42,4,265,64,4,digits0,256,2.0,1.0,0.355,0.27,3.3224396615209884,0.3851849765002969,hetero
42,16,265,64,4,digits0,256,2.0,1.0,0.29,0.255,3.802411214870837,0.3285927033531577,hetero
42,256,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
43,4,265,64,4,digits0,256,2.0,1.0,0.28500000000000003,0.29500000000000004,3.6180686208663357,0.3140905846979921,hetero
43,16,265,64,4,digits0,256,2.0,1.0,0.24,0.18,2.571077188466974,0.2805728088269645,hetero
43,256,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
44,4,265,64,4,digits0,256,2.0,1.0,0.27,0.375,5.4294224455437945,0.4312654794008372,robust
44,16,265,64,4,digits0,256,2.0,1.0,0.21000000000000002,0.12,7.906372200985329,0.30323554144384757,robust
44,256,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
45,4,265,64,4,digits0,256,2.0,1.0,0.31,0.32999999999999996,3.802773090706611,0.4368617554758259,hetero
45,16,265,64,4,digits0,256,2.0,1.0,0.27999999999999997,0.26,3.243822654827542,0.23098609825130936,hetero
45,256,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
46,4,265,64,4,digits0,256,2.0,1.0,0.225,0.29,4.007907588913397,0.41714819083143667,robust
46,16,265,64,4,digits0,256,2.0,1.0,0.205,0.225,3.747779706296211,0.4674759374139929,hetero
46,256,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
47,4,265,64,4,digits0,256,2.0,1.0,0.31,0.265,2.433309207635174,0.24726318167066322,hetero
