algorithm,seed,max_evals,evaluations,best_noisy,post_true,post_return_mean,post_loss_median,post_loss_cvar20
CMA-ES-Resample(k=5),18,258,258,9.869894587669277,291.69666731178637,-291.69666731178637,316.6265161520501,592.3237758343711
CMA-ES-Resample(k=5),19,258,258,257.51048272689343,600.6560145784625,-600.6560145784625,608.8368322822354,732.7239498696017
CMA-ES-Resample(k=5),20,258,258,469.94439125047387,584.4599324205883,-584.4599324205883,615.2772575529395,749.1408649537833
CMA-ES-Resample(k=5),21,258,258,411.84262853548756,503.93425492083384,-503.93425492083384,493.69182952009976,610.3234804379991
CMA-ES-Resample(k=5),22,258,258,585.4612086317462,693.2841836096654,-693.2841836096654,722.6414813594824,813.4524448388213
CMA-ES-Resample(k=5),23,258,258,496.10154944565954,616.1045538645868,-616.1045538645868,601.9693632202934,727.3036774057814
CMA-ES-Resample(k=5),24,258,258,449.23049084140985,461.07765557065073,-461.07765557065073,455.60901764860193,624.311355198405
CMA-ES-Resample(k=5),25,258,258,17.132186810313684,64.21171412139556,-64.21171412139556,14.950442169631081,263.99396663205795
CMA-ES-Resample(k=5),26,258,258,243.32252894464318,678.6516650364315,-678.6516650364315,686.8667751444916,817.750785882743
CMA-ES-Resample(k=5),27,258,258,315.03603545211433,518.4993471474793,-518.4993471474793,529.0866019274265,697.317423380103
CMA-ES-Resample(k=5),28,258,258,174.38587756389697,298.8195148652379,-298.8195148652379,291.38005889295687,548.7474264013665
CMA-ES-Resample(k=5),29,258,258,384.8437379481676,536.3591283577991,-536.3591283577991,524.7418257520792,675.7855204511142
CMA-ES-Resample(k=5),30,258,258,567.698917817092,662.3163452361568,-662.3163452361568,701.6626119849775,812.2514173885431
CMA-ES-Resample(k=5),31,258,258,464.7516194836114,676.2995376109752,-676.2995376109752,682.2945496030912,805.9921431126788
CMA-ES-Resample(k=5),32,258,258,382.544447442906,621.9071783600758,-621.9071783600758,648.3066407309061,708.2313370962329
CMA-ES-Resample(k=5),33,258,258,171.04583857656058,499.13668342880453,-499.13668342880453,506.11161377976873,684.9738954700156
CMA-ES-Resample(k=5),34,258,258,457.682760159205,616.2320116998051,-616.2320116998051,619.0186282082093,679.6811511020904
CMA-ES-Resample(k=5),35,258,258,472.4653329589872,649.0583324983859,-649.0583324983859,645.7993082303956,728.4292254386067
CMA-ES-Resample(k=5),36,258,258,507.1061434689076,540.14940603132,-540.14940603132,536.4244145417267,642.4798079951145
CMA-ES-Resample(k=5),37,258,258,399.29105001760473,538.9831389634751,-538.9831389634751,563.0053650603974,709.8115169914997
CMA-ES-Resample(k=5),38,258,258,306.4491714337207,407.4019938308452,-407.4019938308452,405.3409618335238,523.1282271638092
CMA-ES-Resample(k=5),39,258,258,10.251417997744317,43.588443282969024,-43.588443282969024,18.796904075030387,151.4385620621039
CMA-ES-Resample(k=5),40,258,258,26.770245806458636,83.18710849585406,-83.18710849585406,46.34400325616402,235.76547120471028
CMA-ES-Resample(k=5),41,258,258,63.06375977297116,95.88801263003535,-95.88801263003535,75.19142415653647,191.94559407121153
CMA-ES-Resample(k=5),42,258,258,327.7727725977401,501.57543438327076,-501.57543438327076,518.1168691731943,671.4190496197496
CMA-ES-Resample(k=5),43,258,258,427.94392369105117,586.7635859474848,-586.7635859474848,596.9230669799422,688.5440365708112
CMA-ES-Resample(k=5),44,258,258,299.413538216631,526.8733963296013,-526.8733963296013,561.686597919191,714.5858741420996
