suite,sampling,noise_model,noise_sigma,function,dimension,instance,set_id,lambda,mu,rank_disagreement,topmu_overlap,topmu_disagreement,kendall_pairwise_disagreement
bbob-noisy,es,native,nan,107,40,1,21,15,7,0.43555555555555553,0.2857142857142857,0.7142857142857143,0.638095238095238
bbob-noisy,es,native,nan,107,40,1,22,15,7,0.4,0.2857142857142857,0.7142857142857143,0.6
bbob-noisy,es,native,nan,107,40,1,23,15,7,0.32,0.5714285714285714,0.4285714285714286,0.49523809523809526
bbob-noisy,es,native,nan,107,40,1,24,15,7,0.28444444444444444,0.42857142857142855,0.5714285714285714,0.38095238095238093
bbob-noisy,es,native,nan,108,40,1,0,15,7,0.3466666666666667,0.42857142857142855,0.5714285714285714,0.5523809523809524
bbob-noisy,es,native,nan,108,40,1,1,15,7,0.3733333333333333,0.42857142857142855,0.5714285714285714,0.6190476190476191
bbob-noisy,es,native,nan,108,40,1,2,15,7,0.3022222222222222,0.5714285714285714,0.4285714285714286,0.44761904761904764
bbob-noisy,es,native,nan,108,40,1,3,15,7,0.3111111111111111,0.5714285714285714,0.4285714285714286,0.4
bbob-noisy,es,native,nan,108,40,1,4,15,7,0.3022222222222222,0.42857142857142855,0.5714285714285714,0.5047619047619047
bbob-noisy,es,native,nan,108,40,1,5,15,7,0.3377777777777778,0.2857142857142857,0.7142857142857143,0.44761904761904764
bbob-noisy,es,native,nan,108,40,1,6,15,7,0.3022222222222222,0.5714285714285714,0.4285714285714286,0.45714285714285713
bbob-noisy,es,native,nan,108,40,1,7,15,7,0.24888888888888888,0.7142857142857143,0.2857142857142857,0.4
bbob-noisy,es,native,nan,108,40,1,8,15,7,0.24000000000000002,0.42857142857142855,0.5714285714285714,0.3238095238095238
bbob-noisy,es,native,nan,108,40,1,9,15,7,0.3111111111111111,0.7142857142857143,0.2857142857142857,0.4666666666666667
bbob-noisy,es,native,nan,108,40,1,10,15,7,0.29333333333333333,0.5714285714285714,0.4285714285714286,0.4095238095238095
bbob-noisy,es,native,nan,108,40,1,11,15,7,0.3288888888888889,0.42857142857142855,0.5714285714285714,0.44761904761904764
bbob-noisy,es,native,nan,108,40,1,12,15,7,0.38222222222222224,0.2857142857142857,0.7142857142857143,0.5619047619047619
bbob-noisy,es,native,nan,108,40,1,13,15,7,0.43555555555555553,0.2857142857142857,0.7142857142857143,0.7047619047619048
bbob-noisy,es,native,nan,108,40,1,14,15,7,0.36444444444444446,0.42857142857142855,0.5714285714285714,0.580952380952381
bbob-noisy,es,native,nan,108,40,1,15,15,7,0.3911111111111111,0.42857142857142855,0.5714285714285714,0.5904761904761905
bbob-noisy,es,native,nan,108,40,1,16,15,7,0.2577777777777778,0.42857142857142855,0.5714285714285714,0.42857142857142855
bbob-noisy,es,native,nan,108,40,1,17,15,7,0.48000000000000004,0.14285714285714285,0.8571428571428572,0.7523809523809524
bbob-noisy,es,native,nan,108,40,1,18,15,7,0.36444444444444446,0.2857142857142857,0.7142857142857143,0.5619047619047619
bbob-noisy,es,native,nan,108,40,1,19,15,7,0.1688888888888889,0.7142857142857143,0.2857142857142857,0.26666666666666666
bbob-noisy,es,native,nan,108,40,1,20,15,7,0.3111111111111111,0.42857142857142855,0.5714285714285714,0.45714285714285713
bbob-noisy,es,native,nan,108,40,1,21,15,7,0.3911111111111111,0.2857142857142857,0.7142857142857143,0.6
bbob-noisy,es,native,nan,108,40,1,22,15,7,0.2755555555555556,0.5714285714285714,0.4285714285714286,0.3904761904761905
bbob-noisy,es,native,nan,108,40,1,23,15,7,0.29333333333333333,0.42857142857142855,0.5714285714285714,0.4666666666666667
bbob-noisy,es,native,nan,108,40,1,24,15,7,0.29333333333333333,0.5714285714285714,0.4285714285714286,0.45714285714285713
bbob-noisy,es,native,nan,109,40,1,0,15,7,0.0,1.0,0.0,0.0
bbob-noisy,es,native,nan,109,40,1,1,15,7,0.008888888888888889,1.0,0.0,0.009523809523809525
bbob-noisy,es,native,nan,109,40,1,2,15,7,0.0,1.0,0.0,0.0
bbob-noisy,es,native,nan,109,40,1,3,15,7,0.008888888888888889,1.0,0.0,0.009523809523809525
bbob-noisy,es,native,nan,109,40,1,4,15,7,0.08,0.8571428571428571,0.1428571428571429,0.09523809523809523
bbob-noisy,es,native,nan,109,40,1,5,15,7,0.017777777777777778,1.0,0.0,0.01904761904761905
bbob-noisy,es,native,nan,109,40,1,6,15,7,0.035555555555555556,0.7142857142857143,0.2857142857142857,0.0380952380952381
bbob-noisy,es,native,nan,109,40,1,7,15,7,0.0,1.0,0.0,0.0
bbob-noisy,es,native,nan,109,40,1,8,15,7,0.02666666666666667,1.0,0.0,0.02857142857142857
bbob-noisy,es,native,nan,109,40,1,9,15,7,0.035555555555555556,1.0,0.0,0.047619047619047616
bbob-noisy,es,native,nan,109,40,1,10,15,7,0.0,1.0,0.0,0.0
bbob-noisy,es,native,nan,109,40,1,11,15,7,0.035555555555555556,0.8571428571428571,0.1428571428571429,0.0380952380952381
