function,function_index,dimension,instance,best_f_cma,best_f_berw,label,misranking_rd,variance_rel_sd,pred_misranking,pred_variance
110,10,40,8,55723.70549,27575.9299,berw,0.32,0.9126719744153523,berw,berw
110,10,40,9,63360.83728,25022.4323,berw,0.32,0.5196529822542141,berw,berw
110,10,40,10,47773.95003,5326.632809,berw,0.38222222222222224,2.6241256030095177,berw,berw
110,10,40,11,29039.0298,3657.275516,berw,0.32,1.0369796481088227,berw,berw
110,10,40,12,47750.89812,48682.0083,cma,0.3466666666666667,1.3491155452599803,berw,berw
110,10,40,13,56715.46815,2980.780175,berw,0.29333333333333333,0.9454425698875575,berw,berw
110,10,40,14,27759.80124,13898.70434,berw,0.38222222222222224,1.0493826250425364,berw,berw
110,10,40,15,44181.17565,20555.02234,berw,0.4,1.278591929337566,berw,berw
111,11,40,1,79129.91453,175264.9189,cma,0.26666666666666666,1.212870532121905,berw,berw
111,11,40,2,85121.51451,48253.3595,berw,0.28444444444444444,1.3261513609624747,berw,berw
111,11,40,3,129311.6662,110850.1866,berw,0.3733333333333333,1.3141936572190938,berw,berw
111,11,40,4,153052.548,88895.20057,berw,0.41777777777777775,1.5947769853414464,berw,berw
111,11,40,5,359004.5582,64316.54481,berw,0.4,1.3519771207450668,berw,berw
111,11,40,6,183079.192,133371.8198,berw,0.24888888888888888,1.2680016977413493,berw,berw
111,11,40,7,141735.9973,83087.89316,berw,0.2755555555555556,1.1196529254379017,berw,berw
111,11,40,8,172304.7893,85043.9717,berw,0.3911111111111111,1.5903933471223937,berw,berw
111,11,40,9,173266.3302,110461.5503,berw,0.3288888888888889,1.1880711347757833,berw,berw
111,11,40,10,129666.4186,156753.1045,cma,0.38222222222222224,1.5339172695780932,berw,berw
111,11,40,11,192212.6725,99381.19123,berw,0.3466666666666667,1.2495337501914001,berw,berw
111,11,40,12,143503.8065,80862.58326,berw,0.29333333333333333,1.5027745121755203,berw,berw
111,11,40,13,183681.1817,81012.54202,berw,0.2755555555555556,1.8724856837575399,berw,berw
111,11,40,14,187966.4442,163634.5016,berw,0.38222222222222224,0.9931205686554861,berw,berw
111,11,40,15,106338.1277,31087.11485,berw,0.38222222222222224,1.3456352943818184,berw,berw
112,12,40,1,35.9393307,37.26389427,cma,0.0,1.243881950379747e-16,cma,cma
112,12,40,2,36.9380079,170.6687686,cma,0.0,1.0107932601157046e-05,cma,cma
112,12,40,3,36.44171707,38.82267849,cma,0.0,2.1793319835041308e-07,cma,cma
