seed,state_dim,action_dim,dimension,horizon,budget,eval_rollouts,noise_df,noise_std,noise_state_beta,noise_state_clip,misranking_rd,variance_rel_sd,tail_probe_rd,tail_ratio
32,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.19555555555555554,1.153535937538049,0.1688888888888889,8.26087791948356
33,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.13333333333333333,0.39945272411124116,0.13333333333333333,10.048069951398901
34,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.1511111111111111,0.7491403659168311,0.20444444444444446,4.538114050303941
35,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.17777777777777776,0.5066566743773847,0.13333333333333333,6.295131374125694
36,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.14222222222222222,0.6978932255551104,0.16,3.879476449038795
37,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.17777777777777776,2.1280249638722486,0.19555555555555554,2.8330485974003463
38,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.08,0.9735348197492084,0.04444444444444444,6.563180420602941
39,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.18666666666666665,0.36592751717902056,0.18666666666666665,3.284656583225321
40,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.07111111111111111,1.5842850206274193,0.08888888888888888,13.040170346965787
41,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.19555555555555554,0.5930646936965241,0.1688888888888889,10.294672009647355
42,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.13333333333333333,0.9490897038252865,0.09777777777777777,15.179532635520758
43,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.1688888888888889,0.7379172818377054,0.23111111111111113,14.968564687997027
44,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.07111111111111111,0.48959571133886826,0.14222222222222222,5.629247111229501
45,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.1688888888888889,0.4639172194521804,0.14222222222222222,4.288263888569996
46,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.3466666666666667,0.9449680830773655,0.3111111111111111,3.746298529554716
47,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.23111111111111113,1.0563855525201917,0.22222222222222224,6.730770839289391
48,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.1688888888888889,0.9754921515659267,0.1511111111111111,10.533251519381876
49,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.16,1.265535132043913,0.1511111111111111,7.376242184721303
50,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.1688888888888889,1.5484406754490432,0.10666666666666667,4.628749429450719
