old,new,coverage_LAC,setsize_LAC,coverage_LAC_W,setsize_LAC_W,coverage_APS,setsize_APS,coverage_APS_W,setsize_APS_W
economics,health,0.8552321007081038,2.5719905586152634,0.8890637293469709,2.7568843430369787,0.998426435877262,4.1109362706530295,1.0,4.546813532651456
history,physics,0.9253731343283582,3.292910447761194,0.9197761194029851,3.2406716417910446,0.996268656716418,3.8955223880597014,1.0,3.970149253731343
history,culture,0.9496402877697842,2.5863309352517985,0.9460431654676259,2.5611510791366907,1.0,3.758992805755396,1.0,4.097122302158273
history,geography,0.90625,2.53125,0.9375,2.78125,0.98125,3.71875,0.99375,3.91875
history,psychology,0.9082177161152615,2.8121664887940234,0.9050160085378869,2.776947705442903,0.9957310565635006,3.833511205976521,1.0,4.1568836712913555
history,math,0.9587628865979382,3.7651775486827033,0.9621993127147767,3.778923253150057,0.9988545246277205,4.139747995418099,1.0,4.337915234822451
history,other,0.9313835770528683,2.8548931383577054,0.9392575928008999,2.907761529808774,0.9943757030371203,3.7559055118110236,0.9966254218222722,3.8785151856018
history,engineering,0.95,3.2333333333333334,0.975,3.308333333333333,1.0,3.908333333333333,1.0,3.9583333333333335
history,biology,0.9109947643979057,2.863874345549738,0.918848167539267,2.924083769633508,0.9921465968586387,3.93979057591623,0.9947643979057592,4.0785340314136125
history,politics,0.9117082533589251,2.8502879078694816,0.982725527831094,3.4644913627639156,0.9961612284069098,3.888675623800384,1.0,4.157389635316699
history,computer science,0.9404761904761905,3.2410714285714284,0.9345238095238095,3.205357142857143,0.9910714285714286,4.089285714285714,0.9940476190476191,4.258928571428571
history,business,0.9558823529411765,2.4088235294117646,1.0,6.0,0.9941176470588236,3.4911764705882353,1.0,6.0
history,law,0.9271739130434783,3.4543478260869565,0.9271739130434783,3.4543478260869565,0.9978260869565218,4.2423913043478265,1.0,4.53695652173913
history,health,0.9016522423288749,2.82690794649882,0.9079464988198269,2.8937844217151847,0.994492525570417,3.945712037765539,0.999213217938631,4.273800157356412
physics,culture,0.920863309352518,2.384892086330935,0.9532374100719424,2.6870503597122304,1.0,4.255395683453237,1.0,4.4496402877697845
physics,geography,0.88125,2.38125,0.9375,2.79375,1.0,4.29375,1.0,4.65
physics,psychology,0.8751334044823906,2.606189967982924,0.9167556029882604,2.8975453575240127,1.0,4.321237993596585,1.0,4.420490928495197
physics,math,0.9312714776632303,3.5784650630011456,0.9713631156930126,3.81901489117984,1.0,4.747995418098511,1.0,4.747995418098511
physics,other,0.8976377952755905,2.6670416197975255,0.9437570303712036,2.9640044994375705,0.9988751406074241,4.338582677165355,0.9988751406074241,4.412823397075366
physics,engineering,0.95,3.05,0.95,3.1416666666666666,1.0,4.225,1.0,4.225
physics,biology,0.8743455497382199,2.657068062827225,1.0,6.0,1.0,4.458115183246074,1.0,6.0
physics,politics,0.8848368522072937,2.6391554702495204,0.9520153550863724,3.147792706333973,1.0,4.324376199616123,1.0,4.675623800383877
