angles_pos_neutral,angles_pos_neg,angles_neg_neutral
0.35797006,0.46892643,0.45161492
0.54924285,0.37181136,0.45161492
0.3466996,0.45124748,0.45161492
0.43139717,0.44105446,0.21181135
0.38986933,0.3347631,0.21181135
0.5705513,0.48055845,0.21181135
0.50250804,0.4173047,0.21181135
0.31757426,0.34604782,0.53696
0.31757426,0.4984079,0.5903103
0.31757426,0.40888205,0.47987583
0.31757426,0.49072242,0.63066936
0.4560011,0.5658365,0.5419897
0.4560011,0.33475012,0.6229297
0.4560011,0.51181483,0.53555644
0.4560011,0.60076064,0.6499456
0.37527233,0.4111434,0.59037256
0.37527233,0.55095375,0.62935483
0.37527233,0.450458,0.5332643
0.37527233,0.5488924,0.61256385
0.38494533,0.58125335,0.53304136
0.38494533,0.6363833,0.58225334
0.38494533,0.5950497,0.492576
0.38494533,0.62346643,0.50186694
0.41977215,0.34604782,0.6306593
0.5010551,0.5658365,0.6306593
0.36358178,0.4111434,0.6306593
0.34444857,0.58125335,0.6306593
0.21863697,0.4984079,0.39004076
0.39062726,0.33475012,0.39004076
0.28654456,0.55095375,0.39004076
0.40855026,0.6363833,0.39004076
0.39066744,0.40888205,0.49994648
0.503508,0.51181483,0.49994648
0.38494903,0.450458,0.49994648
0.3395489,0.5950497,0.49994648
0.32232308,0.49072242,0.3703098
0.55765307,0.60076064,0.3703098
0.33644032,0.5488924,0.3703098
0.4414527,0.62346643,0.3703098
0.505341,0.58671147,0.5454319
0.505341,0.6186163,0.607141
0.505341,0.5260701,0.58958226
0.505341,0.56641924,0.5396898
0.36271277,0.5003511,0.5395806
0.36271277,0.75214636,0.6120477
0.36271277,0.7262342,0.6350293
0.36271277,0.66095304,0.5580087
0.29927802,0.4601504,0.4203451
0.29927802,0.7184125,0.61757314
0.29927802,0.64035666,0.5595267
0.29927802,0.63023293,0.5605175
0.3064745,0.5733003,0.6538122
0.3064745,0.59563434,0.6815245
0.3064745,0.5977495,0.7133917
0.3064745,0.5999292,0.7068405
0.56154746,0.58671147,0.3246553
0.5783329,0.5003511,0.3246553
0.57438695,0.4601504,0.3246553
0.62983954,0.5733003,0.3246553
0.5580766,0.6186163,0.5889113
0.5084864,0.75214636,0.5889113
0.58813316,0.7184125,0.5889113
0.6772025,0.59563434,0.5889113
0.5619009,0.5260701,0.25104707
0.60344535,0.7262342,0.25104707
0.57849646,0.64035666,0.25104707
0.54530305,0.5977495,0.25104707
0.52554667,0.56641924,0.4979127
0.4826947,0.66095304,0.4979127
0.5333368,0.63023293,0.4979127
0.5624368,0.5999292,0.4979127
0.34051377,0.37750927,0.31678072
0.34051377,0.5352964,0.4583717
0.34051377,0.55399656,0.49754575
0.34051377,0.522079,0.36795864
0.2865333,0.4967781,0.41951552
0.2865333,0.42051125,0.31768373
0.2865333,0.44912106,0.47875485
0.2865333,0.4870953,0.3783272
0.29862666,0.4942369,0.38850242
0.29862666,0.3992855,0.28556347
0.29862666,0.31313738,0.32440767
0.29862666,0.4690959,0.2955199
0.41753146,0.4625205,0.49618605
0.41753146,0.4756363,0.5579326
0.41753146,0.47406578,0.53049517
0.41753146,0.42794964,0.57931304
0.3914638,0.37750927,0.33750623
0.47691426,0.4967781,0.33750623
0.48265603,0.4942369,0.33750623
0.444665,0.4625205,0.33750623
0.35499987,0.5352964,0.27508754
0.3531116,0.42051125,0.27508754
0.34035492,0.3992855,0.27508754
0.32698855,0.4756363,0.27508754
0.46678478,0.55399656,0.14108652
0.41893595,0.44912106,0.14108652
0.3032642,0.31313738,0.14108652
0.40401506,0.47406578,0.14108652
0.5468136,0.522079,0.4147361
0.49566126,0.4870953,0.4147361
0.4875959,0.4690959,0.4147361
0.44932398,0.42794964,0.4147361
0.3815289,0.43649253,0.5105742
0.3815289,0.4555379,0.55010754
