dataset_name,method,baseline,mse_mean,mse_std,mse_count,aug_mse_mean,aug_mse_std,aug_mse_count,delta_percent_mean,delta_percent_std,delta_percent_count,quality_score_mean,quality_score_std,quality_score_count,mse_se,aug_mse_se,delta_percent_se,quality_score_se
ParkinsonsTelemonitoring,tvae,mlp,0.000321,0.000107,10,0.002224,0.00063,10,659.026204,344.828261,10,0.944909,0.004611,10,3.4e-05,0.000199,109.044271,0.001458
ParkinsonsTelemonitoring,tvae,xgboost,0.000112,2.2e-05,10,0.000538,8.1e-05,10,405.053676,168.267915,10,0.944909,0.004611,10,7e-06,2.6e-05,53.210987,0.001458
WineQuality,ada,mlp,0.014597,0.000663,10,0.018019,0.001077,10,23.599345,8.011438,10,0.986149,0.00043,10,0.00021,0.000341,2.533439,0.000136
WineQuality,ada,xgboost,0.013971,0.000578,10,0.013966,0.000639,10,-0.04009,1.851258,10,0.986149,0.00043,10,0.000183,0.000202,0.585419,0.000136
WineQuality,c_mixup,mlp,0.014597,0.000663,10,0.016472,0.002229,10,13.063058,16.5564,10,0.975194,0.0062,10,0.00021,0.000705,5.235593,0.001961
WineQuality,c_mixup,xgboost,0.013971,0.000578,10,0.01369,0.000611,10,-2.011599,1.535185,10,0.975194,0.0062,10,0.000183,0.000193,0.485468,0.001961
WineQuality,crda,mlp,0.014597,0.000663,10,0.014175,0.00062,10,-2.853657,2.636473,10,0.991237,0.002353,10,0.00021,0.000196,0.833726,0.000744
WineQuality,crda,xgboost,0.013971,0.000578,10,0.013582,0.000491,10,-2.763609,1.274522,10,0.98682,0.00334,10,0.000183,0.000155,0.403039,0.001056
WineQuality,ctgan,mlp,0.014597,0.000663,10,0.014898,0.000548,10,2.111227,1.812496,10,0.911542,0.007494,10,0.00021,0.000173,0.573162,0.00237
WineQuality,ctgan,xgboost,0.013971,0.000578,10,0.014012,0.000498,10,0.337835,2.527489,10,0.911542,0.007494,10,0.000183,0.000157,0.799262,0.00237
WineQuality,tabddpm,mlp,0.014597,0.000663,10,0.013779,0.000483,10,-5.545654,1.922844,10,0.960362,0.002385,10,0.00021,0.000153,0.608057,0.000754
WineQuality,tabddpm,xgboost,0.013971,0.000578,10,0.013607,0.000537,10,-2.581749,2.123644,10,0.960362,0.002385,10,0.000183,0.00017,0.671555,0.000754
WineQuality,tvae,mlp,0.014597,0.000663,10,0.014467,0.000594,10,-0.838843,2.763806,10,0.941586,0.003702,10,0.00021,0.000188,0.873992,0.001171
WineQuality,tvae,xgboost,0.013971,0.000578,10,0.0139,0.000668,10,-0.523713,1.890923,10,0.941586,0.003702,10,0.000183,0.000211,0.597962,0.001171
