# GPU: NVIDIA GeForce RTX 5080
# CC: cc120
# Model: Llama3.2-1B-FP8
# alg_count: 16, config_count: 16
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: LAYOUT_SEARCH_SPARSE24, dtype: fp8e4m3, outdtype: bf16, warmup=5, repeat=30, verify=True
# M_list: [16, 128, 1024, 4096, 16384]
# NK_list: [(3072, 2048), (2048, 2048), (16384, 2048), (2048, 8192), (3072, 2752), (2048, 2752), (16384, 2752), (2048, 10944), (3072, 3072), (2048, 3072), (16384, 3072), (2048, 12288), (3072, 3296), (2048, 3296), (16384, 3296), (2048, 13120)]
M,N,K,layout,tops,lat_us,alg_id,split_k,workspace
1024,2048,3072,TN_CC_Col,297.102539,43.369,2,1,0
1024,2048,3072,TN_CC_Row,297.974670,43.242,2,8,0
1024,2048,3072,TT_CR_Col,298.630280,43.147,2,1,0
1024,2048,3072,TT_CR_Row,295.792999,43.561,2,4,0
1024,2048,3296,NN_RC_Col,293.640228,47.079,0,-1,0
1024,2048,3296,NN_RC_Row,293.361084,47.124,0,2,0
1024,2048,3296,NT_RR_Col,293.600342,47.086,0,2,0
1024,2048,3296,NT_RR_Row,293.626923,47.082,0,-1,0
1024,2048,3296,TN_CC_Col,293.540497,47.095,0,4,0
1024,2048,3296,TN_CC_Row,293.460724,47.108,0,4,0
1024,2048,3296,TT_CR_Col,293.367706,47.123,0,1,0
1024,2048,3296,TT_CR_Row,293.387665,47.120,0,4,0
1024,2048,8192,NN_RC_Col,361.217102,95.122,3,-1,2884416
1024,2048,8192,NN_RC_Row,362.110443,94.887,3,-1,2884416
1024,2048,8192,NT_RR_Col,360.570129,95.293,3,1,2884416
1024,2048,8192,NT_RR_Row,362.407806,94.810,3,2,2884416
1024,2048,8192,TN_CC_Col,361.955780,94.928,3,1,2884416
1024,2048,8192,TN_CC_Row,361.935455,94.933,3,2,2884416
1024,2048,8192,TT_CR_Col,361.427826,95.067,3,1,2884416
1024,2048,8192,TT_CR_Row,360.590332,95.287,3,1,2884416
1024,2048,10944,NN_RC_Col,373.477386,122.906,1,1,8389696
1024,2048,10944,NN_RC_Row,372.768890,123.139,1,1,8389696
1024,2048,10944,NT_RR_Col,373.954498,122.749,1,-1,8389696
1024,2048,10944,NT_RR_Row,372.962738,123.075,1,2,8389696
1024,2048,10944,TN_CC_Col,373.406097,122.929,1,1,8389696
1024,2048,10944,TN_CC_Row,372.965973,123.074,1,-1,8389696
1024,2048,10944,TT_CR_Col,373.860229,122.780,1,1,8389696
1024,2048,10944,TT_CR_Row,372.778564,123.136,1,-1,8389696
1024,2048,12288,NN_RC_Col,380.055725,135.611,3,8,2884416
1024,2048,12288,NN_RC_Row,381.186066,135.209,3,4,2884416
1024,2048,12288,NT_RR_Col,380.594543,135.419,3,-1,2884416
1024,2048,12288,NT_RR_Row,380.570587,135.427,3,2,2884416
1024,2048,12288,TN_CC_Col,381.152954,135.220,3,1,2884416
1024,2048,12288,TN_CC_Row,380.432739,135.476,3,2,2884416
1024,2048,12288,TT_CR_Col,380.597534,135.418,3,1,2884416
1024,2048,12288,TT_CR_Row,381.186066,135.209,3,4,2884416
1024,2048,13120,NN_RC_Col,383.291901,143.570,1,-1,8389696
1024,2048,13120,NN_RC_Row,383.451416,143.510,1,-1,8389696
1024,2048,13120,NT_RR_Col,382.910706,143.713,1,2,8389696
1024,2048,13120,NT_RR_Row,383.519836,143.485,1,1,8389696
1024,2048,13120,TN_CC_Col,383.380188,143.537,1,2,8389696
1024,2048,13120,TN_CC_Row,383.434326,143.517,1,4,8389696
1024,2048,13120,TT_CR_Col,383.326080,143.557,1,-1,8389696
1024,2048,13120,TT_CR_Row,383.454254,143.509,1,2,8389696
1024,3072,2048,NN_RC_Col,331.029480,38.924,2,1,0
1024,3072,2048,NN_RC_Row,331.201904,38.903,2,2,0
1024,3072,2048,NT_RR_Col,331.138336,38.911,2,4,0
1024,3072,2048,NT_RR_Row,331.029480,38.924,3,4,0
1024,3072,2048,TN_CC_Col,331.156494,38.909,2,8,0
1024,3072,2048,TN_CC_Row,331.201904,38.903,2,4,0
1024,3072,2048,TT_CR_Col,331.065735,38.919,2,4,0
1024,3072,2048,TT_CR_Row,331.102020,38.915,2,1,0
1024,3072,2752,NN_RC_Col,325.231049,53.236,2,2,0
1024,3072,2752,NN_RC_Row,325.165863,53.247,2,2,0
1024,3072,2752,NT_RR_Col,325.074738,53.262,2,-1,0
1024,3072,2752,NT_RR_Row,325.126801,53.253,2,2,0
1024,3072,2752,TN_CC_Col,325.198486,53.242,2,1,0
