"model","pirt_accuracy","theta","n_subset_items","n_all_items","avg_observed","avg_predicted"
"LeroyDyer/Mixtral_Uncensored",0.574707892253273,0.0863775300335167,100,844,0.74,0.55249121110452
"alvarobartt/mistral-7b-orpo-alignment-handbook",0.549010620876791,-0.180394475852833,100,844,0.69,0.530060435510768
"flammenai/flammen23X-mistral-7B",0.619316746628571,0.4986398717556,100,844,0.83,0.590999105046389
"jondurbin/nontoxic-bagel-34b-v0.2",0.602090011150844,0.292943645931389,100,844,0.83,0.571456948133484
"mahiatlinux/MasherAI-7B-v6.1",0.563011865296794,-0.0370963282452225,100,844,0.72,0.541911309557116
"fhai50032/BeagleLake-7B",0.656953685604159,0.868524340725242,100,844,0.89,0.62563025624988
"Weyaxi/Instruct-v0.2-Seraph-7B",0.560741471743019,-0.0518417960229333,100,844,0.71,0.540679841600952
"google/codegemma-7b",0.448248120268717,-1.35012668857446,100,844,0.54,0.435915878369351
"chihoonlee10/T3Q-EN-DPO-Mistral-7B",0.717372248088365,1.79130098183092,100,844,0.97,0.683416905089489
"itsliupeng/Mixtral-8x7B-v0.1-top3",0.543275745679326,-0.259849249112914,100,844,0.69,0.523554743754504
"tuantran1632001/Psyfighter2-Orca2-ties",0.491280461403286,-0.841923630971117,100,844,0.61,0.475323534172545
"JCX-kcuf/openchat_3.5-gpt-4-80k",0.545745579669964,-0.22558443245516,100,844,0.69,0.526356544679368
"xriminact/TarsChattyBasev0.1",0.529592111106625,-0.433033324326969,100,844,0.68,0.509375997008053
"saucam/Athena-8B",0.506571379561856,-0.680595296098844,100,844,0.64,0.48863742520189
"silvercoder45/Mistral-7b-instruct-v0.2-summ-dpo-e1",0.526067747600579,-0.448861835452935,100,844,0.66,0.5080661007727
"ZoidBB/MultiKory-0.1-4x11b-pre1",0.689775544021337,1.24310588166926,100,844,0.95,0.654799138647861
"souvik0306/mistral_7b_2epoch_norobots",0.544830532630558,-0.221845404958815,100,844,0.68,0.526662593467998
"CultriX/MistralTrix-v1",0.675609289687915,1.08157128589462,100,844,0.92,0.642761075936291
"kyujinpy/Sakura-SOLRCA-Math-Instruct-DPO-v1",0.628172890508984,0.562924206067313,100,844,0.86,0.597013332781697
"dreamgen/opus-v1-34b",0.53899953856391,-0.302798782324059,100,844,0.68,0.520047863639705
"LeroyDyer/Mixtral_AI_CyberCoder",0.460396037919155,-1.19963193468607,100,844,0.56,0.447008408607214
"Nekochu/Luminia-13B-v3",0.417019242779999,-1.63538079255966,100,844,0.42,0.416618603368709
"TeeZee/DarkSapling-7B-v1.0",0.555283256882817,-0.12657628598104,100,844,0.71,0.534487995711152
