GPU,Model,M,cuBLASLt Latency (μs),2:4,2:6,2:8,2:10,2:12,2:14,2:16,2:∞
H100,Llama3.2-3B,2048,4.78e+02,1.49,1.16,1.04,0.96,0.92,0.85,0.89,0.77
H100,Llama3.2-3B,4096,1.09e+03,1.67,1.34,1.19,1.08,1.03,0.97,1.02,0.87
H100,Llama3.2-3B,8192,1.95e+03,1.53,1.22,1.02,0.95,0.91,0.82,0.89,0.76
H100,Llama3.2-3B,16384,4.66e+03,1.75,1.35,1.20,1.12,1.02,0.94,1.03,0.89
H100,Qwen2.5-7B,64,1.53e+02,1.53,1.16,1.08,1.00,0.97,0.97,0.95,0.85
H100,Qwen2.5-7B,128,1.46e+02,1.29,1.00,0.94,0.89,0.81,0.83,0.81,0.74
H100,Qwen2.5-7B,256,1.80e+02,1.26,0.94,0.90,0.85,0.78,0.78,0.79,0.72
H100,Qwen2.5-7B,512,3.05e+02,1.32,1.08,0.96,0.90,0.84,0.84,0.84,0.77
H100,Qwen2.5-7B,1024,5.61e+02,1.54,1.14,1.08,0.97,0.87,0.90,0.92,0.81
H100,Qwen2.5-7B,2048,1.14e+03,1.60,1.23,1.08,1.03,0.84,0.90,0.93,0.82
H100,Qwen2.5-7B,4096,2.55e+03,1.74,1.25,1.13,0.99,0.96,0.93,0.94,0.85
H100,Qwen2.5-7B,8192,4.96e+03,1.60,1.19,1.08,0.93,0.89,0.92,0.92,0.82
H100,Qwen2.5-7B,16384,1.10e+04,1.74,1.30,1.19,1.02,1.00,1.01,1.01,0.90
H100,Qwen2.5-14B,64,1.48e+02,1.38,1.06,0.99,0.94,0.87,0.83,0.85,0.72
H100,Qwen2.5-14B,128,1.56e+02,1.32,1.00,0.94,0.89,0.80,0.77,0.81,0.70
H100,Qwen2.5-14B,256,1.92e+02,1.31,0.98,0.75,0.85,0.80,0.75,0.79,0.70
H100,Qwen2.5-14B,512,3.69e+02,1.58,1.18,1.05,1.00,0.94,0.90,0.94,0.82
H100,Qwen2.5-14B,1024,7.09e+02,1.50,1.22,1.12,1.05,0.98,0.90,0.99,0.84
H100,Qwen2.5-14B,2048,1.48e+03,1.84,1.35,1.24,1.16,1.02,0.94,1.06,0.89
H100,Qwen2.5-14B,4096,2.99e+03,1.72,1.33,1.14,1.11,1.01,0.94,0.99,0.88
H100,Qwen2.5-14B,8192,6.30e+03,1.73,1.34,1.08,1.01,1.01,0.95,1.03,0.88
H100,Qwen2.5-14B,16384,1.30e+04,1.67,1.32,1.07,1.00,1.02,1.00,1.02,0.90
B200,Llama3.2-1B,64,3.64e+01,1.17,1.01,1.01,0.93,0.88,0.93,0.95,0.93
B200,Llama3.2-1B,128,3.78e+01,1.22,0.99,1.02,0.96,0.92,0.92,0.92,0.92
B200,Llama3.2-1B,256,4.32e+01,1.28,1.05,1.05,1.02,0.95,0.99,1.00,0.99
B200,Llama3.2-1B,512,4.96e+01,1.23,1.08,1.05,0.94,0.86,0.95,1.01,0.93
B200,Llama3.2-1B,1024,6.33e+01,1.25,1.05,1.03,0.90,0.88,0.88,0.93,0.89
B200,Llama3.2-1B,2048,9.71e+01,1.35,1.05,1.04,0.92,0.85,0.88,0.93,0.86
B200,Llama3.2-1B,4096,1.70e+02,1.43,1.05,1.03,0.87,0.80,0.84,0.92,0.82
B200,Llama3.2-1B,8192,3.42e+02,1.58,1.16,1.12,0.97,0.90,0.93,0.99,0.88
B200,Llama3.2-1B,16384,6.55e+02,1.61,1.15,1.14,0.95,0.89,0.91,0.99,0.86
B200,BitNet-2B,64,3.50e+01,1.10,0.94,0.94,0.94,0.94,0.87,0.94,0.91
B200,BitNet-2B,128,3.39e+01,1.04,0.91,0.87,0.86,0.86,0.82,0.86,0.85
B200,BitNet-2B,256,3.74e+01,1.03,0.94,0.91,0.90,0.89,0.83,0.87,0.81
B200,BitNet-2B,512,4.79e+01,1.13,0.89,0.94,0.91,0.86,0.83,0.86,0.83
B200,BitNet-2B,1024,6.52e+01,1.18,0.91,0.94,0.93,0.87,0.84,0.86,0.80
B200,BitNet-2B,2048,1.05e+02,1.31,0.93,0.98,0.92,0.85,0.77,0.85,0.78
B200,BitNet-2B,4096,1.90e+02,1.41,1.05,1.03,0.98,0.90,0.85,0.90,0.79
B200,BitNet-2B,8192,3.65e+02,1.54,1.08,1.08,1.01,0.94,0.88,0.93,0.83
B200,BitNet-2B,16384,7.37e+02,1.62,1.13,1.13,1.05,0.96,0.92,0.95,0.86
B200,Llama3.2-3B,64,4.16e+01,1.20,1.12,1.08,1.05,1.01,0.86,1.02,1.00
B200,Llama3.2-3B,128,4.03e+01,1.14,1.03,1.03,0.95,0.97,0.83,0.97,0.88
B200,Llama3.2-3B,256,4.45e+01,1.13,1.04,0.98,0.93,0.90,0.83,0.93,0.84
B200,Llama3.2-3B,512,5.71e+01,1.20,1.03,0.96,0.88,0.89,0.79,0.89,0.84
