GPU,Model,M,cuBLASLt Throughput (token/s),2:4,2:6,2:8,2:10
GB10,BitNet-2B,256,5.00e+03,1.10,1.00,1.00,0.97
GB10,BitNet-2B,512,5.18e+03,1.06,0.99,0.98,0.96
GB10,Llama3.2-3B,64,2.11e+03,1.18,1.02,1.03,0.93
GB10,Llama3.2-3B,128,3.15e+03,1.17,1.06,1.05,0.97
GB10,Llama3.2-3B,256,4.02e+03,1.11,1.04,1.03,0.97
GB10,Llama3.2-3B,512,4.20e+03,1.08,1.02,0.99,0.95
GB10,Qwen2.5-7B,64,1.26e+03,1.33,1.07,1.05,0.97
GB10,Qwen2.5-7B,128,2.11e+03,1.29,1.05,1.04,1.00
GB10,Qwen2.5-7B,256,2.91e+03,1.20,1.01,1.02,0.98
GB10,Qwen2.5-7B,512,2.94e+03,1.19,1.02,1.00,0.96
GB10,Qwen2.5-14B,64,6.49e+02,1.34,1.08,1.08,1.03
GB10,Qwen2.5-14B,128,1.10e+03,1.34,1.07,1.06,1.00
GB10,Qwen2.5-14B,256,1.48e+03,1.25,1.07,1.07,1.02
GB10,Qwen2.5-14B,512,1.53e+03,1.22,1.06,1.01,1.00
