GPU,Model,M,cuBLASLt Latency (μs),2:4,2:6,2:8,2:10,2:12,2:14,2:16,2:∞
RTX4090,Qwen2.5-7B,4096,3.57e+03,1.59,1.18,1.09,1.01,0.70,0.82,0.73,0.60
RTX4090,Qwen2.5-7B,8192,6.92e+03,1.58,1.19,1.07,1.00,0.77,0.90,0.92,0.80
RTX4090,Qwen2.5-7B,16384,1.40e+04,1.60,1.21,1.07,1.02,0.80,0.91,0.92,0.83
RTX4090,Qwen2.5-14B,64,2.59e+02,1.61,1.17,1.09,1.05,0.22,0.18,0.23,0.45
RTX4090,Qwen2.5-14B,128,2.81e+02,1.50,0.98,0.88,0.97,0.28,0.26,0.35,0.12
RTX4090,Qwen2.5-14B,256,4.62e+02,1.90,1.05,1.14,1.19,0.28,0.33,0.27,0.44
RTX4090,Qwen2.5-14B,512,7.37e+02,1.99,1.11,1.34,1.26,0.24,0.30,0.22,0.25
RTX4090,Qwen2.5-14B,1024,1.27e+03,1.74,1.15,1.17,0.98,0.56,0.70,0.81,0.71
RTX4090,Qwen2.5-14B,2048,2.18e+03,1.66,1.12,1.08,1.00,0.64,0.55,0.59,0.58
RTX4090,Qwen2.5-14B,4096,4.01e+03,1.52,1.08,1.07,0.98,0.69,0.62,0.81,0.72
RTX4090,Qwen2.5-14B,8192,8.03e+03,1.57,1.20,1.08,1.02,0.81,0.74,0.94,0.80
RTX4090,Qwen2.5-14B,16384,1.63e+04,1.65,1.22,1.10,1.03,0.81,0.77,0.95,0.83
H100,Llama3.2-1B,64,6.67e+01,1.67,1.44,1.37,1.31,1.25,1.25,1.30,1.07
H100,Llama3.2-1B,128,7.43e+01,1.69,1.40,1.37,1.22,1.16,1.18,1.25,1.03
H100,Llama3.2-1B,256,8.15e+01,1.42,1.18,1.13,1.01,0.94,0.97,1.01,0.90
H100,Llama3.2-1B,512,1.25e+02,1.55,1.20,1.16,1.02,1.01,0.99,1.06,0.95
H100,Llama3.2-1B,1024,1.60e+02,1.26,1.02,1.01,0.88,0.81,0.83,0.84,0.79
H100,Llama3.2-1B,2048,3.12e+02,1.48,1.07,1.01,0.91,0.90,0.90,0.89,0.77
H100,Llama3.2-1B,4096,5.47e+02,1.30,1.03,0.96,0.88,0.84,0.83,0.82,0.75
H100,Llama3.2-1B,8192,1.02e+03,1.36,1.00,0.95,0.84,0.76,0.80,0.80,0.70
H100,Llama3.2-1B,16384,2.09e+03,1.34,0.99,0.92,0.82,0.76,0.78,0.81,0.71
H100,BitNet-2B,64,6.28e+01,1.63,1.35,1.37,1.33,1.26,1.20,1.24,0.98
H100,BitNet-2B,128,7.15e+01,1.70,1.34,1.42,1.35,1.27,1.19,1.22,0.99
H100,BitNet-2B,256,7.90e+01,1.47,1.19,1.18,1.09,1.04,0.94,0.97,0.86
