algorithm,function,function_index,dimension,instance,budget,population_size,total_evaluations,total_generations,avg_evals_per_generation,avg_evals_per_candidate,final_best_f,converged
UH-CMA-ES(maxevals=10),111,11,40,5,4000,15,4133,38,108.763158,7.250877,163492.720887,1
UH-CMA-ES(maxevals=10),111,11,40,6,4000,15,4129,38,108.657895,7.243860,20326.1962166,1
UH-CMA-ES(maxevals=10),111,11,40,7,4000,15,4072,38,107.157895,7.143860,113954.833581,1
UH-CMA-ES(maxevals=10),111,11,40,8,4000,15,4134,38,108.789474,7.252632,40887.2549565,1
UH-CMA-ES(maxevals=10),111,11,40,9,4000,15,4162,39,106.717949,7.114530,93142.2135163,1
UH-CMA-ES(maxevals=10),111,11,40,10,4000,15,4149,39,106.384615,7.092308,146695.843693,1
UH-CMA-ES(maxevals=10),111,11,40,11,4000,15,4122,38,108.473684,7.231579,48530.0136516,1
UH-CMA-ES(maxevals=10),111,11,40,12,4000,15,4149,39,106.384615,7.092308,84862.9935714,1
UH-CMA-ES(maxevals=10),111,11,40,13,4000,15,4137,38,108.868421,7.257895,59934.9500712,1
UH-CMA-ES(maxevals=10),111,11,40,14,4000,15,4058,38,106.789474,7.119298,97855.6675627,1
UH-CMA-ES(maxevals=10),111,11,40,15,4000,15,4147,38,109.131579,7.275439,179703.027876,1
UH-CMA-ES(maxevals=10),113,13,40,1,4000,15,4108,38,108.105263,7.207018,708.822537636,1
UH-CMA-ES(maxevals=10),113,13,40,2,4000,15,4118,38,108.368421,7.224561,248.420050494,1
UH-CMA-ES(maxevals=10),113,13,40,3,4000,15,4166,38,109.631579,7.308772,403.575934922,1
UH-CMA-ES(maxevals=10),113,13,40,4,4000,15,4128,38,108.631579,7.242105,557.139451723,1
UH-CMA-ES(maxevals=10),113,13,40,5,4000,15,4096,38,107.789474,7.185965,898.480254166,1
UH-CMA-ES(maxevals=10),113,13,40,6,4000,15,4140,38,108.947368,7.263158,565.51941653,1
UH-CMA-ES(maxevals=10),113,13,40,7,4000,15,4101,38,107.921053,7.194737,73.2663033985,1
UH-CMA-ES(maxevals=10),113,13,40,8,4000,15,4130,38,108.684211,7.245614,628.936018745,1
UH-CMA-ES(maxevals=10),113,13,40,9,4000,15,4079,38,107.342105,7.156140,307.420692534,1
UH-CMA-ES(maxevals=10),113,13,40,10,4000,15,4173,39,107.000000,7.133333,80.4428378712,1
UH-CMA-ES(maxevals=10),113,13,40,11,4000,15,4159,39,106.641026,7.109402,1233.47793183,1
UH-CMA-ES(maxevals=10),113,13,40,12,4000,15,4090,38,107.631579,7.175439,578.846023181,1
UH-CMA-ES(maxevals=10),113,13,40,13,4000,15,4068,38,107.052632,7.136842,-65.2614759444,1
UH-CMA-ES(maxevals=10),113,13,40,14,4000,15,4157,38,109.394737,7.292982,665.757533836,1
UH-CMA-ES(maxevals=10),113,13,40,15,4000,15,4012,41,97.853659,6.523577,-434.733490703,1
UH-CMA-ES(maxevals=10),114,14,40,1,4000,15,4099,38,107.868421,7.191228,747.152612139,1
UH-CMA-ES(maxevals=10),114,14,40,2,4000,15,4129,38,108.657895,7.243860,950.241469284,1
UH-CMA-ES(maxevals=10),114,14,40,3,4000,15,4090,38,107.631579,7.175439,1250.08960675,1
UH-CMA-ES(maxevals=10),114,14,40,4,4000,15,4147,38,109.131579,7.275439,863.684650055,1
UH-CMA-ES(maxevals=10),114,14,40,5,4000,15,4135,38,108.815789,7.254386,389.607524368,1
UH-CMA-ES(maxevals=10),114,14,40,6,4000,15,4088,38,107.578947,7.171930,730.975116937,1
UH-CMA-ES(maxevals=10),114,14,40,7,4000,15,4179,39,107.153846,7.143590,703.441908762,1
UH-CMA-ES(maxevals=10),114,14,40,8,4000,15,4105,38,108.026316,7.201754,1292.7046508,1
UH-CMA-ES(maxevals=10),114,14,40,9,4000,15,4149,39,106.384615,7.092308,614.956377804,1
UH-CMA-ES(maxevals=10),114,14,40,10,4000,15,4153,41,101.292683,6.752846,981.605286834,1
UH-CMA-ES(maxevals=10),114,14,40,11,4000,15,4110,38,108.157895,7.210526,1655.49545138,1
UH-CMA-ES(maxevals=10),114,14,40,12,4000,15,4019,38,105.763158,7.050877,1130.13598345,1
UH-CMA-ES(maxevals=10),114,14,40,13,4000,15,4098,38,107.842105,7.189474,1713.32488319,1
UH-CMA-ES(maxevals=10),114,14,40,14,4000,15,4148,38,109.157895,7.277193,1278.78361367,1
UH-CMA-ES(maxevals=10),114,14,40,15,4000,15,4123,38,108.500000,7.233333,-291.053225184,1
UH-CMA-ES(maxevals=10),116,16,40,1,4000,15,4075,38,107.236842,7.149123,55604.055471,1
UH-CMA-ES(maxevals=10),116,16,40,2,4000,15,4146,38,109.105263,7.273684,62616.4699166,1
UH-CMA-ES(maxevals=10),116,16,40,3,4000,15,4124,39,105.743590,7.049573,59170.576466,1
UH-CMA-ES(maxevals=10),116,16,40,4,4000,15,4106,38,108.052632,7.203509,8955.80578192,1
UH-CMA-ES(maxevals=10),116,16,40,5,4000,15,4102,39,105.179487,7.011966,26649.1424691,1
UH-CMA-ES(maxevals=10),116,16,40,6,4000,15,4119,38,108.394737,7.226316,36786.0298741,1
UH-CMA-ES(maxevals=10),116,16,40,7,4000,15,4108,38,108.105263,7.207018,56467.1957022,1
UH-CMA-ES(maxevals=10),116,16,40,8,4000,15,4136,39,106.051282,7.070085,34721.8798616,1
UH-CMA-ES(maxevals=10),116,16,40,9,4000,15,4059,38,106.815789,7.121053,38827.2517307,1
UH-CMA-ES(maxevals=10),116,16,40,10,4000,15,4073,38,107.184211,7.145614,56782.0230401,1
UH-CMA-ES(maxevals=10),116,16,40,11,4000,15,4115,38,108.289474,7.219298,70216.428447,1
UH-CMA-ES(maxevals=10),116,16,40,12,4000,15,4147,39,106.333333,7.088889,31891.3653059,1
UH-CMA-ES(maxevals=10),116,16,40,13,4000,15,4158,40,103.950000,6.930000,51539.3310385,1
UH-CMA-ES(maxevals=10),116,16,40,14,4000,15,4083,38,107.447368,7.163158,41796.0777107,1
UH-CMA-ES(maxevals=10),116,16,40,15,4000,15,4149,39,106.384615,7.092308,46389.0091759,1
UH-CMA-ES(maxevals=10),117,17,40,1,4000,15,4032,39,103.384615,6.892308,13860.4051898,1
UH-CMA-ES(maxevals=10),117,17,40,2,4000,15,4131,39,105.923077,7.061538,67154.1941677,1
UH-CMA-ES(maxevals=10),117,17,40,3,4000,15,4103,38,107.973684,7.198246,15207.4782866,1
UH-CMA-ES(maxevals=10),117,17,40,4,4000,15,4105,38,108.026316,7.201754,12663.2258876,1
UH-CMA-ES(maxevals=10),117,17,40,5,4000,15,4121,38,108.447368,7.229825,64723.7267389,1
UH-CMA-ES(maxevals=10),117,17,40,6,4000,15,4121,38,108.447368,7.229825,84267.7434153,1
UH-CMA-ES(maxevals=10),117,17,40,7,4000,15,4112,38,108.210526,7.214035,63219.583191,1
UH-CMA-ES(maxevals=10),117,17,40,8,4000,15,4149,38,109.184211,7.278947,84475.4627243,1
UH-CMA-ES(maxevals=10),117,17,40,9,4000,15,4104,38,108.000000,7.200000,35698.2585155,1
UH-CMA-ES(maxevals=10),117,17,40,10,4000,15,4111,39,105.410256,7.027350,67903.9299718,1
UH-CMA-ES(maxevals=10),117,17,40,11,4000,15,4119,38,108.394737,7.226316,34345.11501,1
UH-CMA-ES(maxevals=10),117,17,40,12,4000,15,4094,38,107.736842,7.182456,28343.6973139,1
UH-CMA-ES(maxevals=10),117,17,40,13,4000,15,4134,39,106.000000,7.066667,23310.0065098,1
UH-CMA-ES(maxevals=10),117,17,40,14,4000,15,4131,38,108.710526,7.247368,44584.1359137,1
UH-CMA-ES(maxevals=10),117,17,40,15,4000,15,4127,38,108.605263,7.240351,61969.8556517,1
UH-CMA-ES(maxevals=10),119,19,40,1,4000,15,4051,39,103.871795,6.924786,-20.3794434786,1
UH-CMA-ES(maxevals=10),119,19,40,2,4000,15,4150,39,106.410256,7.094017,-163.270895218,1
UH-CMA-ES(maxevals=10),119,19,40,3,4000,15,4009,39,102.794872,6.852991,85.8701794351,1
UH-CMA-ES(maxevals=10),119,19,40,4,4000,15,4061,41,99.048780,6.603252,52.6175924746,1
UH-CMA-ES(maxevals=10),119,19,40,5,4000,15,4066,40,101.650000,6.776667,-44.4318685231,1
UH-CMA-ES(maxevals=10),119,19,40,6,4000,15,4078,38,107.315789,7.154386,75.61583892,1
UH-CMA-ES(maxevals=10),119,19,40,7,4000,15,4084,38,107.473684,7.164912,-95.4104171387,1
UH-CMA-ES(maxevals=10),119,19,40,8,4000,15,4068,38,107.052632,7.136842,30.8432276921,1
UH-CMA-ES(maxevals=10),119,19,40,9,4000,15,4107,41,100.170732,6.678049,-25.2424166978,1
UH-CMA-ES(maxevals=10),119,19,40,10,4000,15,4057,42,96.595238,6.439683,841.001290716,1
UH-CMA-ES(maxevals=10),119,19,40,11,4000,15,4112,38,108.210526,7.214035,-34.156082164,1
UH-CMA-ES(maxevals=10),119,19,40,12,4000,15,4006,38,105.421053,7.028070,-8.50126178468,1
UH-CMA-ES(maxevals=10),119,19,40,13,4000,15,4111,39,105.410256,7.027350,-8.79655949088,1
UH-CMA-ES(maxevals=10),119,19,40,14,4000,15,4117,38,108.342105,7.222807,-153.336993439,1
UH-CMA-ES(maxevals=10),119,19,40,15,4000,15,4110,39,105.384615,7.025641,11.8010254292,1
UH-CMA-ES(maxevals=10),120,20,40,1,4000,15,4108,38,108.105263,7.207018,-7.25926953901,1
UH-CMA-ES(maxevals=10),120,20,40,2,4000,15,4116,38,108.315789,7.221053,-119.647940544,1
UH-CMA-ES(maxevals=10),120,20,40,3,4000,15,4121,38,108.447368,7.229825,122.7164918,1
UH-CMA-ES(maxevals=10),120,20,40,4,4000,15,4104,38,108.000000,7.200000,94.7765457305,1
UH-CMA-ES(maxevals=10),120,20,40,5,4000,15,4151,39,106.435897,7.095726,48.7123958753,1
UH-CMA-ES(maxevals=10),120,20,40,6,4000,15,4112,38,108.210526,7.214035,117.857339771,1
UH-CMA-ES(maxevals=10),120,20,40,7,4000,15,4112,38,108.210526,7.214035,-65.5273487522,1
UH-CMA-ES(maxevals=10),120,20,40,8,4000,15,4142,38,109.000000,7.266667,86.8798771023,1
UH-CMA-ES(maxevals=10),120,20,40,9,4000,15,4125,38,108.552632,7.236842,-33.7256117586,1
UH-CMA-ES(maxevals=10),120,20,40,10,4000,15,4144,39,106.256410,7.083761,815.40282792,1
UH-CMA-ES(maxevals=10),120,20,40,11,4000,15,4112,38,108.210526,7.214035,-41.0446834092,1
UH-CMA-ES(maxevals=10),120,20,40,12,4000,15,4130,38,108.684211,7.245614,-1.19465518437,1
UH-CMA-ES(maxevals=10),120,20,40,13,4000,15,4089,38,107.605263,7.173684,48.5631089067,1
UH-CMA-ES(maxevals=10),120,20,40,14,4000,15,4115,38,108.289474,7.219298,-134.917327617,1
UH-CMA-ES(maxevals=10),120,20,40,15,4000,15,4108,38,108.105263,7.207018,99.0841844218,1
UH-CMA-ES(maxevals=10),122,22,40,1,4000,15,4076,38,107.263158,7.150877,-14.7261668539,1
UH-CMA-ES(maxevals=10),122,22,40,2,4000,15,4146,40,103.650000,6.910000,20.546282373,1
UH-CMA-ES(maxevals=10),122,22,40,3,4000,15,4101,38,107.921053,7.194737,280.01174119,1
UH-CMA-ES(maxevals=10),122,22,40,4,4000,15,4134,38,108.789474,7.252632,43.4091258017,1
UH-CMA-ES(maxevals=10),122,22,40,5,4000,15,4159,39,106.641026,7.109402,-144.177864157,1
UH-CMA-ES(maxevals=10),122,22,40,6,4000,15,4093,38,107.710526,7.180702,-216.664806696,1
UH-CMA-ES(maxevals=10),122,22,40,7,4000,15,4045,38,106.447368,7.096491,125.905232627,1
UH-CMA-ES(maxevals=10),122,22,40,8,4000,15,4141,38,108.973684,7.264912,73.4817559462,1
UH-CMA-ES(maxevals=10),122,22,40,9,4000,15,4106,39,105.282051,7.018803,5.36583280356,1
UH-CMA-ES(maxevals=10),122,22,40,10,4000,15,4075,41,99.390244,6.626016,8.0000938075,1
UH-CMA-ES(maxevals=10),122,22,40,11,4000,15,4117,38,108.342105,7.222807,198.757327492,1
UH-CMA-ES(maxevals=10),122,22,40,12,4000,15,4175,39,107.051282,7.136752,56.6282989348,1
UH-CMA-ES(maxevals=10),122,22,40,13,4000,15,4006,44,91.045455,6.069697,207.370963637,1
UH-CMA-ES(maxevals=10),122,22,40,14,4000,15,4163,40,104.075000,6.938333,-166.466294577,1
UH-CMA-ES(maxevals=10),122,22,40,15,4000,15,4030,43,93.720930,6.248062,-344.348617478,1
UH-CMA-ES(maxevals=10),123,23,40,1,4000,15,4111,38,108.184211,7.212281,-9.84433663222,1
UH-CMA-ES(maxevals=10),123,23,40,2,4000,15,4124,38,108.526316,7.235088,20.4256864395,1
UH-CMA-ES(maxevals=10),123,23,40,3,4000,15,4112,38,108.210526,7.214035,275.49581492,1
UH-CMA-ES(maxevals=10),123,23,40,4,4000,15,4153,39,106.487179,7.099145,49.0331304156,1
UH-CMA-ES(maxevals=10),123,23,40,5,4000,15,4157,40,103.925000,6.928333,-142.740150265,1
UH-CMA-ES(maxevals=10),123,23,40,6,4000,15,4111,38,108.184211,7.212281,-217.916083778,1
UH-CMA-ES(maxevals=10),123,23,40,7,4000,15,4113,38,108.236842,7.215789,127.511810713,1
UH-CMA-ES(maxevals=10),123,23,40,8,4000,15,4121,38,108.447368,7.229825,79.4050633408,1
UH-CMA-ES(maxevals=10),123,23,40,9,4000,15,4098,38,107.842105,7.189474,1.4994159847,1
UH-CMA-ES(maxevals=10),123,23,40,10,4000,15,4127,38,108.605263,7.240351,18.3776922127,1
UH-CMA-ES(maxevals=10),123,23,40,11,4000,15,4149,38,109.184211,7.278947,201.611106414,1
UH-CMA-ES(maxevals=10),123,23,40,12,4000,15,4146,38,109.105263,7.273684,55.6141801705,1
UH-CMA-ES(maxevals=10),123,23,40,13,4000,15,4134,38,108.789474,7.252632,220.306569248,1
UH-CMA-ES(maxevals=10),123,23,40,14,4000,15,4032,38,106.105263,7.073684,-170.344166543,1
UH-CMA-ES(maxevals=10),123,23,40,15,4000,15,4167,41,101.634146,6.775610,-333.536498629,1
UH-CMA-ES(maxevals=10),125,25,40,1,4000,15,4113,39,105.461538,7.030769,-101.825640381,1
UH-CMA-ES(maxevals=10),125,25,40,2,4000,15,4079,40,101.975000,6.798333,72.3889125058,1
UH-CMA-ES(maxevals=10),125,25,40,3,4000,15,4115,38,108.289474,7.219298,214.597541794,1
UH-CMA-ES(maxevals=10),125,25,40,4,4000,15,4132,38,108.736842,7.249123,-57.6688504728,1
UH-CMA-ES(maxevals=10),125,25,40,5,4000,15,4158,39,106.615385,7.107692,-612.177751751,1
UH-CMA-ES(maxevals=10),125,25,40,6,4000,15,4138,38,108.894737,7.259649,-184.740290145,1
UH-CMA-ES(maxevals=10),125,25,40,7,4000,15,4005,42,95.357143,6.357143,38.2775437456,1
UH-CMA-ES(maxevals=10),125,25,40,8,4000,15,4096,39,105.025641,7.001709,-393.998943489,1
UH-CMA-ES(maxevals=10),125,25,40,9,4000,15,4136,40,103.400000,6.893333,-101.58386477,1
UH-CMA-ES(maxevals=10),125,25,40,10,4000,15,4102,38,107.947368,7.196491,273.448669905,1
UH-CMA-ES(maxevals=10),125,25,40,11,4000,15,4118,38,108.368421,7.224561,-2.79276207311,1
UH-CMA-ES(maxevals=10),125,25,40,12,4000,15,4036,39,103.487179,6.899145,-184.519342694,1
UH-CMA-ES(maxevals=10),125,25,40,13,4000,15,4142,38,109.000000,7.266667,102.196939407,1
UH-CMA-ES(maxevals=10),125,25,40,14,4000,15,4015,38,105.657895,7.043860,-1.57373182302,1
UH-CMA-ES(maxevals=10),125,25,40,15,4000,15,4129,38,108.657895,7.243860,-27.188089423,1
UH-CMA-ES(maxevals=10),126,26,40,1,4000,15,4110,38,108.157895,7.210526,-100.872677683,1
UH-CMA-ES(maxevals=10),126,26,40,2,4000,15,4154,38,109.315789,7.287719,73.869470811,1
UH-CMA-ES(maxevals=10),126,26,40,3,4000,15,4109,38,108.131579,7.208772,216.047433495,1
UH-CMA-ES(maxevals=10),126,26,40,4,4000,15,4149,38,109.184211,7.278947,-54.7864458003,1
UH-CMA-ES(maxevals=10),126,26,40,5,4000,15,4119,38,108.394737,7.226316,-611.136306562,1
UH-CMA-ES(maxevals=10),126,26,40,6,4000,15,4101,38,107.921053,7.194737,-184.5750584,1
UH-CMA-ES(maxevals=10),126,26,40,7,4000,15,4131,38,108.710526,7.247368,38.4825838458,1
UH-CMA-ES(maxevals=10),126,26,40,8,4000,15,4085,38,107.500000,7.166667,-392.743095961,1
UH-CMA-ES(maxevals=10),126,26,40,9,4000,15,4121,38,108.447368,7.229825,-101.835001961,1
UH-CMA-ES(maxevals=10),126,26,40,10,4000,15,4137,38,108.868421,7.257895,273.912616115,1
UH-CMA-ES(maxevals=10),126,26,40,11,4000,15,4124,38,108.526316,7.235088,-1.68369652296,1
UH-CMA-ES(maxevals=10),126,26,40,12,4000,15,4117,38,108.342105,7.222807,-185.1121858,1
UH-CMA-ES(maxevals=10),126,26,40,13,4000,15,4118,38,108.368421,7.224561,101.893977425,1
UH-CMA-ES(maxevals=10),126,26,40,14,4000,15,4117,38,108.342105,7.222807,-0.582361229556,1
UH-CMA-ES(maxevals=10),126,26,40,15,4000,15,4111,38,108.184211,7.212281,-25.814070683,1
UH-CMA-ES(maxevals=10),128,28,40,1,4000,15,4130,39,105.897436,7.059829,53.4211943316,1
UH-CMA-ES(maxevals=10),128,28,40,2,4000,15,4082,38,107.421053,7.161404,7.68378151962,1
UH-CMA-ES(maxevals=10),128,28,40,3,4000,15,4133,38,108.763158,7.250877,-354.675492033,1
UH-CMA-ES(maxevals=10),128,28,40,4,4000,15,4100,38,107.894737,7.192982,-22.5314569824,1
UH-CMA-ES(maxevals=10),128,28,40,5,4000,15,4152,39,106.461538,7.097436,529.755066109,1
UH-CMA-ES(maxevals=10),128,28,40,6,4000,15,4133,38,108.763158,7.250877,992.637089494,1
UH-CMA-ES(maxevals=10),128,28,40,7,4000,15,4141,38,108.973684,7.264912,139.44145725,1
UH-CMA-ES(maxevals=10),128,28,40,8,4000,15,4104,38,108.000000,7.200000,-454.495595051,1
UH-CMA-ES(maxevals=10),128,28,40,9,4000,15,4130,38,108.684211,7.245614,-50.4465242133,1
UH-CMA-ES(maxevals=10),128,28,40,10,4000,15,4131,38,108.710526,7.247368,297.894064211,1
UH-CMA-ES(maxevals=10),128,28,40,11,4000,15,4160,39,106.666667,7.111111,122.407860162,1
UH-CMA-ES(maxevals=10),128,28,40,12,4000,15,4136,38,108.842105,7.256140,-179.492201246,1
UH-CMA-ES(maxevals=10),128,28,40,13,4000,15,4127,38,108.605263,7.240351,8.32079600973,1
UH-CMA-ES(maxevals=10),128,28,40,14,4000,15,4113,38,108.236842,7.215789,-484.547840498,1
UH-CMA-ES(maxevals=10),128,28,40,15,4000,15,4098,38,107.842105,7.189474,-26.1387279626,1
UH-CMA-ES(maxevals=10),129,29,40,1,4000,15,4092,38,107.684211,7.178947,84.5484794359,1
UH-CMA-ES(maxevals=10),129,29,40,2,4000,15,4087,38,107.552632,7.170175,0.0857831647574,1
UH-CMA-ES(maxevals=10),129,29,40,3,4000,15,4128,38,108.631579,7.242105,-340.181994431,1
UH-CMA-ES(maxevals=10),129,29,40,4,4000,15,4109,38,108.131579,7.208772,-14.9155309226,1
UH-CMA-ES(maxevals=10),129,29,40,5,4000,15,4118,38,108.368421,7.224561,547.899380681,1
UH-CMA-ES(maxevals=10),129,29,40,6,4000,15,4134,38,108.789474,7.252632,1020.62465738,1
UH-CMA-ES(maxevals=10),129,29,40,7,4000,15,4180,39,107.179487,7.145299,142.028144369,1
UH-CMA-ES(maxevals=10),129,29,40,8,4000,15,4125,38,108.552632,7.236842,-447.77544949,1
UH-CMA-ES(maxevals=10),129,29,40,9,4000,15,4121,39,105.666667,7.044444,-32.4708017114,1
UH-CMA-ES(maxevals=10),129,29,40,10,4000,15,4162,39,106.717949,7.114530,307.155707679,1
UH-CMA-ES(maxevals=10),129,29,40,11,4000,15,4143,39,106.230769,7.082051,136.372381098,1
UH-CMA-ES(maxevals=10),129,29,40,12,4000,15,4061,38,106.868421,7.124561,-170.082890011,1
UH-CMA-ES(maxevals=10),129,29,40,13,4000,15,4175,39,107.051282,7.136752,9.50732762185,1
UH-CMA-ES(maxevals=10),129,29,40,14,4000,15,4073,38,107.184211,7.145614,-478.495844723,1
UH-CMA-ES(maxevals=10),129,29,40,15,4000,15,4127,38,108.605263,7.240351,-26.7423039644,1
UH-CMA-ES(maxevals=30),108,8,40,1,4000,15,4086,17,240.352941,16.023529,576.510307302,1
UH-CMA-ES(maxevals=30),108,8,40,2,4000,15,4103,17,241.352941,16.090196,1096.01274144,1
UH-CMA-ES(maxevals=30),108,8,40,3,4000,15,4082,17,240.117647,16.007843,110.067866166,1
UH-CMA-ES(maxevals=30),108,8,40,4,4000,15,4127,17,242.764706,16.184314,6.80771782365,1
UH-CMA-ES(maxevals=30),108,8,40,5,4000,15,4115,17,242.058824,16.137255,456.550056077,1
UH-CMA-ES(maxevals=30),108,8,40,6,4000,15,4107,17,241.588235,16.105882,293.677098138,1
UH-CMA-ES(maxevals=30),108,8,40,7,4000,15,4096,17,240.941176,16.062745,-352.680515082,1
UH-CMA-ES(maxevals=30),108,8,40,8,4000,15,4101,17,241.235294,16.082353,628.251524547,1
UH-CMA-ES(maxevals=30),108,8,40,9,4000,15,4101,17,241.235294,16.082353,380.726179171,1
UH-CMA-ES(maxevals=30),108,8,40,10,4000,15,4103,17,241.352941,16.090196,274.123316303,1
UH-CMA-ES(maxevals=30),108,8,40,11,4000,15,4130,17,242.941176,16.196078,630.91150051,1
UH-CMA-ES(maxevals=30),108,8,40,12,4000,15,4098,17,241.058824,16.070588,1243.5212333,1
UH-CMA-ES(maxevals=30),108,8,40,13,4000,15,4023,17,236.647059,15.776471,334.220669847,1
UH-CMA-ES(maxevals=30),108,8,40,14,4000,15,4105,17,241.470588,16.098039,722.220861607,1
UH-CMA-ES(maxevals=30),108,8,40,15,4000,15,4039,17,237.588235,15.839216,726.344030299,1
UH-CMA-ES(maxevals=30),110,10,40,1,4000,15,4114,17,242.000000,16.133333,184970.133607,1
UH-CMA-ES(maxevals=30),110,10,40,2,4000,15,4034,17,237.294118,15.819608,114558.57651,1
UH-CMA-ES(maxevals=30),110,10,40,3,4000,15,4256,18,236.444444,15.762963,27007.4809293,1
UH-CMA-ES(maxevals=30),110,10,40,4,4000,15,4155,21,197.857143,13.190476,79922.7010688,1
UH-CMA-ES(maxevals=30),110,10,40,5,4000,15,4185,18,232.500000,15.500000,77413.4673385,1
UH-CMA-ES(maxevals=30),110,10,40,6,4000,15,4021,22,182.772727,12.184848,96421.5706234,1
UH-CMA-ES(maxevals=30),110,10,40,7,4000,15,4175,20,208.750000,13.916667,175133.439867,1
UH-CMA-ES(maxevals=30),110,10,40,8,4000,15,4258,19,224.105263,14.940351,122390.141975,1
UH-CMA-ES(maxevals=30),110,10,40,9,4000,15,4003,20,200.150000,13.343333,103629.437485,1
UH-CMA-ES(maxevals=30),110,10,40,10,4000,15,4135,18,229.722222,15.314815,157303.741984,1
UH-CMA-ES(maxevals=30),110,10,40,11,4000,15,4095,18,227.500000,15.166667,153716.756633,1
UH-CMA-ES(maxevals=30),110,10,40,12,4000,15,4224,18,234.666667,15.644444,231054.377624,1
UH-CMA-ES(maxevals=30),110,10,40,13,4000,15,4096,19,215.578947,14.371930,153896.02507,1
UH-CMA-ES(maxevals=30),110,10,40,14,4000,15,4088,18,227.111111,15.140741,233607.154729,1
UH-CMA-ES(maxevals=30),110,10,40,15,4000,15,4220,18,234.444444,15.629630,221806.357902,1
UH-CMA-ES(maxevals=30),111,11,40,1,4000,15,4093,17,240.764706,16.050980,247848.076752,1
UH-CMA-ES(maxevals=30),111,11,40,2,4000,15,4206,19,221.368421,14.757895,232840.707387,1
UH-CMA-ES(maxevals=30),111,11,40,3,4000,15,4183,18,232.388889,15.492593,156522.055367,1
