experiment_id,dag_size,method,identifiability,adjustment_set,true_parents,nb_CI_tests
100_22,100,ldecc,True,"['75', '61', '29']","['29', '61', '65']",1252
100_22,100,pc,True,"['65', '61', '29', '23']","['29', '61', '65']",15463
100_22,100,CMB,True,"['29', '61', '65']","['29', '61', '65']",1037
100_22,100,MBbyMB,True,"['29', '61', '99', '4', '65']","['29', '61', '65']",3583
100_23,100,locpc,True,"['94', '77']","['77', '94']",730
100_23,100,ldecc,True,"['94', '77']","['77', '94']",407
100_23,100,pc,True,"['77', '94']","['77', '94']",17220
100_23,100,CMB,True,"['94', '77']","['77', '94']",132
100_23,100,MBbyMB,True,"['41', '94', '77', '58', '88', '68', '17']","['77', '94']",3440
100_24,100,locpc,True,"['34', '92']","['34', '92']",865
100_24,100,ldecc,True,"['92', '34']","['34', '92']",402
100_24,100,pc,True,"['34', '92']","['34', '92']",22465
100_24,100,CMB,True,"['92', '85']","['34', '92']",2337
100_24,100,MBbyMB,True,"['34', '92', '19', '26', '32']","['34', '92']",6824
100_25,100,locpc,True,"['37', '92', '61', '96']","['37', '61']",1433
100_25,100,ldecc,True,"['61', '79', '37']","['37', '61']",3237
100_25,100,pc,True,"['92', '37', '96', '61']","['37', '61']",17410
100_25,100,CMB,True,"['37', '61', '79']","['37', '61']",1695
100_25,100,MBbyMB,True,"['37', '61', '84', '96']","['37', '61']",4447
100_26,100,locpc,True,"['21', '67', '99']","['21', '67', '99']",2354
100_26,100,ldecc,True,"['21', '34', '99']","['21', '67', '99']",2313
100_26,100,pc,True,"['21', '99', '67']","['21', '67', '99']",19492
100_26,100,CMB,True,"['21', '99', '67']","['21', '67', '99']",706
100_26,100,MBbyMB,True,"['21', '55', '71', '42', '92', '99', '67']","['21', '67', '99']",7381
100_27,100,locpc,True,"['8', '57']","['8', '57']",584
100_27,100,ldecc,True,['57'],"['8', '57']",3617
100_27,100,pc,True,"['68', '57', '8']","['8', '57']",19146
100_27,100,CMB,True,['8'],"['8', '57']",6041
100_27,100,MBbyMB,True,"['6', '8', '57']","['8', '57']",2681
100_28,100,locpc,True,"['85', '81', '86']","['81', '85', '86']",655
100_28,100,ldecc,True,"['86', '85', '81']","['81', '85', '86']",432
100_28,100,pc,True,"['81', '86', '85']","['81', '85', '86']",17632
