dataset,baseline,sample_size,mse,mse_se,aug_mse,aug_mse_se,delta_mse,delta_mse_se,p_wilcoxon,p_wilcoxon_se,should_proceed,n_seeds
503_wind,linreg,3942,0.00657972732143508,0.00010155043585677393,0.006582507879255033,0.00010170012583675832,0.041963380517304104,0.03994276682597542,0.49309895833333334,0.029991829783907686,False,15
503_wind,linreg,5256,0.006583374279892275,8.683410315960553e-05,0.006583569883195007,8.725531350971937e-05,0.001914524809424401,0.031219630694274643,0.4977213541666667,0.025416486562288794,False,15
503_wind,linreg,6570,0.00617510702897922,5.186628193903787e-05,0.00617496329802936,5.119565039417543e-05,-0.0010718159784863374,0.02392279877578678,0.5284505208333333,0.034348920256576605,False,15
623_fri_c4_1000_10,linreg,200,0.023264821417938984,0.0010233543119341781,0.02331734723220181,0.001012961342880129,0.2855557809450585,0.6260687933419326,0.30638020833333335,0.03017524197118547,False,15
623_fri_c4_1000_10,linreg,400,0.022073479015388732,0.0005710872731649139,0.022100939035307406,0.0005718468781840461,0.12830394892009114,0.2653079516425136,0.3651041666666667,0.032796727640547634,False,15
623_fri_c4_1000_10,linreg,600,0.021331821167682265,0.0005001635310911311,0.02135838085061919,0.0005068437165438206,0.11830127378796931,0.16300923376191426,0.3853515625,0.040036657883658545,False,15
623_fri_c4_1000_10,linreg,800,0.01592429804620997,0.00039563933471250173,0.015944571946736544,0.0003997666953765439,0.11927655921353923,0.08957295838713293,0.3809895833333333,0.03905108960331771,False,15
623_fri_c4_1000_10,linreg,1000,0.015908123625855284,0.00037803670315008774,0.015911166561325612,0.0003734794153344536,0.029704913336401406,0.1289042113157596,0.419140625,0.032473379558175273,False,15
ConcreteCompressiveStrength,linreg,201,0.016621287816339474,0.0010835723102270997,0.016591807652002393,0.0010799274305849167,-0.1536110229405968,0.290973458295184,0.3625,0.03625892967646111,False,15
ConcreteCompressiveStrength,linreg,402,0.01746892591094512,0.000896465549404629,0.017430514504602382,0.0009170525880666221,-0.33411001290816444,0.3173954627740521,0.35182291666666665,0.031770919096903175,False,15
ConcreteCompressiveStrength,linreg,603,0.01732293415811304,0.0004885962477201135,0.017335803969871354,0.000507290928775421,0.03226267816444824,0.26142810064918853,0.40553385416666665,0.029314768014772355,False,15
ConcreteCompressiveStrength,linreg,804,0.016710928418908276,0.0005706058382834402,0.016726309244418036,0.0005822981936338043,0.0574002779711372,0.16429874508652997,0.451953125,0.028604987281705487,False,15
ConcreteCompressiveStrength,linreg,1005,0.015718958923335653,0.000357858249591795,0.015721769278865025,0.0003599393171700068,0.014932381499214718,0.08461594043089028,0.47747395833333334,0.02496467395401491,False,15
EnergyEfficiency,linreg,153,0.003620453319685127,0.00032699225578477185,0.00364987334565204,0.00032601454300173506,1.019771888617697,0.9473144320566141,0.4129557291666667,0.04410755297257682,False,15
EnergyEfficiency,linreg,306,0.00292792478589556,0.00012178749362554265,0.00292640353781622,0.00012210145938755138,-0.032263753732352816,0.366213298710021,0.3983072916666667,0.0392322005166282,False,15
EnergyEfficiency,linreg,459,0.002871911536358227,0.0001237575819954807,0.0028729597588201803,0.0001234922035261999,0.0444935469397803,0.226310406273607,0.4534505208333333,0.04171894971267815,False,15
EnergyEfficiency,linreg,612,0.002615187557584447,8.601095906713425e-05,0.002621406777507667,8.421916138450534e-05,0.28947177213526615,0.30662369079545354,0.45240885416666665,0.03572219155622039,False,15
EnergyEfficiency,linreg,765,0.00266670800568076,5.6002749510803916e-05,0.0026730324048721,5.883765330889595e-05,0.2087240914959113,0.19882714902116072,0.4357421875,0.02554188148599629,False,15
HousePrice,linreg,200,0.00010293889139327672,6.345604567252359e-06,0.00010348253890862067,6.112615621241022e-06,0.7670996977298553,0.5361591629720309,0.3436197916666667,0.030260814060402874,False,15
HousePrice,linreg,400,0.00010045470302432518,4.371518258313493e-06,0.00010054418345764448,4.359072935472362e-06,0.09916416734828869,0.19104631327548613,0.4625,0.03856980954494504,False,15
HousePrice,linreg,600,9.954043233547285e-05,3.698256100581325e-06,9.961502216394731e-05,3.7155747830939387e-06,0.06824719107654381,0.12789312318396048,0.5150390625,0.023781576557422506,False,15
HousePrice,linreg,800,0.00010395855337734405,2.796353300988671e-06,0.00010397912645513456,2.7653138333993804e-06,0.03019466527786915,0.09192217888330576,0.47610677083333336,0.04720198324910193,False,15
HousePrice,linreg,1000,0.00010339115571758496,3.1003605856181897e-06,0.00010360250393289905,3.0638328183880656e-06,0.22481475519382568,0.16898193581618426,0.44524739583333334,0.04158274600777941,False,15
ParkinsonsTelemonitoring,linreg,1175,0.0047502110781944195,0.00011160188052287422,0.004754154557153407,0.00011197328027025231,0.08202320784151083,0.10318575356068858,0.42486979166666666,0.04270588760373392,False,15
ParkinsonsTelemonitoring,linreg,2350,0.004671552178595301,9.644980083059967e-05,0.004680564557987461,9.910826244275308e-05,0.17929670917517238,0.14415952244995264,0.3333984375,0.025781426147035335,False,15
ParkinsonsTelemonitoring,linreg,3525,0.004651356590576293,9.617322193310446e-05,0.004650358372811741,9.523689342650466e-05,-0.015150466051282155,0.06401902551301983,0.35520833333333335,0.027553119741230366,False,15
ParkinsonsTelemonitoring,linreg,4700,0.004617552580092647,7.657596568226974e-05,0.004619635992064193,7.625150378905466e-05,0.046879661603155515,0.050258453047545865,0.44928385416666666,0.029652091751112494,False,15
ParkinsonsTelemonitoring,linreg,5875,0.0046547052678060875,5.445394340789474e-05,0.00465505607778998,5.37935495610376e-05,0.009963385380376706,0.027944427992911913,0.42916666666666664,0.02371408498842866,False,15
WineQuality,linreg,1063,0.021525840288580848,0.0006581461134914285,0.021544312450105227,0.0006696696621975567,0.06593278079831152,0.2404112461968848,0.39264322916666666,0.02560425997515351,False,15
WineQuality,linreg,2126,0.01512552072732865,0.00032094941390111803,0.01513082875482644,0.0003180597112998344,0.04071491500484872,0.04977908267455271,0.45208333333333334,0.0327027947153689,False,15
WineQuality,linreg,3189,0.015447611211348146,0.00020566389231446963,0.015460684633089397,0.00020407943954405287,0.08694325657160477,0.051025839482902784,0.4430338541666667,0.027283673018841464,False,15
WineQuality,linreg,4252,0.01483037280184744,0.000270290835003768,0.014839281644232068,0.0002688497077889065,0.06283892033546366,0.04359186905002302,0.487109375,0.03539906125634084,False,15
WineQuality,linreg,5315,0.014893663834715364,0.0001678678035932924,0.01489582346064234,0.00016991598617174087,0.012297091861146556,0.03329785680741208,0.505078125,0.024422840683787424,False,15
