algorithm,seed,max_evals,evaluations,best_noisy,post_true,post_median,post_cvar20
ProbeSwitch-MR-Robust(t=0.12),12,200,200,0.0011741373679916164,0.009143096828341187,0.007889040968112163,0.018679928751511938
ProbeSwitch-MR-Robust(t=0.12),13,200,200,0.009374785005006103,0.16776457557471233,0.16490994966894934,0.22883736331576895
ProbeSwitch-MR-Robust(t=0.12),14,200,200,0.0047064911821144495,0.019785708310439,0.01640183162206814,0.047130389003877934
ProbeSwitch-MR-Robust(t=0.12),15,200,200,0.0017339486531436719,0.017887270403999067,0.016552268262517503,0.028183142006860007
ProbeSwitch-MR-Robust(t=0.12),16,200,200,0.0022718956425084183,0.025730541418530047,0.020451531831621114,0.05898184847582927
ProbeSwitch-MR-Robust(t=0.12),17,200,200,0.0767800958293062,0.1704136224758801,0.1623966857494782,0.21251566996813032
ProbeSwitch-MR-Robust(t=0.12),18,200,200,0.018771254597331526,0.023936071185411537,0.024438851717643165,0.03365801109040443
ProbeSwitch-MR-Robust(t=0.12),19,200,200,0.010329762537858262,0.09783407230415345,0.09576376562841227,0.1481694950352605
ProbeSwitch-MR-Robust(t=0.12),20,200,200,0.025193572386998566,0.06209530189575213,0.05118608801261239,0.10650704063482995
ProbeSwitch-MR-Robust(t=0.12),21,200,200,0.004703425167081849,0.008294880738905119,0.007130128490518828,0.014777184472266688
ProbeSwitch-MR-Robust(t=0.12),22,200,200,0.01398628441147725,0.046131782382920164,0.04110618970150831,0.07180604630132567
ProbeSwitch-MR-Robust(t=0.12),23,200,200,0.05972847432427174,0.1176711715403731,0.11427985319278355,0.16055061755768568
ProbeSwitch-MR-Robust(t=0.12),24,200,200,0.006386493003822537,0.051293456998459414,0.042298039004793286,0.10041737795909968
ProbeSwitch-MR-Robust(t=0.12),25,200,200,0.001581482902623708,0.015097342481679146,0.012369617836887736,0.028691362612071922
ProbeSwitch-MR-Robust(t=0.12),26,200,200,0.013232623139515714,0.05351317694342647,0.05317343839971318,0.07124356070133082
ProbeSwitch-MR-Robust(t=0.12),27,200,200,0.002866808729642927,0.05384239011728982,0.046919031739323186,0.10752418385341245
ProbeSwitch-MR-Robust(t=0.12),28,200,200,0.018990314282713534,0.03579427383236025,0.03516570003549229,0.045465150460009866
ProbeSwitch-MR-Robust(t=0.12),29,200,200,0.009338051157276116,0.14982299000035376,0.130641217875605,0.3228778911297234
ProbeSwitch-MR-Robust(t=0.12),30,200,200,0.0015887824685367163,0.013798749081941463,0.010101298892362399,0.034714181565455596
ProbeSwitch-MR-Robust(t=0.12),31,200,200,0.022847036590582303,0.17476107802885252,0.17504734683816903,0.27217324232363027
ProbeSwitch-MR-Robust(t=0.12),32,200,200,0.006418802693429455,0.028802387305718342,0.026172158069455838,0.04841019543390916
ProbeSwitch-MR-Robust(t=0.12),33,200,200,0.01041363247587903,0.03996946980879529,0.035715587027447655,0.06576003702246928
ProbeSwitch-MR-Robust(t=0.12),34,200,200,0.05097739027498972,0.07166655047456606,0.067540544245385,0.08923634979563114
ProbeSwitch-MR-Robust(t=0.12),35,200,200,0.0017809706295214452,0.01445380871254803,0.010046442924286449,0.035793768889372184
ProbeSwitch-MR-Robust(t=0.12),36,200,200,0.03579900220859275,0.05569540068948328,0.05399220501186246,0.07548865804254644
ProbeSwitch-MR-Robust(t=0.12),37,200,200,0.04386089860263586,0.1313528471615411,0.11859328634883479,0.20871959975127297
ProbeSwitch-MR-Robust(t=0.12),38,200,200,0.009322686493752745,0.04118622404074998,0.02825014272244067,0.09462271114829525
ProbeSwitch-MR-Robust(t=0.12),39,200,200,0.0009625941786919395,0.008123361160344074,0.0055386674710019585,0.01948976850000941
ProbeSwitch-MR-Robust(t=0.12),40,200,200,0.03815666161646138,0.08718662723393651,0.07958171565443063,0.13413377785644737
ProbeSwitch-MR-Robust(t=0.12),41,200,200,0.002909507251761916,0.03398775138546451,0.023103931372894397,0.08141380211128289
ProbeSwitch-MR-Robust(t=0.12),42,200,200,0.018759705593754214,0.18537655535681052,0.1787649562909269,0.26702041495249024
ProbeSwitch-MR-Robust(t=0.12),43,200,200,0.06506290528658558,0.09827022812235245,0.09707175946337993,0.12011984934789456
ProbeSwitch-MR-Robust(t=0.12),44,200,200,0.09494254898074588,0.13029938488996956,0.1294162353746275,0.14767471495959933
ProbeSwitch-MR-Robust(t=0.12),45,200,200,0.005866363939471613,0.04953846086961372,0.04071458003795163,0.09237030542604972
ProbeSwitch-MR-Robust(t=0.12),46,200,200,0.0065358981435514885,0.04911776399276303,0.04595196648159841,0.08050044349942569
ProbeSwitch-MR-Robust(t=0.12),47,200,200,0.000528174413207081,0.0036240667446960787,0.003181059749059685,0.006796182567426293
ProbeSwitch-MR-Robust(t=0.12),48,200,200,0.006436794819419855,0.05327390371414516,0.04210976135922477,0.11242572329638649
ProbeSwitch-MR-Robust(t=0.12),49,200,200,0.03377726686783529,0.09494442227684621,0.09085058397966149,0.1551362694375345
ProbeSwitch-MR-Robust(t=0.12),50,200,200,0.010324874182264066,0.04895181404136771,0.03955951130988937,0.08617467048313927
ProbeSwitch-MR-Robust(t=0.22),1,200,200,0.0029360557441780906,0.021387060258560932,0.017691558980984463,0.041538575317467845
