"model","theta_atlas","se","num_items","time_sec"
"Kukedlc/NeuralSynthesis-7B-v0.3",2.28019343095697,0.223972174685717,30,1.67726445198059
"migtissera/Tess-72B-v1.5b",-0.042856930122491,0.111991079529652,30,1.69005227088928
"cloudyu/4bit_quant_TomGrc_FusionNet_34Bx2_MoE_v0.1_DPO",0.0207301976340477,0.10818005813398,30,1.71985650062561
"weezywitasneezy/OxytocinErosEngineeringF1-7B-slerp",0.38179890938983,0.0697557758277612,30,1.66852593421936
"saishf/Merge-Mayhem-L3-V2.1",-0.827001535437538,0.133637896104732,30,1.68424248695374
"rwitz2/pee",0.737075754838827,0.0588776831168963,30,1.72538685798645
"icefog72/IceLatteRP-7b",0.743161812524003,0.0579037843981219,30,1.69647121429443
"ALBADDAWI/DeepCode-7B-Aurora",-1.49221380663286,0.146360965973536,30,1.63620090484619
"zhengr/MixTAO-7Bx2-MoE-DPO",0.748750081935054,0.0580241049506767,30,1.73912763595581
"liminerity/M7-7b",2.32603155104554,0.235054602551806,30,1.68847560882568
"uukuguy/zephyr-7b-alpha-dare-0.85",-0.322536181587899,0.110486851427821,30,1.64638185501099
"ABX-AI/Silver-Sun-11B",-0.0519297597599206,0.114279242564529,30,1.72318577766418
"kyujinpy/PlatYi-34B-Llama",-0.472153371582631,0.110655525772956,30,1.68593668937683
"migtissera/Tess-XS-v1.0",-0.320282802620332,0.109780549595082,30,1.72732758522034
"openlynn/Llama-3-Soliloquy-Max-70B-v1",0.0332738404049265,0.108658287605951,30,1.72468590736389
"BFauber/lora_llama2-13b_10e5_r32_a16",-1.06365732056811,0.13800961842022,30,1.66238903999329
"vicgalle/franken-SOLAR-18B-v1.0",-0.123650052674002,0.106501943993534,30,1.66709089279175
"SUSTech/SUS-Chat-72B",-0.51579914011339,0.123972604056679,30,1.73276257514954
"Eric111/Yarn-Mistral-7b-128k-DPO",-0.464355451898172,0.107416566499192,30,1.65541315078735
"ewqr2130/llama_sft_longer",-1.938348535771,0.138684880911809,30,1.67019414901733
"jan-hq/komodo-7b-chat",-2.03226835284259,0.139239965207985,30,1.68357801437378
"shanchen/llama3-slerp-med",-1.05427371719993,0.139812415259436,30,1.72355794906616
"nbeerbower/slerp-bophades-truthy-math-mistral-7B",1.99823977707254,0.162163879911153,30,1.68170595169067
"nbeerbower/flammen16-mistral-7B",1.24126842923202,0.0595116534939198,30,1.68342399597168
"budecosystem/code-millenials-34b",-1.62369320678869,0.139384590570908,30,1.69022107124329
"tyson0420/stack_llama_fil_ai",-2.04570012048714,0.139861330449127,30,1.66649985313416
"Kabster/BioMistral-Zephyr-Beta-SLERP",-0.284527341846354,0.108074394934382,30,1.65732979774475
"amu/spin-phi2-2",-1.22779165259074,0.1395331737582,30,1.73099803924561
"fhai50032/RP-Coder-SM3",0.239168883474099,0.0768854507800433,30,1.67759704589844
"bardsai/jaskier-7b-dpo-v3.3",1.75920237774719,0.12150828270204,30,1.678959608078
"andysalerno/mistral-sft-v3",-0.351614960135758,0.108659491409612,30,1.74540019035339
"PulsarAI/Draco-8x7B",0.215354801285065,0.0786047950306259,30,1.67710876464844
"freecs/Zero-7B-test-1",-0.047323871699274,0.108590800660359,30,1.69106364250183
"netcat420/MFANN3bv0.4",-1.26910112804529,0.176862419631913,30,1.7065327167511
"xDAN2099/xDAN-L2-moe-2x-v1",-0.291268262604125,0.113449558183116,30,1.50375032424927
"NECOUDBFM/Jellyfish",-0.472644349185284,0.11363971587459,30,1.53781652450562
"FelixChao/Patronum-7B",1.25017889966564,0.0610690272908223,30,1.54699325561523
"karakuri-ai/karakuri-lm-70b-chat-v0.1",-0.881463110506998,0.134796833263191,30,1.50193190574646
"nbeerbower/flammen17-mistral-7B",1.22822120032697,0.0612991250105891,30,1.50671076774597
"Lazycuber/L2-7b-Guanaco-Random-Test",-2.19757646388377,0.14633281843014,30,1.53281855583191
"TeeZee/NEBULA-23B-v1.0",-0.307665935174086,0.115419556566944,30,1.49616098403931
"Charlie911/llama2-MultiLoRA-sharegpt-mmlu-drop-ffn-1.0general",-2.0392242913262,0.140307887566451,30,1.50487613677979
"Ba2han/BruinsV2-OpHermesNeu-11B",0.715838131029959,0.0615379543105202,30,1.5567467212677
"nlpguy/Hermes-low-tune",0.162865212695753,0.0822258934033702,30,1.5162889957428
"CallComply/zephyr-7b-beta-128k",-0.484028430173507,0.108925186641831,30,1.51794409751892
"Sao10K/14B-Glacier-Stack",0.477320806348763,0.0657271101126003,30,1.47180104255676
"01-ai/Yi-34B-Chat",-0.536247351962516,0.113533566322247,30,1.48156142234802
"Azazelle/Mocha-Dare-7b-ex",-0.265291364431559,0.1157545207433,30,1.45094895362854
"NLUHOPOE/test-case-0",-0.823018511160026,0.154080182531382,30,1.46307015419006
"jisukim8873/mistralai-case-0-1",-0.42166716085987,0.110921547608618,30,1.47692513465881
"Nitral-AI/Lelanta-lake-7b",1.49808226426793,0.070615486044008,30,1.45444750785828
"Muhammad2003/Myriad-7B-Slerp",2.59575045511821,0.291534413713427,40,1.94329166412354
"openagi-project/OpenAGI-7B-v0.2",0.348880115752244,0.163838950317576,30,1.46889328956604
"cstr/llama3-8b-spaetzle-v13",-0.356731993118874,0.134157075445295,30,1.4506528377533
"meraGPT/mera-mix-4x7B",1.49965379691398,0.0716000569185358,30,1.44773387908936
"KingNish/KingNish-Llama3-8b",-0.436878697672075,0.118112326792288,30,1.4476854801178
"ALBADDAWI/DeepCode-7B-Aurora-v2",-1.60775195625507,0.139541230927672,30,1.47547888755798
"Artples/L-MChat-Small",-1.14182258100726,0.140981116760243,30,1.47696113586426
"abideen/PhigRange-2.7B-slerp",-1.15862291706167,0.138755567211876,30,1.4493556022644
"NLUHOPOE/test-case-5",-1.09491901836718,0.163961206285486,30,1.4604218006134
"abacusai/Llama-3-Smaug-8B",-1.08396139745524,0.140059279787754,30,1.45384335517883
"cookinai/titanbagel",-0.258786780703977,0.109651155753565,30,1.44288730621338
"decruz07/kellemar-DPO-7B-v1.01",0.267012240354576,0.0740788561779746,30,1.47992610931396
"pansophic/new_model_test3",-1.67343541152931,0.142206764907551,30,1.4456479549408
"Undi95/Llama-3-8B-Instruct-OAS",-0.936214940666722,0.158672766224543,30,1.45517730712891
"Weyaxi/Platypus-Nebula-v2-7B",-0.253040040713838,0.116993801469537,30,1.48458647727966
"Nitral-AI/Nyanade_Stunna-Maid-7B",0.263004265194228,0.0738238472992935,30,1.49396896362305
"Q-bert/MetaMath-Cybertron",0.197502988576167,0.0804435744473407,30,1.60696601867676
"MaziyarPanahi/Llama-3-70B-Instruct-DPO-v0.2",-0.127051471065489,0.109799664902149,30,1.7749707698822
"Gille/StrangeMerges_22-7B-slerp",1.78537678116285,0.121749435824155,30,1.63237857818604
"Azure99/blossom-v4-yi-34b",-0.392647342146569,0.106859467659461,30,1.65873217582703
"Weyaxi/Einstein-v4-Qwen-1.5-32B",-0.987498971036972,0.134523006962738,30,1.73413038253784
"sr5434/CodegebraGPT-10b",-0.988400599377113,0.135690212122086,30,1.64948058128357
"jingyeom/freeze_KoSoLAR-10.7B-v0.2_1.4_dedup",-0.94572803427475,0.135453431218989,30,1.66033101081848
"Alsebay/L3-krai-test",-0.935905169843437,0.141013035678347,30,1.63923001289368
"AA051610/FT",-0.555827510467763,0.112340237172388,30,1.49052810668945
"fblgit/UNA-dolphin-2.6-mistral-7b-dpo-laser",0.290842368390495,0.0720374476970989,30,1.47633790969849
"SC99/Mistral-7B-privatemix-ia3",1.5005697634828,0.0710486280215509,30,1.54803657531738
"VAGOsolutions/SauerkrautLM-14b-MoE-LaserChat",0.0931311170152271,0.0960084812147615,30,1.71947407722473
"nlpguy/Hermes-low-tune-3.1",0.252736009499185,0.0746630454285068,30,1.59136915206909
"leejaymin/etri-ones-solar",-0.489128917305516,0.11168119950838,30,1.72526979446411
"Weyaxi/Stellaris-internlm2-20b-r512",-1.01193098096739,0.136073106301101,30,1.68879270553589
"frankenmerger/delta-4B-super",-1.0722463570895,0.160279145488944,30,1.67480945587158
"YeungNLP/firefly-zephyr-6x7b-lora",-0.285307696727371,0.112765547497741,30,1.67455625534058
"leveldevai/BeagleMist-7B",0.89272943865888,0.0581400500334527,30,1.72836112976074
"eren23/slerp-test-turdus-beagle",1.25464793595703,0.0605787419586353,30,1.66440773010254
"Changgil/K2S3-Llama2-13b-v1.0",-1.36423051917899,0.136962000164147,30,1.67474055290222
"Gille/StrangeMerges_4-7B-slerp",0.727022966149626,0.0590782251945514,30,1.73193573951721
"uukuguy/speechless-llama2-13b",-0.695118339053175,0.130154559682577,30,1.68145108222961
"chlee10/T3Q-platypus-SOLAR-10.7B-v1.0",-0.547600569571655,0.111001813904936,30,1.63378477096558
"fzzhang/mistralv1_gsm8k_merged_s",-0.273258517869273,0.108563321112938,30,1.66217446327209
"allknowingroger/JaskierMistral-7B-slerp",2.42259179984644,0.258630566401859,30,1.68737387657166
"upaya07/Birbal-7B-V1",-0.0945690863688978,0.104612579919497,30,1.69144296646118
"P0x0/IceMerge-7b-32k",0.0495415584724185,0.0992633043430386,30,1.72510528564453
"EleutherAI/llemma_34b",-1.21281264744992,0.138475065468315,30,1.672278881073
"Xenon1/MetaModel_moex8",0.282798269973167,0.0733895687036745,30,1.69098711013794
"Antonio88/TaliML-7B-V.1-ENG",-0.356485285251681,0.10791190546215,30,1.72129130363464
"YeungNLP/firefly-qwen1.5-en-7b",-1.2626586084593,0.142038134454477,30,1.72383713722229
"snorkelai/Snorkel-Mistral-PairRM-DPO",0.171045967212195,0.0852205524363809,30,1.69481348991394
"Mihaiii/Metis-0.5",-0.226753914917871,0.111244015307211,30,1.73324799537659
"DreadPoor/NewtoccineLake-slerp-7B",0.512069260020378,0.0683948233410995,30,1.67983508110046
"ShenaoZhang/0.001_3iters_bs256_nodpo_only4w_iter_3",0.057654700288861,0.105329367824637,30,1.62754559516907
"sarahlintang/mistral-indo-7b",-0.726862132929479,0.148644568560978,30,1.7008581161499
"OmnicromsBrain/NeuralStar_AlphaWriter_4x7b",1.13250572340699,0.0657311824653629,30,1.67046308517456
"Muhammad2003/Llama3-8B-OpenHermes-DPO",-1.06342562284916,0.137086966828145,30,1.68629908561707
"ajibawa-2023/Uncensored-Jordan-13B",-1.17906292800744,0.149689523995474,30,1.6733067035675
"YeungNLP/firefly-qwen1.5-en-7b-unsloth",-1.53369584653744,0.142161691144462,30,1.73718070983887
"kaitchup/Mayonnaise-4in1-022",1.39450127048912,0.0601489643597716,30,1.68071556091309
"Sao10K/Venomia-1.1-m7",-0.479172492304311,0.109434490689908,30,1.69034600257874
"abideen/Mistral-v2-orpo",-0.348800920184925,0.109825757022785,30,1.73334002494812
"nbeerbower/Flammen-Trismegistus-7B",-0.254021619166755,0.120910400873465,30,1.69205546379089
"NickyNicky/Mistral-7B-OpenOrca-oasst_top1_2023-08-25-v3",-0.542186238806222,0.111706218265215,30,1.68142628669739
"uukuguy/speechless-mistral-7B-v0.2-mixed-1",-0.510163354420573,0.110509183967155,30,1.74474573135376
"beberik/Nyxene-11B",0.501084044400714,0.0668285639242563,30,1.7015655040741
"Gille/StrangeMerges_36-7B-slerp",1.49566921654097,0.0697567641662398,30,1.62226939201355
"NLUHOPOE/Mistral-7B-length-100000",-1.27011393069938,0.141188673323886,30,1.74785375595093
"cognitivecomputations/dolphin-2.6-mistral-7b",0.0231942643203085,0.109444512268144,30,1.72576427459717
"Delcos/Velara-11B-V2",0.271359891409278,0.075590429510417,30,1.7007954120636
"paulml/DPOB-NMTOB-7B",1.73992590248329,0.113130363265161,30,1.74290323257446
"Deci/DeciLM-7B",-0.790687315224445,0.138372977560777,30,1.67795467376709
"xriminact/TarsChattyBasev0.0",0.228132916294015,0.0780452409468155,30,1.68386507034302
"automerger/OgnoExperiment27-7B",2.52385529471552,0.289239581141678,30,1.74084520339966
"LeroyDyer/Mixtral_Uncensored",0.239758875259227,0.0757745769827561,30,1.68583369255066
"alvarobartt/mistral-7b-orpo-alignment-handbook",-0.353305932808005,0.111647187984703,30,1.68247222900391
"flammenai/flammen23X-mistral-7B",0.608061659560439,0.0759691505362401,30,1.73588466644287
"jondurbin/nontoxic-bagel-34b-v0.2",0.238031364099817,0.0759691115022188,30,1.68498635292053
"mahiatlinux/MasherAI-7B-v6.1",-0.0902688862865862,0.107735670660292,30,1.65699815750122
"fhai50032/BeagleLake-7B",0.968251787358162,0.0595003051931271,30,1.68155670166016
"Weyaxi/Instruct-v0.2-Seraph-7B",0.250281059279038,0.0758178536526188,30,1.72037601470947
"google/codegemma-7b",-1.51316097415417,0.140475143762988,30,1.69287967681885
"chihoonlee10/T3Q-EN-DPO-Mistral-7B",2.18972435364158,0.206051057811407,30,1.67787981033325
"itsliupeng/Mixtral-8x7B-v0.1-top3",-0.305007419747695,0.122192969521906,30,1.73233985900879
"tuantran1632001/Psyfighter2-Orca2-ties",-0.471377347998663,0.10683642635748,30,1.69512033462524
"JCX-kcuf/openchat_3.5-gpt-4-80k",-0.0671404835855913,0.105302737792798,30,1.69750595092773
"xriminact/TarsChattyBasev0.1",-0.453212187967284,0.108330991218713,30,1.75173258781433
"saucam/Athena-8B",-1.06125452950574,0.143347954168064,30,1.73286318778992
