algorithm,budget_multiplier,function,dimension,instance,evaluations,best_f,final_target_hit,elapsed_sec
BERW-Hetero,100,114,40,1,4000,426.2236414,0,0.0
BERW-Hetero,100,114,40,2,4000,1529.824165,0,0.0
BERW-Hetero,100,114,40,3,4000,1497.697855,0,0.0
BERW-Hetero,100,114,40,4,4000,1306.352432,0,0.0
BERW-Hetero,100,114,40,5,4000,1345.965847,0,0.0
BERW-Hetero,100,114,40,6,4000,1839.986336,0,0.0
BERW-Hetero,100,114,40,7,4000,1206.449704,0,0.0
BERW-Hetero,100,114,40,8,4000,1396.711958,0,0.0
BERW-Hetero,100,114,40,9,4000,1132.751279,0,0.0
BERW-Hetero,100,114,40,10,4000,1238.217292,0,0.0
BERW-Hetero,100,114,40,11,4000,1928.613681,0,0.0
BERW-Hetero,100,114,40,12,4000,1337.784594,0,0.0
BERW-Hetero,100,114,40,13,4000,1890.958065,0,0.0
BERW-Hetero,100,114,40,14,4000,967.7307492,0,0.0
BERW-Hetero,100,114,40,15,4000,1155.73198,0,0.0
BERW-Hetero,100,116,40,1,4000,30868.23697,0,0.0
BERW-Hetero,100,116,40,2,4000,14957.32281,0,0.0
BERW-Hetero,100,116,40,3,4000,30121.05284,0,0.0
BERW-Hetero,100,116,40,4,4000,18629.25967,0,0.0
BERW-Hetero,100,116,40,5,4000,26927.4376,0,0.0
BERW-Hetero,100,116,40,6,4000,51245.7485,0,0.0
BERW-Hetero,100,116,40,7,4000,23798.40646,0,0.0
BERW-Hetero,100,116,40,8,4000,31165.82342,0,0.0
BERW-Hetero,100,116,40,9,4000,18354.23836,0,0.0
BERW-Hetero,100,116,40,10,4000,78392.92888,0,0.0
BERW-Hetero,100,116,40,11,4000,17786.78703,0,0.0
BERW-Hetero,100,116,40,12,4000,32512.06165,0,0.0
BERW-Hetero,100,116,40,13,4000,39344.9447,0,0.0
BERW-Hetero,100,116,40,14,4000,27767.47776,0,0.0
BERW-Hetero,100,116,40,15,4000,49622.56824,0,0.0
BERW-Hetero,100,117,40,1,4000,75386.45502,0,0.0
BERW-Hetero,100,117,40,2,4000,56847.42856,0,0.0
BERW-Hetero,100,117,40,3,4000,106920.8489,0,0.0
BERW-Hetero,100,117,40,4,4000,68886.48323,0,0.0
BERW-Hetero,100,117,40,5,4000,89599.97352,0,0.0
BERW-Hetero,100,117,40,6,4000,78962.87532,0,0.0
BERW-Hetero,100,117,40,7,4000,62718.0565,0,0.0
BERW-Hetero,100,117,40,8,4000,74658.80295,0,0.0
BERW-Hetero,100,117,40,9,4000,101302.9261,0,0.0
BERW-Hetero,100,117,40,10,4000,45597.09261,0,0.0
BERW-Hetero,100,117,40,11,4000,93112.05744,0,0.0
BERW-Hetero,100,117,40,12,4000,48786.42813,0,0.0
BERW-Hetero,100,117,40,13,4000,141403.3988,0,0.0
BERW-Hetero,100,117,40,14,4000,90968.12469,0,0.0
BERW-Hetero,100,117,40,15,4000,84390.1162,0,0.0
BERW-Hetero,100,119,40,1,4000,41.34760634,0,0.0
BERW-Hetero,100,119,40,2,4000,38.98468435,0,0.0
BERW-Hetero,100,119,40,3,4000,18.31799702,0,0.0
BERW-Hetero,100,119,40,4,4000,30.78691133,0,0.0
BERW-Hetero,100,119,40,5,4000,29.61048729,0,0.0
BERW-Hetero,100,119,40,6,4000,32.2753177,0,0.0
BERW-Hetero,100,119,40,7,4000,34.25849705,0,0.0
BERW-Hetero,100,119,40,8,4000,41.12652303,0,0.0
BERW-Hetero,100,119,40,9,4000,35.59050003,0,0.0
BERW-Hetero,100,119,40,10,4000,25.63888647,0,0.0
BERW-Hetero,100,119,40,11,4000,18.50050408,0,0.0
BERW-Hetero,100,119,40,12,4000,38.62160411,0,0.0
BERW-Hetero,100,119,40,13,4000,42.93258763,0,0.0
BERW-Hetero,100,119,40,14,4000,31.23416034,0,0.0
BERW-Hetero,100,119,40,15,4000,39.39487115,0,0.0
BERW-Hetero,100,120,40,1,4000,48.29425684,0,0.0
BERW-Hetero,100,120,40,2,4000,45.82173104,0,0.0
BERW-Hetero,100,120,40,3,4000,59.64880372,0,0.0
BERW-Hetero,100,120,40,4,4000,49.50023275,0,0.0
BERW-Hetero,100,120,40,5,4000,68.10479326,0,0.0
BERW-Hetero,100,120,40,6,4000,55.28495559,0,0.0
BERW-Hetero,100,120,40,7,4000,40.11367545,0,0.0
BERW-Hetero,100,120,40,8,4000,49.07162794,0,0.0
BERW-Hetero,100,120,40,9,4000,56.48516754,0,0.0
BERW-Hetero,100,120,40,10,4000,51.46116198,0,0.0
BERW-Hetero,100,120,40,11,4000,48.39513104,0,0.0
BERW-Hetero,100,120,40,12,4000,32.4495904,0,0.0
BERW-Hetero,100,120,40,13,4000,77.4559238,0,0.0
BERW-Hetero,100,120,40,14,4000,41.26562531,0,0.0
BERW-Hetero,100,120,40,15,4000,62.25722637,0,0.0
BERW-Hetero,100,122,40,1,4000,11.06234277,0,0.0
BERW-Hetero,100,122,40,2,4000,10.71816768,0,0.0
BERW-Hetero,100,122,40,3,4000,12.81608318,0,0.0
BERW-Hetero,100,122,40,4,4000,12.59232654,0,0.0
BERW-Hetero,100,122,40,5,4000,9.906429297,0,0.0
BERW-Hetero,100,122,40,6,4000,9.266575658,0,0.0
BERW-Hetero,100,122,40,7,4000,12.88800828,0,0.0
BERW-Hetero,100,122,40,8,4000,12.20833507,0,0.0
BERW-Hetero,100,122,40,9,4000,14.52285151,0,0.0
BERW-Hetero,100,122,40,10,4000,10.68052724,0,0.0
BERW-Hetero,100,122,40,11,4000,9.638408685,0,0.0
BERW-Hetero,100,122,40,12,4000,8.772683709,0,0.0
BERW-Hetero,100,122,40,13,4000,10.76337655,0,0.0
BERW-Hetero,100,122,40,14,4000,8.997309264,0,0.0
BERW-Hetero,100,122,40,15,4000,9.186878756,0,0.0
BERW-Hetero,100,123,40,1,4000,13.07846618,0,0.0
BERW-Hetero,100,123,40,2,4000,17.83225427,0,0.0
BERW-Hetero,100,123,40,3,4000,12.28106941,0,0.0
BERW-Hetero,100,123,40,4,4000,10.9884127,0,0.0
BERW-Hetero,100,123,40,5,4000,13.20333354,0,0.0
BERW-Hetero,100,123,40,6,4000,13.97797445,0,0.0
BERW-Hetero,100,123,40,7,4000,13.97369507,0,0.0
BERW-Hetero,100,123,40,8,4000,15.72125342,0,0.0
BERW-Hetero,100,123,40,9,4000,17.43165831,0,0.0
BERW-Hetero,100,123,40,10,4000,14.14494536,0,0.0
BERW-Hetero,100,123,40,11,4000,16.66769847,0,0.0
BERW-Hetero,100,123,40,12,4000,12.24045103,0,0.0
BERW-Hetero,100,123,40,13,4000,16.50071743,0,0.0
BERW-Hetero,100,123,40,14,4000,19.67710806,0,0.0
BERW-Hetero,100,123,40,15,4000,16.96455932,0,0.0
BERW-Hetero,100,125,40,1,4000,1.330812919,0,0.0
BERW-Hetero,100,125,40,2,4000,1.137729138,0,0.0
BERW-Hetero,100,125,40,3,4000,1.43023204,0,0.0
BERW-Hetero,100,125,40,4,4000,1.205102069,0,0.0
BERW-Hetero,100,125,40,5,4000,1.408795767,0,0.0
BERW-Hetero,100,125,40,6,4000,1.147036221,0,0.0
BERW-Hetero,100,125,40,7,4000,1.292301431,0,0.0
BERW-Hetero,100,125,40,8,4000,1.477278588,0,0.0
BERW-Hetero,100,125,40,9,4000,1.082678853,0,0.0
BERW-Hetero,100,125,40,10,4000,1.334149143,0,0.0
BERW-Hetero,100,125,40,11,4000,1.274318696,0,0.0
BERW-Hetero,100,125,40,12,4000,1.176713046,0,0.0
BERW-Hetero,100,125,40,13,4000,1.350607351,0,0.0
BERW-Hetero,100,125,40,14,4000,1.331794709,0,0.0
BERW-Hetero,100,125,40,15,4000,1.347791607,0,0.0
BERW-Hetero,100,126,40,1,4000,1.695346986,0,0.0
BERW-Hetero,100,126,40,2,4000,1.715600345,0,0.0
BERW-Hetero,100,126,40,3,4000,1.763660001,0,0.0
BERW-Hetero,100,126,40,4,4000,1.634130628,0,0.0
BERW-Hetero,100,126,40,5,4000,1.848869499,0,0.0
BERW-Hetero,100,126,40,6,4000,1.725272759,0,0.0
BERW-Hetero,100,126,40,7,4000,1.645995793,0,0.0
BERW-Hetero,100,126,40,8,4000,1.511360028,0,0.0
BERW-Hetero,100,126,40,9,4000,1.26411844,0,0.0
BERW-Hetero,100,126,40,10,4000,1.664699755,0,0.0
BERW-Hetero,100,126,40,11,4000,1.404359703,0,0.0
BERW-Hetero,100,126,40,12,4000,1.364164337,0,0.0
BERW-Hetero,100,126,40,13,4000,1.713801812,0,0.0
BERW-Hetero,100,126,40,14,4000,1.596710198,0,0.0
BERW-Hetero,100,126,40,15,4000,1.65539224,0,0.0
BERW-Hetero,100,128,40,1,4000,82.03574232,0,0.0
BERW-Hetero,100,128,40,2,4000,75.90339232,0,0.0
BERW-Hetero,100,128,40,3,4000,78.08759666,0,0.0
BERW-Hetero,100,128,40,4,4000,80.99925121,0,0.0
BERW-Hetero,100,128,40,5,4000,82.4360329,0,0.0
BERW-Hetero,100,128,40,6,4000,80.27770885,0,0.0
BERW-Hetero,100,128,40,7,4000,81.26822295,0,0.0
BERW-Hetero,100,128,40,8,4000,80.03531083,0,0.0
BERW-Hetero,100,128,40,9,4000,83.00305428,0,0.0
BERW-Hetero,100,128,40,10,4000,80.81351632,0,0.0
BERW-Hetero,100,128,40,11,4000,77.21142026,0,0.0
BERW-Hetero,100,128,40,12,4000,81.20597659,0,0.0
BERW-Hetero,100,128,40,13,4000,83.40774632,0,0.0
BERW-Hetero,100,128,40,14,4000,80.88504577,0,0.0
BERW-Hetero,100,128,40,15,4000,80.16475601,0,0.0
BERW-Hetero,100,129,40,1,4000,74.9305629,0,0.0
BERW-Hetero,100,129,40,2,4000,77.91941331,0,0.0
BERW-Hetero,100,129,40,3,4000,80.86300724,0,0.0
BERW-Hetero,100,129,40,4,4000,78.49960278,0,0.0
BERW-Hetero,100,129,40,5,4000,80.98322403,0,0.0
BERW-Hetero,100,129,40,6,4000,80.62587383,0,0.0
BERW-Hetero,100,129,40,7,4000,81.15263548,0,0.0
BERW-Hetero,100,129,40,8,4000,80.51331328,0,0.0
BERW-Hetero,100,129,40,9,4000,79.68725131,0,0.0
BERW-Hetero,100,129,40,10,4000,82.2099464,0,0.0
BERW-Hetero,100,129,40,11,4000,83.5966174,0,0.0
BERW-Hetero,100,129,40,12,4000,77.65486472,0,0.0
BERW-Hetero,100,129,40,13,4000,80.99981565,0,0.0
BERW-Hetero,100,129,40,14,4000,81.35868475,0,0.0
BERW-Hetero,100,129,40,15,4000,78.54987956,0,0.0
BERW-HeteroRobust,100,108,40,1,4000,180.4994412,0,0.0
BERW-HeteroRobust,100,108,40,2,4000,245.8503721,0,0.0
BERW-HeteroRobust,100,108,40,3,4000,232.0217137,0,0.0
BERW-HeteroRobust,100,108,40,4,4000,236.9529147,0,0.0
BERW-HeteroRobust,100,108,40,5,4000,197.7563656,0,0.0
BERW-HeteroRobust,100,108,40,6,4000,191.255392,0,0.0
BERW-HeteroRobust,100,108,40,7,4000,293.9504327,0,0.0
BERW-HeteroRobust,100,108,40,8,4000,272.5549661,0,0.0
BERW-HeteroRobust,100,108,40,9,4000,234.7042992,0,0.0
BERW-HeteroRobust,100,108,40,10,4000,229.8567469,0,0.0
BERW-HeteroRobust,100,108,40,11,4000,243.5150054,0,0.0
BERW-HeteroRobust,100,108,40,12,4000,283.5565768,0,0.0
BERW-HeteroRobust,100,108,40,13,4000,230.4862088,0,0.0
BERW-HeteroRobust,100,108,40,14,4000,215.9163378,0,0.0
BERW-HeteroRobust,100,108,40,15,4000,248.0001714,0,0.0
BERW-HeteroRobust,100,110,40,1,4000,58456.78501,0,0.0
BERW-HeteroRobust,100,110,40,2,4000,10119.22573,0,0.0
BERW-HeteroRobust,100,110,40,3,4000,12416.62024,0,0.0
BERW-HeteroRobust,100,110,40,4,4000,10729.0134,0,0.0
BERW-HeteroRobust,100,110,40,5,4000,13691.32176,0,0.0
BERW-HeteroRobust,100,110,40,6,4000,10574.56487,0,0.0
BERW-HeteroRobust,100,110,40,7,4000,50471.60789,0,0.0
BERW-HeteroRobust,100,110,40,8,4000,36368.19559,0,0.0
BERW-HeteroRobust,100,110,40,9,4000,62136.27855,0,0.0
BERW-HeteroRobust,100,110,40,10,4000,187544.1154,0,0.0
BERW-HeteroRobust,100,110,40,11,4000,95838.88391,0,0.0
BERW-HeteroRobust,100,110,40,12,4000,5112.589161,0,0.0
BERW-HeteroRobust,100,110,40,13,4000,22183.32198,0,0.0
BERW-HeteroRobust,100,110,40,14,4000,22919.32107,0,0.0
BERW-HeteroRobust,100,110,40,15,4000,2894.236651,0,0.0
BERW-HeteroRobust,100,111,40,1,4000,183588.4313,0,0.0
BERW-HeteroRobust,100,111,40,2,4000,161407.8122,0,0.0
BERW-HeteroRobust,100,111,40,3,4000,439048.6757,0,0.0
BERW-HeteroRobust,100,111,40,4,4000,204594.402,0,0.0
BERW-HeteroRobust,100,111,40,5,4000,198600.5463,0,0.0
BERW-HeteroRobust,100,111,40,6,4000,150197.7983,0,0.0
BERW-HeteroRobust,100,111,40,7,4000,65323.19474,0,0.0
BERW-HeteroRobust,100,111,40,8,4000,108292.1945,0,0.0
BERW-HeteroRobust,100,111,40,9,4000,86917.65723,0,0.0
BERW-HeteroRobust,100,111,40,10,4000,173414.8934,0,0.0
BERW-HeteroRobust,100,111,40,11,4000,95268.16352,0,0.0
BERW-HeteroRobust,100,111,40,12,4000,104389.6462,0,0.0
BERW-HeteroRobust,100,111,40,13,4000,108786.2731,0,0.0
BERW-HeteroRobust,100,111,40,14,4000,144923.4824,0,0.0
BERW-HeteroRobust,100,111,40,15,4000,130758.6405,0,0.0
BERW-HeteroRobust,100,113,40,1,4000,567.6070344,0,0.0
BERW-HeteroRobust,100,113,40,2,4000,481.2361072,0,0.0
BERW-HeteroRobust,100,113,40,3,4000,817.790917,0,0.0
BERW-HeteroRobust,100,113,40,4,4000,475.2993034,0,0.0
BERW-HeteroRobust,100,113,40,5,4000,772.3836266,0,0.0
BERW-HeteroRobust,100,113,40,6,4000,990.024061,0,0.0
BERW-HeteroRobust,100,113,40,7,4000,425.653732,0,0.0
BERW-HeteroRobust,100,113,40,8,4000,526.7590257,0,0.0
BERW-HeteroRobust,100,113,40,9,4000,547.9320642,0,0.0
BERW-HeteroRobust,100,113,40,10,4000,497.3772644,0,0.0
BERW-HeteroRobust,100,113,40,11,4000,804.5555747,0,0.0
BERW-HeteroRobust,100,113,40,12,4000,380.1045888,0,0.0
BERW-HeteroRobust,100,113,40,13,4000,732.7289444,0,0.0
BERW-HeteroRobust,100,113,40,14,4000,518.8901605,0,0.0
BERW-HeteroRobust,100,113,40,15,4000,218.0427247,0,0.0
BERW-HeteroRobust,100,114,40,1,4000,1390.059086,0,0.0
BERW-HeteroRobust,100,114,40,2,4000,1840.308297,0,0.0
BERW-HeteroRobust,100,114,40,3,4000,832.6761192,0,0.0
BERW-HeteroRobust,100,114,40,4,4000,773.6999301,0,0.0
BERW-HeteroRobust,100,114,40,5,4000,906.6709266,0,0.0
BERW-HeteroRobust,100,114,40,6,4000,1174.098147,0,0.0
BERW-HeteroRobust,100,114,40,7,4000,1023.133617,0,0.0
BERW-HeteroRobust,100,114,40,8,4000,1404.307502,0,0.0
BERW-HeteroRobust,100,114,40,9,4000,824.5924322,0,0.0
BERW-HeteroRobust,100,114,40,10,4000,967.9443443,0,0.0
BERW-HeteroRobust,100,114,40,11,4000,1450.065509,0,0.0
BERW-HeteroRobust,100,114,40,12,4000,764.2206239,0,0.0
BERW-HeteroRobust,100,114,40,13,4000,1562.448851,0,0.0
BERW-HeteroRobust,100,114,40,14,4000,1365.093671,0,0.0
BERW-HeteroRobust,100,114,40,15,4000,1135.257059,0,0.0
BERW-HeteroRobust,100,116,40,1,4000,40475.48502,0,0.0
BERW-HeteroRobust,100,116,40,2,4000,19951.27666,0,0.0
BERW-HeteroRobust,100,116,40,3,4000,29501.69056,0,0.0
BERW-HeteroRobust,100,116,40,4,4000,14222.95602,0,0.0
BERW-HeteroRobust,100,116,40,5,4000,32594.56208,0,0.0
BERW-HeteroRobust,100,116,40,6,4000,32936.18592,0,0.0
BERW-HeteroRobust,100,116,40,7,4000,21990.4572,0,0.0
BERW-HeteroRobust,100,116,40,8,4000,36594.94924,0,0.0
BERW-HeteroRobust,100,116,40,9,4000,77327.87388,0,0.0
BERW-HeteroRobust,100,116,40,10,4000,26185.33505,0,0.0
BERW-HeteroRobust,100,116,40,11,4000,52987.1321,0,0.0
BERW-HeteroRobust,100,116,40,12,4000,23201.61156,0,0.0
BERW-HeteroRobust,100,116,40,13,4000,45281.56272,0,0.0
BERW-HeteroRobust,100,116,40,14,4000,47998.32967,0,0.0
BERW-HeteroRobust,100,116,40,15,4000,26644.76133,0,0.0
BERW-HeteroRobust,100,117,40,1,4000,78442.25851,0,0.0
BERW-HeteroRobust,100,117,40,2,4000,64385.43694,0,0.0
BERW-HeteroRobust,100,117,40,3,4000,61491.14042,0,0.0
BERW-HeteroRobust,100,117,40,4,4000,76094.88813,0,0.0
BERW-HeteroRobust,100,117,40,5,4000,63980.20954,0,0.0
BERW-HeteroRobust,100,117,40,6,4000,45903.97432,0,0.0
BERW-HeteroRobust,100,117,40,7,4000,93195.31756,0,0.0
BERW-HeteroRobust,100,117,40,8,4000,49183.45294,0,0.0
BERW-HeteroRobust,100,117,40,9,4000,38854.15224,0,0.0
BERW-HeteroRobust,100,117,40,10,4000,87098.06142,0,0.0
BERW-HeteroRobust,100,117,40,11,4000,56225.80714,0,0.0
BERW-HeteroRobust,100,117,40,12,4000,75339.69938,0,0.0
BERW-HeteroRobust,100,117,40,13,4000,71415.60185,0,0.0
BERW-HeteroRobust,100,117,40,14,4000,36545.35253,0,0.0
BERW-HeteroRobust,100,117,40,15,4000,63439.89047,0,0.0
BERW-HeteroRobust,100,119,40,1,4000,40.10231903,0,0.0
BERW-HeteroRobust,100,119,40,2,4000,34.67072652,0,0.0
BERW-HeteroRobust,100,119,40,3,4000,28.00608587,0,0.0
BERW-HeteroRobust,100,119,40,4,4000,35.31847498,0,0.0
BERW-HeteroRobust,100,119,40,5,4000,19.79415378,0,0.0
BERW-HeteroRobust,100,119,40,6,4000,39.4169067,0,0.0
BERW-HeteroRobust,100,119,40,7,4000,19.92856905,0,0.0
BERW-HeteroRobust,100,119,40,8,4000,23.76957312,0,0.0
BERW-HeteroRobust,100,119,40,9,4000,39.52837195,0,0.0
BERW-HeteroRobust,100,119,40,10,4000,24.82751342,0,0.0
BERW-HeteroRobust,100,119,40,11,4000,22.62275869,0,0.0
BERW-HeteroRobust,100,119,40,12,4000,33.55747248,0,0.0
BERW-HeteroRobust,100,119,40,13,4000,23.92870087,0,0.0
BERW-HeteroRobust,100,119,40,14,4000,26.04926199,0,0.0
BERW-HeteroRobust,100,119,40,15,4000,21.11410819,0,0.0
BERW-HeteroRobust,100,120,40,1,4000,62.27002464,0,0.0
BERW-HeteroRobust,100,120,40,2,4000,69.77470092,0,0.0
BERW-HeteroRobust,100,120,40,3,4000,50.40555939,0,0.0
BERW-HeteroRobust,100,120,40,4,4000,41.90024873,0,0.0
BERW-HeteroRobust,100,120,40,5,4000,38.55846497,0,0.0
BERW-HeteroRobust,100,120,40,6,4000,62.8378937,0,0.0
BERW-HeteroRobust,100,120,40,7,4000,34.47190061,0,0.0
BERW-HeteroRobust,100,120,40,8,4000,76.70239954,0,0.0
BERW-HeteroRobust,100,120,40,9,4000,42.6164549,0,0.0
BERW-HeteroRobust,100,120,40,10,4000,75.61801952,0,0.0
BERW-HeteroRobust,100,120,40,11,4000,62.79508254,0,0.0
BERW-HeteroRobust,100,120,40,12,4000,53.42360049,0,0.0
BERW-HeteroRobust,100,120,40,13,4000,57.28400551,0,0.0
BERW-HeteroRobust,100,120,40,14,4000,80.251704,0,0.0
BERW-HeteroRobust,100,120,40,15,4000,46.74625127,0,0.0
BERW-HeteroRobust,100,122,40,1,4000,9.022533866,0,0.0
BERW-HeteroRobust,100,122,40,2,4000,10.80315909,0,0.0
BERW-HeteroRobust,100,122,40,3,4000,13.24395366,0,0.0
BERW-HeteroRobust,100,122,40,4,4000,12.97488206,0,0.0
BERW-HeteroRobust,100,122,40,5,4000,10.0480053,0,0.0
BERW-HeteroRobust,100,122,40,6,4000,12.17492566,0,0.0
BERW-HeteroRobust,100,122,40,7,4000,9.943324401,0,0.0
BERW-HeteroRobust,100,122,40,8,4000,9.78985223,0,0.0
BERW-HeteroRobust,100,122,40,9,4000,10.67414137,0,0.0
BERW-HeteroRobust,100,122,40,10,4000,12.72677383,0,0.0
BERW-HeteroRobust,100,122,40,11,4000,10.0918939,0,0.0
BERW-HeteroRobust,100,122,40,12,4000,11.16679461,0,0.0
BERW-HeteroRobust,100,122,40,13,4000,11.5839361,0,0.0
BERW-HeteroRobust,100,122,40,14,4000,8.88671554,0,0.0
BERW-HeteroRobust,100,122,40,15,4000,10.10089564,0,0.0
BERW-HeteroRobust,100,123,40,1,4000,15.04092834,0,0.0
BERW-HeteroRobust,100,123,40,2,4000,13.36527231,0,0.0
BERW-HeteroRobust,100,123,40,3,4000,12.55314639,0,0.0
BERW-HeteroRobust,100,123,40,4,4000,11.55166023,0,0.0
BERW-HeteroRobust,100,123,40,5,4000,14.82625675,0,0.0
BERW-HeteroRobust,100,123,40,6,4000,10.19321083,0,0.0
BERW-HeteroRobust,100,123,40,7,4000,11.76146826,0,0.0
BERW-HeteroRobust,100,123,40,8,4000,16.29622119,0,0.0
BERW-HeteroRobust,100,123,40,9,4000,17.49648781,0,0.0
BERW-HeteroRobust,100,123,40,10,4000,13.48426639,0,0.0
BERW-HeteroRobust,100,123,40,11,4000,16.51665309,0,0.0
BERW-HeteroRobust,100,123,40,12,4000,10.57251435,0,0.0
BERW-HeteroRobust,100,123,40,13,4000,13.01149179,0,0.0
BERW-HeteroRobust,100,123,40,14,4000,19.36845543,0,0.0
BERW-HeteroRobust,100,123,40,15,4000,15.68879912,0,0.0
BERW-HeteroRobust,100,125,40,1,4000,1.433229668,0,0.0
BERW-HeteroRobust,100,125,40,2,4000,1.438418545,0,0.0
BERW-HeteroRobust,100,125,40,3,4000,1.44367136,0,0.0
BERW-HeteroRobust,100,125,40,4,4000,1.16185392,0,0.0
BERW-HeteroRobust,100,125,40,5,4000,1.140271722,0,0.0
BERW-HeteroRobust,100,125,40,6,4000,1.244820507,0,0.0
BERW-HeteroRobust,100,125,40,7,4000,1.242005724,0,0.0
BERW-HeteroRobust,100,125,40,8,4000,1.126318566,0,0.0
BERW-HeteroRobust,100,125,40,9,4000,1.166582495,0,0.0
BERW-HeteroRobust,100,125,40,10,4000,1.161527527,0,0.0
BERW-HeteroRobust,100,125,40,11,4000,1.644441814,0,0.0
BERW-HeteroRobust,100,125,40,12,4000,1.284805147,0,0.0
BERW-HeteroRobust,100,125,40,13,4000,1.153513321,0,0.0
BERW-HeteroRobust,100,125,40,14,4000,1.344593766,0,0.0
BERW-HeteroRobust,100,125,40,15,4000,1.145537802,0,0.0
BERW-HeteroRobust,100,126,40,1,4000,1.686844962,0,0.0
BERW-HeteroRobust,100,126,40,2,4000,1.72855403,0,0.0
BERW-HeteroRobust,100,126,40,3,4000,1.736573963,0,0.0
BERW-HeteroRobust,100,126,40,4,4000,1.628949801,0,0.0
BERW-HeteroRobust,100,126,40,5,4000,1.760976945,0,0.0
BERW-HeteroRobust,100,126,40,6,4000,1.907567375,0,0.0
BERW-HeteroRobust,100,126,40,7,4000,1.53179946,0,0.0
BERW-HeteroRobust,100,126,40,8,4000,1.509995909,0,0.0
BERW-HeteroRobust,100,126,40,9,4000,1.494354162,0,0.0
BERW-HeteroRobust,100,126,40,10,4000,1.651863724,0,0.0
BERW-HeteroRobust,100,126,40,11,4000,1.587960386,0,0.0
