lam,threshold,tp,fp,tn,fn,tpr,fpr,accuracy
4,0.25,153,62,152,83,0.6483050847457628,0.2897196261682243,0.6777777777777778
4,0.255,89,38,176,147,0.3771186440677966,0.17757009345794392,0.5888888888888889
4,0.26,89,38,176,147,0.3771186440677966,0.17757009345794392,0.5888888888888889
4,0.265,89,38,176,147,0.3771186440677966,0.17757009345794392,0.5888888888888889
4,0.27,89,38,176,147,0.3771186440677966,0.17757009345794392,0.5888888888888889
4,0.275,89,38,176,147,0.3771186440677966,0.17757009345794392,0.5888888888888889
4,0.28,89,38,176,147,0.3771186440677966,0.17757009345794392,0.5888888888888889
4,0.28500000000000003,89,38,176,147,0.3771186440677966,0.17757009345794392,0.5888888888888889
4,0.29,89,38,176,147,0.3771186440677966,0.17757009345794392,0.5888888888888889
4,0.295,89,38,176,147,0.3771186440677966,0.17757009345794392,0.5888888888888889
4,0.3,89,38,176,147,0.3771186440677966,0.17757009345794392,0.5888888888888889
4,0.305,89,38,176,147,0.3771186440677966,0.17757009345794392,0.5888888888888889
4,0.31,89,38,176,147,0.3771186440677966,0.17757009345794392,0.5888888888888889
4,0.315,89,38,176,147,0.3771186440677966,0.17757009345794392,0.5888888888888889
4,0.32,89,38,176,147,0.3771186440677966,0.17757009345794392,0.5888888888888889
4,0.325,89,38,176,147,0.3771186440677966,0.17757009345794392,0.5888888888888889
4,0.33,89,38,176,147,0.3771186440677966,0.17757009345794392,0.5888888888888889
4,0.335,89,38,176,147,0.3771186440677966,0.17757009345794392,0.5888888888888889
4,0.34,89,38,176,147,0.3771186440677966,0.17757009345794392,0.5888888888888889
4,0.34500000000000003,89,38,176,147,0.3771186440677966,0.17757009345794392,0.5888888888888889
4,0.35000000000000003,89,38,176,147,0.3771186440677966,0.17757009345794392,0.5888888888888889
4,0.355,89,38,176,147,0.3771186440677966,0.17757009345794392,0.5888888888888889
4,0.36,89,38,176,147,0.3771186440677966,0.17757009345794392,0.5888888888888889
4,0.365,89,38,176,147,0.3771186440677966,0.17757009345794392,0.5888888888888889
4,0.37,89,38,176,147,0.3771186440677966,0.17757009345794392,0.5888888888888889
4,0.375,89,38,176,147,0.3771186440677966,0.17757009345794392,0.5888888888888889
4,0.38,28,12,202,208,0.11864406779661017,0.056074766355140186,0.5111111111111111
4,0.385,28,12,202,208,0.11864406779661017,0.056074766355140186,0.5111111111111111
4,0.39,28,12,202,208,0.11864406779661017,0.056074766355140186,0.5111111111111111
4,0.395,28,12,202,208,0.11864406779661017,0.056074766355140186,0.5111111111111111
4,0.4,28,12,202,208,0.11864406779661017,0.056074766355140186,0.5111111111111111
8,0.0,236,214,0,0,1.0,1.0,0.5244444444444445
8,0.005,205,107,107,31,0.8686440677966102,0.5,0.6933333333333334
8,0.01,205,107,107,31,0.8686440677966102,0.5,0.6933333333333334
8,0.015,205,107,107,31,0.8686440677966102,0.5,0.6933333333333334
8,0.02,205,107,107,31,0.8686440677966102,0.5,0.6933333333333334
8,0.025,205,107,107,31,0.8686440677966102,0.5,0.6933333333333334
8,0.03,205,107,107,31,0.8686440677966102,0.5,0.6933333333333334
8,0.035,194,88,126,42,0.8220338983050848,0.411214953271028,0.7111111111111111
8,0.04,194,88,126,42,0.8220338983050848,0.411214953271028,0.7111111111111111
8,0.045,194,88,126,42,0.8220338983050848,0.411214953271028,0.7111111111111111
8,0.05,194,88,126,42,0.8220338983050848,0.411214953271028,0.7111111111111111
8,0.055,194,88,126,42,0.8220338983050848,0.411214953271028,0.7111111111111111
8,0.06,194,88,126,42,0.8220338983050848,0.411214953271028,0.7111111111111111
8,0.065,191,75,139,45,0.809322033898305,0.35046728971962615,0.7333333333333333
8,0.07,191,75,139,45,0.809322033898305,0.35046728971962615,0.7333333333333333
8,0.075,191,75,139,45,0.809322033898305,0.35046728971962615,0.7333333333333333
8,0.08,191,75,139,45,0.809322033898305,0.35046728971962615,0.7333333333333333
