GPU,Model,M,cuSPARSELt 2:4 Latency (μs),Eff_2:6,Eff_2:8,Eff_2:10,Eff_2:12,Eff_2:14,Eff_2:16,Eff_2:∞
A100,Qwen2.5-14B,1024,7.72e+02,98.5%,101.8%,100.5%,92.1%,87.9%,102.0%,102.5%
A100,Qwen2.5-14B,2048,1.44e+03,96.0%,99.8%,99.1%,90.2%,84.9%,99.5%,99.1%
A100,Qwen2.5-14B,4096,2.97e+03,99.4%,101.2%,100.4%,91.2%,86.5%,101.5%,101.9%
A100,Qwen2.5-14B,8192,5.99e+03,97.9%,100.2%,100.9%,91.6%,86.9%,101.2%,100.5%
A100,Qwen2.5-14B,16384,1.21e+04,98.1%,101.7%,100.8%,92.1%,87.4%,101.8%,101.0%
RTX4090,Llama3.2-1B,64,5.57e+01,112.1%,121.7%,120.6%,107.5%,123.0%,115.4%,124.6%
RTX4090,Llama3.2-1B,128,6.04e+01,108.7%,119.1%,119.1%,111.1%,114.3%,103.0%,110.6%
RTX4090,Llama3.2-1B,256,6.82e+01,109.9%,111.3%,101.6%,52.4%,85.2%,117.8%,67.9%
RTX4090,Llama3.2-1B,512,1.47e+02,142.1%,147.2%,133.1%,63.9%,80.1%,80.1%,76.6%
RTX4090,Llama3.2-1B,1024,2.27e+02,135.4%,139.5%,122.5%,57.3%,54.9%,91.6%,67.2%
RTX4090,Llama3.2-1B,2048,3.39e+02,114.2%,115.0%,87.2%,73.9%,42.1%,80.7%,44.3%
RTX4090,Llama3.2-1B,4096,6.53e+02,114.4%,114.9%,93.0%,88.7%,83.9%,57.1%,93.6%
RTX4090,Llama3.2-1B,8192,1.16e+03,102.5%,101.2%,91.0%,84.4%,82.5%,87.5%,87.5%
RTX4090,Llama3.2-1B,16384,2.32e+03,101.7%,101.2%,90.0%,86.5%,96.4%,100.6%,101.2%
RTX4090,BitNet-2B,64,5.51e+01,89.2%,128.1%,99.7%,130.8%,110.8%,134.6%,133.8%
RTX4090,BitNet-2B,128,7.35e+01,103.6%,145.0%,112.4%,146.0%,138.8%,149.0%,148.8%
RTX4090,BitNet-2B,256,8.12e+01,102.1%,121.0%,118.1%,121.8%,110.0%,120.7%,128.3%
RTX4090,BitNet-2B,512,1.23e+02,96.7%,109.8%,108.3%,110.8%,106.6%,112.0%,112.2%
RTX4090,BitNet-2B,1024,1.94e+02,92.8%,107.6%,106.4%,106.5%,101.4%,107.2%,108.9%
RTX4090,BitNet-2B,2048,3.76e+02,90.8%,103.1%,102.1%,103.3%,97.8%,102.0%,103.1%
RTX4090,BitNet-2B,4096,6.90e+02,90.6%,103.8%,102.6%,103.8%,97.0%,102.4%,104.4%
RTX4090,BitNet-2B,8192,1.32e+03,88.9%,102.9%,101.5%,103.6%,97.8%,102.1%,105.1%
RTX4090,BitNet-2B,16384,2.65e+03,90.3%,102.5%,102.3%,104.4%,98.7%,103.0%,105.1%
RTX4090,Llama3.2-3B,64,6.75e+01,120.7%,130.3%,130.8%,54.7%,107.6%,51.1%,135.8%
RTX4090,Llama3.2-3B,128,7.87e+01,122.5%,124.4%,125.6%,44.4%,107.9%,38.9%,87.4%
RTX4090,Llama3.2-3B,256,1.21e+02,109.7%,138.3%,116.9%,34.3%,49.8%,29.8%,52.5%
RTX4090,Llama3.2-3B,512,1.95e+02,103.4%,138.0%,111.3%,33.8%,39.8%,34.2%,33.3%
RTX4090,Llama3.2-3B,1024,3.37e+02,107.8%,112.8%,137.3%,88.7%,53.5%,43.4%,51.1%
RTX4090,Llama3.2-3B,2048,5.21e+02,89.9%,92.4%,103.3%,69.8%,64.8%,45.8%,40.7%
RTX4090,Llama3.2-3B,4096,9.44e+02,100.4%,100.6%,103.3%,65.4%,61.8%,95.3%,83.5%
RTX4090,Llama3.2-3B,8192,1.91e+03,101.3%,102.5%,103.3%,82.3%,79.2%,104.1%,100.0%
RTX4090,Llama3.2-3B,16384,3.78e+03,100.4%,100.9%,101.7%,94.7%,82.5%,101.5%,106.2%
RTX4090,Qwen2.5-7B,64,1.58e+02,97.7%,103.4%,104.3%,8.3%,29.8%,23.9%,18.6%
RTX4090,Qwen2.5-7B,128,1.73e+02,81.8%,100.0%,105.6%,35.6%,69.7%,57.2%,52.0%
RTX4090,Qwen2.5-7B,256,2.31e+02,94.1%,102.9%,105.6%,57.7%,35.9%,66.3%,37.9%
RTX4090,Qwen2.5-7B,512,3.41e+02,95.6%,100.6%,100.8%,37.6%,53.5%,36.4%,41.6%
RTX4090,Qwen2.5-7B,1024,6.00e+02,101.2%,102.1%,102.2%,39.3%,46.7%,35.7%,56.5%
RTX4090,Qwen2.5-7B,2048,1.15e+03,99.2%,101.2%,101.0%,49.0%,63.2%,72.2%,68.8%
RTX4090,Qwen2.5-7B,4096,2.25e+03,99.0%,102.8%,101.6%,73.4%,88.4%,80.3%,75.5%
RTX4090,Qwen2.5-7B,8192,4.37e+03,100.4%,101.6%,101.3%,81.2%,97.6%,101.9%,101.3%
RTX4090,Qwen2.5-7B,16384,8.73e+03,100.8%,100.3%,102.0%,83.3%,97.5%,100.6%,103.7%
RTX4090,Qwen2.5-14B,64,1.60e+02,96.9%,101.6%,104.3%,22.8%,19.2%,25.0%,55.9%
RTX4090,Qwen2.5-14B,128,1.87e+02,87.1%,88.0%,103.5%,31.1%,29.7%,40.8%,16.0%
RTX4090,Qwen2.5-14B,256,2.42e+02,73.7%,90.0%,100.2%,24.6%,29.8%,24.9%,46.3%
RTX4090,Qwen2.5-14B,512,3.71e+02,74.4%,101.0%,101.3%,20.1%,25.8%,19.3%,25.1%
RTX4090,Qwen2.5-14B,1024,7.31e+02,88.1%,100.9%,90.1%,53.6%,69.0%,81.5%,81.6%
RTX4090,Qwen2.5-14B,2048,1.32e+03,90.0%,97.6%,96.4%,64.3%,56.8%,62.2%,69.9%
RTX4090,Qwen2.5-14B,4096,2.63e+03,94.7%,105.6%,103.2%,75.7%,69.9%,93.3%,94.7%
RTX4090,Qwen2.5-14B,8192,5.11e+03,101.9%,103.2%,103.9%,86.0%,80.8%,104.8%,101.9%
RTX4090,Qwen2.5-14B,16384,9.90e+03,98.6%,100.0%,99.9%,81.8%,80.0%,100.8%,100.6%
H100,Llama3.2-1B,64,4.00e+01,115.0%,123.1%,125.5%,124.8%,128.3%,136.2%,128.1%
H100,Llama3.2-1B,128,4.39e+01,110.5%,121.6%,115.5%,114.4%,119.7%,129.4%,121.9%
H100,Llama3.2-1B,256,5.72e+01,110.8%,119.4%,113.8%,110.3%,117.1%,124.5%,126.8%
H100,Llama3.2-1B,512,8.05e+01,103.2%,112.3%,105.3%,108.6%,109.5%,119.7%,122.6%
H100,Llama3.2-1B,1024,1.26e+02,107.9%,120.2%,111.7%,107.1%,112.9%,116.7%,125.4%
H100,Llama3.2-1B,2048,2.11e+02,96.4%,102.4%,98.4%,101.4%,104.2%,105.2%,104.1%
H100,Llama3.2-1B,4096,4.22e+02,105.6%,110.8%,108.3%,107.7%,109.5%,110.4%,115.4%
H100,Llama3.2-1B,8192,7.49e+02,98.0%,104.8%,98.8%,93.1%,100.8%,102.9%,102.9%
H100,Llama3.2-1B,16384,1.56e+03,98.5%,103.0%,97.9%,94.5%,99.8%,105.8%,106.0%
H100,BitNet-2B,64,3.85e+01,110.4%,126.1%,130.6%,128.8%,126.2%,133.1%,120.2%
H100,BitNet-2B,128,4.21e+01,105.1%,125.3%,127.1%,124.5%,120.0%,125.6%,116.5%
H100,BitNet-2B,256,5.38e+01,107.9%,120.4%,118.6%,117.9%,109.6%,115.5%,117.0%
H100,BitNet-2B,512,7.91e+01,105.7%,113.2%,113.7%,115.3%,114.3%,115.6%,118.2%
H100,BitNet-2B,1024,1.34e+02,106.1%,114.8%,112.7%,111.1%,110.4%,111.4%,119.7%
H100,BitNet-2B,2048,2.34e+02,99.0%,102.9%,107.4%,108.3%,101.6%,106.3%,111.4%
H100,BitNet-2B,4096,4.39e+02,103.8%,105.3%,107.5%,106.9%,102.1%,106.9%,109.9%
H100,BitNet-2B,8192,8.52e+02,96.2%,104.9%,103.5%,101.5%,100.5%,106.6%,106.8%
H100,BitNet-2B,16384,1.78e+03,97.2%,104.7%,102.9%,102.1%,99.7%,104.5%,103.9%
H100,Llama3.2-3B,64,4.58e+01,104.8%,98.7%,99.6%,101.2%,100.6%,105.4%,111.2%
H100,Llama3.2-3B,128,5.20e+01,102.3%,103.0%,102.1%,105.4%,100.1%,108.8%,111.4%
H100,Llama3.2-3B,256,7.09e+01,103.8%,105.7%,104.5%,107.0%,101.3%,110.4%,115.9%
H100,Llama3.2-3B,512,1.05e+02,102.1%,109.3%,104.7%,106.0%,102.6%,112.3%,112.3%
H100,Llama3.2-3B,1024,1.76e+02,111.3%,106.8%,109.4%,111.5%,108.5%,110.8%,115.1%
H100,Llama3.2-3B,2048,3.15e+02,104.8%,109.4%,105.7%,108.0%,101.3%,109.0%,106.9%
H100,Llama3.2-3B,4096,6.17e+02,103.5%,104.9%,104.1%,103.7%,99.5%,105.2%,106.3%
H100,Llama3.2-3B,8192,1.17e+03,101.3%,101.0%,96.0%,96.7%,88.0%,100.3%,98.7%
H100,Llama3.2-3B,16384,2.51e+03,104.1%,102.7%,101.9%,99.3%,93.9%,98.3%,102.7%
H100,Qwen2.5-7B,64,1.01e+02,102.5%,107.1%,106.7%,107.7%,110.8%,109.5%,112.9%
H100,Qwen2.5-7B,128,1.13e+02,102.7%,110.0%,109.6%,101.9%,109.2%,112.8%,114.8%
H100,Qwen2.5-7B,256,1.39e+02,99.3%,109.2%,109.3%,103.7%,108.6%,107.9%,113.3%
H100,Qwen2.5-7B,512,2.18e+02,103.5%,112.5%,111.6%,105.3%,110.5%,108.2%,110.5%
H100,Qwen2.5-7B,1024,3.50e+02,98.9%,102.6%,104.3%,98.9%,102.9%,106.1%,107.1%
H100,Qwen2.5-7B,2048,6.92e+02,101.1%,104.9%,104.6%,96.9%,103.1%,104.1%,109.8%
H100,Qwen2.5-7B,4096,1.40e+03,100.4%,101.5%,99.8%,91.2%,95.8%,96.8%,96.5%
H100,Qwen2.5-7B,8192,2.89e+03,96.4%,101.9%,99.6%,91.2%,93.8%,99.1%,101.9%
H100,Qwen2.5-7B,16384,5.96e+03,97.8%,103.2%,106.0%,95.2%,98.0%,103.4%,105.2%
H100,Qwen2.5-14B,64,1.06e+02,101.6%,102.2%,109.0%,102.7%,101.9%,107.8%,104.9%
H100,Qwen2.5-14B,128,1.16e+02,98.8%,106.6%,108.1%,99.4%,96.2%,106.7%,106.1%
H100,Qwen2.5-14B,256,1.44e+02,98.5%,106.4%,107.2%,101.8%,99.6%,106.9%,109.4%
H100,Qwen2.5-14B,512,2.22e+02,101.5%,105.5%,105.3%,98.9%,98.4%,105.0%,105.8%
H100,Qwen2.5-14B,1024,4.21e+02,102.9%,105.6%,105.7%,101.9%,99.5%,108.0%,109.9%
H100,Qwen2.5-14B,2048,7.55e+02,100.2%,93.6%,89.2%,92.9%,92.5%,102.9%,98.2%
H100,Qwen2.5-14B,4096,1.58e+03,96.4%,94.9%,100.2%,92.4%,90.9%,94.9%,95.2%
H100,Qwen2.5-14B,8192,3.26e+03,98.8%,96.7%,99.3%,95.4%,89.8%,99.1%,96.4%
H100,Qwen2.5-14B,16384,6.68e+03,100.2%,101.5%,100.3%,93.7%,89.6%,98.4%,100.5%
B200,Llama3.2-1B,64,3.10e+01,117.6%,133.9%,129.9%,125.4%,135.5%,145.8%,158.1%
B200,Llama3.2-1B,128,3.11e+01,111.2%,129.5%,127.2%,126.0%,129.6%,138.3%,151.2%
B200,Llama3.2-1B,256,3.33e+01,108.0%,120.8%,123.2%,122.4%,131.2%,134.7%,149.6%
B200,Llama3.2-1B,512,3.99e+01,117.3%,130.2%,121.6%,116.7%,131.7%,140.7%,151.2%
B200,Llama3.2-1B,1024,4.98e+01,107.7%,120.3%,113.8%,115.6%,120.9%,131.1%,142.3%
B200,Llama3.2-1B,2048,7.00e+01,104.6%,117.6%,107.8%,105.7%,112.5%,122.6%,128.2%
B200,Llama3.2-1B,4096,1.15e+02,100.5%,110.7%,99.5%,95.5%,101.2%,113.3%,117.7%
B200,Llama3.2-1B,8192,2.04e+02,99.3%,106.6%,97.4%,95.2%,100.3%,110.0%,112.0%
B200,Llama3.2-1B,16384,3.76e+02,94.5%,106.0%,91.9%,91.3%,96.2%,104.6%,108.9%
B200,BitNet-2B,64,2.98e+01,109.2%,124.3%,128.6%,134.0%,130.3%,140.7%,158.8%
B200,BitNet-2B,128,3.08e+01,110.4%,122.2%,126.0%,130.5%,128.0%,137.0%,156.6%
B200,BitNet-2B,256,3.66e+01,123.0%,133.3%,141.4%,140.9%,138.3%,148.8%,163.3%
B200,BitNet-2B,512,4.19e+01,105.7%,125.9%,127.9%,125.4%,124.4%,134.6%,145.2%
B200,BitNet-2B,1024,5.68e+01,105.5%,123.2%,129.7%,125.5%,124.3%,131.3%,141.2%
B200,BitNet-2B,2048,7.98e+01,98.5%,114.5%,116.8%,112.4%,104.5%,118.4%,125.0%
B200,BitNet-2B,4096,1.31e+02,101.0%,112.4%,114.1%,109.2%,105.1%,114.7%,116.6%
B200,BitNet-2B,8192,2.22e+02,93.5%,105.7%,106.7%,101.0%,98.0%,106.1%,109.5%
B200,BitNet-2B,16384,4.31e+02,94.3%,107.3%,107.7%,101.9%,96.7%,107.6%,109.0%
B200,Llama3.2-3B,64,3.30e+01,118.0%,131.2%,134.4%,133.3%,126.0%,147.0%,160.0%
B200,Llama3.2-3B,128,3.48e+01,118.0%,132.8%,134.3%,139.9%,128.2%,150.9%,156.0%
B200,Llama3.2-3B,256,3.92e+01,120.9%,129.6%,132.0%,134.9%,125.4%,145.0%,152.5%
B200,Llama3.2-3B,512,4.86e+01,116.9%,125.2%,122.0%,127.1%,115.8%,134.0%,143.5%
B200,Llama3.2-3B,1024,6.92e+01,117.8%,119.4%,119.8%,124.8%,117.5%,128.7%,134.4%
B200,Llama3.2-3B,2048,9.98e+01,107.6%,110.2%,106.7%,109.4%,100.5%,114.2%,117.3%
B200,Llama3.2-3B,4096,1.65e+02,104.2%,106.5%,102.7%,106.6%,94.7%,108.3%,110.5%
B200,Llama3.2-3B,8192,3.03e+02,100.3%,101.7%,94.6%,98.3%,89.7%,104.4%,105.0%
B200,Llama3.2-3B,16384,5.91e+02,103.0%,104.4%,96.8%,101.6%,91.1%,103.0%,104.7%
B200,Qwen2.5-7B,64,4.53e+01,108.5%,116.3%,117.2%,108.5%,118.3%,120.7%,126.4%
B200,Qwen2.5-7B,128,4.74e+01,105.1%,111.7%,117.1%,105.9%,114.8%,117.2%,121.5%
B200,Qwen2.5-7B,256,5.23e+01,105.6%,111.3%,111.2%,102.0%,108.9%,116.7%,118.8%
B200,Qwen2.5-7B,512,7.24e+01,103.8%,114.5%,115.0%,99.6%,111.1%,115.8%,117.7%
B200,Qwen2.5-7B,1024,1.11e+02,102.3%,109.8%,110.8%,98.2%,110.3%,112.0%,115.9%
B200,Qwen2.5-7B,2048,1.98e+02,97.1%,107.6%,107.0%,87.1%,100.4%,109.1%,109.2%
B200,Qwen2.5-7B,4096,3.67e+02,98.9%,105.6%,106.6%,91.5%,98.0%,107.5%,109.5%
B200,Qwen2.5-7B,8192,6.83e+02,94.7%,101.6%,103.5%,89.1%,97.0%,99.6%,103.1%
B200,Qwen2.5-7B,16384,1.36e+03,92.8%,103.7%,104.2%,86.4%,95.2%,104.7%,101.8%
B200,Qwen2.5-14B,64,4.34e+01,94.2%,101.5%,102.3%,97.3%,95.0%,107.3%,113.8%
B200,Qwen2.5-14B,128,4.70e+01,98.0%,107.6%,109.7%,101.3%,97.5%,113.2%,114.5%
B200,Qwen2.5-14B,256,5.98e+01,104.5%,113.7%,115.9%,104.0%,101.6%,115.9%,117.5%
B200,Qwen2.5-14B,512,8.44e+01,105.1%,114.6%,115.5%,105.6%,102.2%,115.9%,118.8%
B200,Qwen2.5-14B,1024,1.32e+02,97.5%,106.5%,107.6%,95.1%,89.7%,108.8%,111.0%
B200,Qwen2.5-14B,2048,2.27e+02,100.5%,106.6%,108.1%,97.1%,93.4%,108.4%,109.3%
B200,Qwen2.5-14B,4096,3.97e+02,95.0%,98.4%,100.5%,90.2%,87.2%,100.4%,101.5%
B200,Qwen2.5-14B,8192,7.66e+02,93.9%,99.4%,98.8%,90.8%,86.1%,96.7%,98.3%
B200,Qwen2.5-14B,16384,1.55e+03,92.6%,98.5%,99.1%,90.4%,86.5%,98.5%,99.1%
RTX5080,Llama3.2-1B,64,4.93e+01,110.6%,108.5%,103.3%,106.4%,114.3%,116.7%,120.6%
RTX5080,Llama3.2-1B,128,5.55e+01,109.1%,109.1%,108.1%,106.1%,114.7%,115.9%,119.5%
RTX5080,Llama3.2-1B,256,7.59e+01,102.4%,104.5%,100.1%,92.5%,100.6%,109.5%,114.8%
RTX5080,Llama3.2-1B,512,1.25e+02,105.3%,107.0%,99.2%,96.5%,103.3%,109.5%,113.5%
RTX5080,Llama3.2-1B,1024,2.30e+02,104.0%,103.6%,97.1%,93.3%,101.0%,107.3%,109.5%
RTX5080,Llama3.2-1B,2048,4.37e+02,102.1%,102.8%,95.8%,92.6%,99.5%,103.7%,106.2%
RTX5080,Llama3.2-1B,4096,8.26e+02,102.1%,101.9%,95.8%,91.6%,98.4%,103.7%,104.9%
RTX5080,Llama3.2-1B,8192,1.64e+03,101.1%,103.2%,96.8%,93.4%,100.5%,105.9%,107.0%
RTX5080,Llama3.2-1B,16384,3.29e+03,100.6%,103.5%,97.0%,93.5%,100.6%,105.0%,107.1%
RTX5080,BitNet-2B,64,4.94e+01,97.7%,108.9%,109.6%,108.4%,108.0%,110.3%,111.0%
RTX5080,BitNet-2B,128,5.75e+01,93.2%,108.0%,109.7%,108.4%,106.7%,110.1%,111.9%
RTX5080,BitNet-2B,256,8.01e+01,93.1%,102.8%,110.7%,105.9%,101.3%,106.8%,113.2%
RTX5080,BitNet-2B,512,1.37e+02,96.1%,102.3%,108.1%,105.0%,104.6%,108.0%,110.4%
RTX5080,BitNet-2B,1024,2.45e+02,94.9%,103.2%,106.4%,104.9%,102.9%,106.0%,107.1%
RTX5080,BitNet-2B,2048,4.70e+02,93.8%,101.9%,104.7%,102.9%,100.5%,104.8%,106.2%
RTX5080,BitNet-2B,4096,9.21e+02,94.0%,101.7%,103.1%,100.7%,100.1%,102.2%,104.7%
RTX5080,BitNet-2B,8192,1.84e+03,93.6%,102.3%,102.8%,101.5%,99.9%,102.0%,103.3%
RTX5080,BitNet-2B,16384,3.71e+03,94.4%,101.3%,103.9%,101.7%,99.1%,103.4%,103.9%
RTX5080,Llama3.2-3B,64,5.95e+01,110.1%,114.1%,115.9%,111.1%,100.6%,114.1%,115.9%
RTX5080,Llama3.2-3B,128,6.99e+01,108.1%,110.8%,109.8%,108.9%,96.4%,110.9%,112.4%
RTX5080,Llama3.2-3B,256,1.15e+02,109.2%,108.8%,107.6%,109.2%,99.2%,109.5%,111.1%
RTX5080,Llama3.2-3B,512,2.08e+02,103.5%,104.3%,104.3%,102.5%,91.6%,104.3%,104.3%
RTX5080,Llama3.2-3B,1024,3.60e+02,103.9%,103.1%,102.1%,99.2%,89.4%,103.1%,104.3%
RTX5080,Llama3.2-3B,2048,6.68e+02,102.6%,102.7%,101.8%,99.0%,90.4%,102.9%,104.2%
RTX5080,Llama3.2-3B,4096,1.33e+03,103.3%,102.3%,103.8%,100.4%,90.8%,104.3%,104.6%
RTX5080,Llama3.2-3B,8192,2.64e+03,103.0%,102.3%,102.9%,99.6%,91.3%,103.4%,103.9%
RTX5080,Llama3.2-3B,16384,5.27e+03,103.4%,101.9%,102.6%,99.4%,91.2%,103.2%,103.8%
RTX5080,Qwen2.5-7B,64,1.61e+02,102.1%,101.6%,98.2%,100.2%,92.2%,93.0%,92.4%
RTX5080,Qwen2.5-7B,128,1.67e+02,101.6%,100.6%,90.7%,91.5%,90.9%,92.8%,91.5%
RTX5080,Qwen2.5-7B,256,2.33e+02,103.7%,103.5%,101.1%,96.5%,102.3%,103.4%,102.9%
RTX5080,Qwen2.5-7B,512,4.42e+02,100.4%,100.3%,99.7%,89.8%,96.8%,101.1%,102.6%
RTX5080,Qwen2.5-7B,1024,7.89e+02,100.8%,102.4%,100.5%,91.5%,99.3%,102.4%,103.7%
RTX5080,Qwen2.5-7B,2048,1.55e+03,101.1%,102.0%,99.3%,90.4%,98.6%,102.9%,103.3%
RTX5080,Qwen2.5-7B,4096,3.11e+03,102.4%,102.3%,100.7%,91.6%,99.9%,104.3%,104.6%
RTX5080,Qwen2.5-7B,8192,6.24e+03,102.0%,102.7%,102.0%,91.7%,100.1%,104.5%,104.7%
RTX5080,Qwen2.5-7B,16384,1.25e+04,103.1%,102.0%,103.5%,93.3%,101.7%,105.0%,106.7%
RTX5080,Qwen2.5-14B,64,1.62e+02,102.1%,102.8%,89.9%,86.4%,86.8%,87.5%,87.7%
RTX5080,Qwen2.5-14B,128,1.83e+02,99.0%,100.3%,93.3%,90.0%,89.4%,91.3%,92.0%
RTX5080,Qwen2.5-14B,256,2.62e+02,101.4%,100.3%,103.1%,92.0%,91.5%,100.9%,101.8%
RTX5080,Qwen2.5-14B,512,4.63e+02,99.2%,100.3%,102.3%,92.1%,89.7%,102.8%,102.3%
RTX5080,Qwen2.5-14B,1024,8.95e+02,100.4%,100.3%,102.2%,93.4%,89.8%,102.3%,103.6%
RTX5080,Qwen2.5-14B,2048,1.78e+03,99.8%,99.3%,101.7%,91.6%,89.7%,102.0%,102.0%
RTX5080,Qwen2.5-14B,4096,3.58e+03,99.6%,99.0%,100.3%,91.1%,90.3%,102.7%,102.7%
RTX5080,Qwen2.5-14B,8192,7.20e+03,100.9%,100.7%,102.1%,92.1%,91.4%,103.6%,103.9%
RTX5080,Qwen2.5-14B,16384,1.44e+04,100.0%,100.7%,102.1%,93.2%,91.4%,103.6%,103.9%
GB10,Llama3.2-1B,64,8.95e+01,73.1%,77.2%,64.9%,61.4%,68.9%,73.2%,68.6%
GB10,Llama3.2-1B,128,1.04e+02,82.3%,87.2%,59.8%,61.6%,69.5%,78.8%,74.8%
GB10,Llama3.2-1B,256,1.48e+02,88.5%,100.9%,72.0%,72.8%,77.9%,83.3%,92.6%
GB10,Llama3.2-1B,512,2.77e+02,94.2%,105.1%,91.0%,90.8%,88.3%,97.5%,101.8%
GB10,Llama3.2-1B,1024,5.34e+02,106.5%,105.2%,99.7%,96.3%,105.8%,112.5%,110.4%
GB10,Llama3.2-1B,2048,1.00e+03,101.7%,104.7%,93.2%,91.1%,98.7%,95.7%,96.4%
GB10,Llama3.2-1B,4096,1.94e+03,95.4%,96.9%,88.9%,88.0%,94.0%,99.7%,101.4%
GB10,Llama3.2-1B,8192,3.98e+03,101.2%,100.7%,93.4%,88.8%,95.1%,102.2%,100.7%
GB10,Llama3.2-1B,16384,8.03e+03,102.0%,105.9%,95.3%,93.1%,98.3%,104.2%,101.5%
GB10,BitNet-2B,64,7.81e+01,53.6%,64.1%,60.4%,44.5%,43.3%,57.3%,59.8%
GB10,BitNet-2B,128,1.09e+02,71.4%,83.6%,77.2%,66.4%,56.1%,75.1%,67.3%
