GPU,Model,M,cuSPARSELt 2:4 Latency (μs),Eff_2:6,Eff_2:8,Eff_2:10,Eff_2:12,Eff_2:14,Eff_2:16,Eff_2:∞
H100,Llama3.2-1B,512,8.12e+01,101.3%,113.9%,103.1%,104.2%,112.1%,116.1%,123.1%
H100,Llama3.2-1B,1024,1.29e+02,108.3%,110.3%,113.5%,106.8%,112.8%,116.7%,121.4%
H100,Llama3.2-1B,2048,2.33e+02,105.4%,114.9%,107.1%,107.5%,107.8%,112.9%,116.1%
H100,Llama3.2-1B,4096,4.26e+02,103.2%,107.3%,100.4%,105.8%,108.9%,107.3%,113.9%
H100,Llama3.2-1B,8192,7.96e+02,100.5%,99.3%,95.8%,97.4%,102.6%,101.1%,101.4%
H100,Llama3.2-1B,16384,1.65e+03,98.7%,99.4%,99.7%,98.5%,96.8%,102.3%,105.2%
H100,BitNet-2B,64,3.84e+01,107.3%,125.8%,128.8%,128.5%,126.4%,132.0%,116.9%
H100,BitNet-2B,128,4.19e+01,105.5%,124.1%,128.0%,122.7%,120.0%,120.9%,118.2%
H100,BitNet-2B,256,5.41e+01,109.0%,116.8%,116.9%,118.6%,110.4%,116.1%,119.2%
H100,BitNet-2B,512,8.09e+01,105.5%,114.5%,112.0%,112.1%,109.1%,113.0%,118.2%
H100,BitNet-2B,1024,1.34e+02,99.2%,108.0%,108.8%,108.0%,109.7%,109.2%,110.4%
H100,BitNet-2B,2048,2.45e+02,102.6%,109.6%,104.6%,110.3%,104.2%,110.4%,110.8%
H100,BitNet-2B,4096,4.66e+02,100.9%,106.4%,107.0%,104.7%,103.1%,106.4%,110.8%
H100,BitNet-2B,8192,9.06e+02,98.7%,104.0%,104.5%,104.4%,102.9%,102.7%,104.0%
H100,BitNet-2B,16384,1.84e+03,94.3%,100.3%,100.9%,97.7%,96.1%,102.5%,101.9%
H100,Llama3.2-3B,64,4.59e+01,101.4%,99.7%,100.8%,100.5%,99.8%,105.5%,112.3%
H100,Llama3.2-3B,128,5.22e+01,100.8%,103.9%,102.0%,105.0%,101.2%,108.9%,111.8%
H100,Llama3.2-3B,256,7.36e+01,108.4%,107.9%,107.7%,110.6%,107.3%,109.6%,114.0%
H100,Llama3.2-3B,512,1.08e+02,103.3%,107.5%,108.0%,106.9%,100.0%,109.4%,110.0%
H100,Llama3.2-3B,1024,1.77e+02,102.6%,104.7%,104.7%,107.9%,104.8%,105.8%,107.9%
H100,Llama3.2-3B,2048,3.21e+02,103.8%,104.7%,103.1%,102.9%,97.8%,104.5%,103.4%
H100,Llama3.2-3B,4096,6.53e+02,107.0%,106.9%,103.5%,102.8%,99.6%,106.9%,104.2%
H100,Llama3.2-3B,8192,1.28e+03,106.3%,100.0%,99.3%,99.1%,91.9%,101.8%,99.3%
H100,Llama3.2-3B,16384,2.66e+03,102.9%,102.9%,102.4%,97.1%,92.1%,103.0%,101.7%
H100,Qwen2.5-7B,64,9.97e+01,101.1%,105.9%,104.6%,105.7%,108.7%,108.7%,111.1%
H100,Qwen2.5-7B,128,1.13e+02,103.4%,109.3%,110.4%,104.7%,110.3%,109.9%,114.7%
H100,Qwen2.5-7B,256,1.43e+02,99.5%,107.1%,107.9%,103.2%,106.1%,109.7%,114.3%
H100,Qwen2.5-7B,512,2.30e+02,109.1%,109.1%,109.1%,106.1%,109.1%,111.4%,116.7%
H100,Qwen2.5-7B,1024,3.64e+02,98.7%,105.2%,100.8%,94.2%,100.2%,104.5%,105.2%
H100,Qwen2.5-7B,2048,7.10e+02,102.5%,101.2%,103.0%,87.5%,96.4%,101.7%,102.5%
H100,Qwen2.5-7B,4096,1.46e+03,95.8%,97.4%,91.0%,92.0%,91.6%,94.5%,97.7%
H100,Qwen2.5-7B,8192,3.09e+03,99.2%,101.2%,93.0%,92.7%,98.6%,100.6%,102.5%
H100,Qwen2.5-7B,16384,6.30e+03,99.6%,102.6%,93.8%,95.8%,99.5%,101.6%,103.4%
H100,Qwen2.5-14B,64,1.07e+02,102.4%,107.6%,109.0%,105.1%,103.1%,107.8%,104.3%
H100,Qwen2.5-14B,128,1.18e+02,101.0%,106.8%,107.9%,101.0%,100.0%,107.4%,106.1%
H100,Qwen2.5-14B,256,1.46e+02,99.7%,85.9%,103.8%,101.8%,98.1%,105.5%,106.9%
H100,Qwen2.5-14B,512,2.33e+02,99.6%,99.7%,101.3%,99.2%,97.6%,104.1%,103.8%
H100,Qwen2.5-14B,1024,4.71e+02,108.4%,112.0%,112.0%,108.9%,102.9%,115.5%,112.0%
H100,Qwen2.5-14B,2048,8.05e+02,97.8%,101.1%,100.9%,92.4%,87.6%,100.8%,96.7%
H100,Qwen2.5-14B,4096,1.74e+03,103.1%,99.4%,103.3%,97.9%,93.7%,100.7%,102.3%
H100,Qwen2.5-14B,8192,3.65e+03,103.3%,93.6%,93.4%,97.3%,94.1%,104.2%,101.7%
H100,Qwen2.5-14B,16384,7.82e+03,105.4%,96.1%,95.8%,101.8%,102.7%,106.9%,107.8%
B200,Llama3.2-1B,64,3.10e+01,115.1%,129.5%,127.2%,125.4%,136.3%,142.1%,159.0%
B200,Llama3.2-1B,128,3.11e+01,108.2%,125.4%,125.9%,125.7%,129.3%,132.0%,150.8%
B200,Llama3.2-1B,256,3.36e+01,109.4%,123.0%,127.5%,123.7%,132.6%,136.7%,154.7%
B200,Llama3.2-1B,512,4.05e+01,117.1%,128.0%,122.3%,116.5%,132.4%,143.7%,151.2%
B200,Llama3.2-1B,1024,5.05e+01,112.0%,123.6%,115.2%,117.3%,120.7%,130.2%,142.4%
B200,Llama3.2-1B,2048,7.19e+01,103.7%,115.6%,109.0%,104.9%,111.7%,120.6%,127.4%
B200,Llama3.2-1B,4096,1.19e+02,97.9%,108.0%,97.3%,93.2%,100.7%,112.6%,114.7%
B200,Llama3.2-1B,8192,2.16e+02,97.9%,106.3%,98.2%,94.9%,100.9%,109.7%,111.4%
B200,Llama3.2-1B,16384,4.06e+02,95.2%,106.2%,94.4%,92.1%,96.9%,107.6%,106.8%
B200,BitNet-2B,64,3.18e+01,113.9%,128.2%,136.7%,142.4%,135.6%,149.5%,165.5%
B200,BitNet-2B,128,3.25e+01,116.7%,125.5%,132.3%,137.8%,135.2%,144.7%,163.5%
B200,BitNet-2B,256,3.64e+01,121.7%,132.5%,139.8%,144.0%,138.1%,147.8%,157.3%
B200,BitNet-2B,512,4.24e+01,105.0%,124.8%,128.8%,126.8%,125.9%,133.2%,146.9%
B200,BitNet-2B,1024,5.55e+01,102.8%,119.5%,126.1%,122.9%,122.0%,127.5%,135.6%
B200,BitNet-2B,2048,8.04e+01,94.7%,112.2%,112.4%,108.1%,100.8%,113.5%,119.1%
B200,BitNet-2B,4096,1.35e+02,99.3%,109.6%,111.2%,106.4%,103.3%,111.7%,112.1%
B200,BitNet-2B,8192,2.36e+02,93.5%,105.2%,104.9%,101.7%,98.0%,105.7%,107.8%
B200,BitNet-2B,16384,4.54e+02,93.0%,104.6%,103.7%,98.8%,97.4%,102.6%,106.2%
B200,Llama3.2-3B,64,3.46e+01,124.4%,135.0%,140.0%,140.3%,122.9%,148.8%,166.7%
B200,Llama3.2-3B,128,3.54e+01,120.5%,135.5%,133.3%,141.8%,124.8%,148.9%,154.4%
B200,Llama3.2-3B,256,3.92e+01,122.7%,130.1%,131.7%,132.7%,125.9%,144.0%,148.7%
B200,Llama3.2-3B,512,4.74e+01,114.4%,120.0%,117.3%,123.6%,112.9%,129.8%,140.0%
B200,Llama3.2-3B,1024,6.77e+01,113.7%,116.8%,114.1%,120.2%,111.0%,121.9%,129.5%
B200,Llama3.2-3B,2048,1.04e+02,109.0%,111.7%,103.9%,108.3%,98.9%,113.7%,115.3%
B200,Llama3.2-3B,4096,1.76e+02,106.0%,107.7%,100.5%,105.8%,95.6%,108.8%,110.3%
B200,Llama3.2-3B,8192,3.29e+02,102.4%,103.4%,96.6%,101.6%,92.0%,105.6%,106.1%
B200,Llama3.2-3B,16384,6.41e+02,102.3%,104.7%,98.6%,100.8%,91.7%,104.8%,107.0%
B200,Qwen2.5-7B,64,4.53e+01,104.5%,113.1%,117.0%,107.0%,113.9%,118.8%,123.9%
B200,Qwen2.5-7B,128,4.74e+01,102.3%,111.7%,115.5%,105.3%,112.1%,114.5%,121.8%
B200,Qwen2.5-7B,256,5.19e+01,102.1%,107.4%,108.9%,99.3%,108.2%,112.9%,116.3%
B200,Qwen2.5-7B,512,7.34e+01,100.2%,110.6%,114.5%,97.3%,108.9%,113.7%,116.8%
B200,Qwen2.5-7B,1024,1.15e+02,100.2%,107.7%,108.5%,96.2%,108.1%,109.2%,112.8%
B200,Qwen2.5-7B,2048,2.11e+02,95.4%,106.3%,106.3%,88.6%,100.9%,108.5%,108.9%
B200,Qwen2.5-7B,4096,3.86e+02,94.2%,102.2%,104.0%,89.6%,99.6%,103.9%,107.5%
B200,Qwen2.5-7B,8192,7.32e+02,93.0%,98.6%,99.7%,88.6%,98.9%,99.0%,101.7%
B200,Qwen2.5-7B,16384,1.45e+03,93.9%,98.9%,101.0%,86.6%,97.7%,104.6%,100.6%
B200,Qwen2.5-14B,64,4.40e+01,94.6%,103.5%,104.3%,98.9%,94.0%,107.3%,111.0%
B200,Qwen2.5-14B,128,4.80e+01,99.8%,108.3%,112.3%,99.3%,97.6%,111.3%,115.2%
B200,Qwen2.5-14B,256,5.97e+01,101.8%,112.2%,113.6%,103.1%,100.8%,116.2%,116.0%
B200,Qwen2.5-14B,512,8.61e+01,105.5%,114.2%,114.6%,104.5%,101.1%,116.2%,117.9%
B200,Qwen2.5-14B,1024,1.36e+02,97.1%,105.1%,105.6%,93.0%,89.8%,106.0%,108.8%
B200,Qwen2.5-14B,2048,2.35e+02,97.3%,102.8%,103.6%,94.3%,91.6%,103.5%,104.4%
B200,Qwen2.5-14B,4096,4.28e+02,95.3%,101.2%,99.5%,91.1%,85.7%,99.7%,100.0%
B200,Qwen2.5-14B,8192,8.28e+02,95.1%,101.4%,100.3%,91.0%,87.1%,100.3%,99.5%
B200,Qwen2.5-14B,16384,1.69e+03,92.8%,97.0%,99.1%,91.5%,87.6%,99.9%,100.0%
RTX5080,Llama3.2-1B,64,6.28e+01,113.9%,126.4%,120.4%,123.6%,129.1%,131.7%,139.3%
RTX5080,Llama3.2-1B,128,7.80e+01,109.3%,116.8%,115.4%,116.1%,119.4%,120.5%,124.6%
RTX5080,Llama3.2-1B,256,1.08e+02,104.0%,106.0%,101.3%,100.0%,106.3%,107.3%,113.3%
RTX5080,Llama3.2-1B,512,1.90e+02,102.6%,106.7%,103.6%,100.4%,105.5%,109.9%,112.8%
RTX5080,Llama3.2-1B,1024,3.43e+02,100.8%,105.2%,103.4%,101.6%,104.5%,106.7%,108.5%
RTX5080,Llama3.2-1B,2048,6.42e+02,101.8%,102.1%,102.2%,101.6%,104.5%,103.6%,104.1%
RTX5080,Llama3.2-1B,4096,1.26e+03,101.2%,103.2%,102.6%,101.0%,103.9%,102.9%,104.7%
RTX5080,Llama3.2-1B,8192,2.48e+03,100.4%,101.5%,102.6%,101.0%,102.9%,102.9%,103.5%
RTX5080,Llama3.2-1B,16384,4.97e+03,101.8%,102.1%,102.2%,100.6%,102.5%,103.6%,103.0%
RTX5080,BitNet-2B,64,6.05e+01,109.8%,123.5%,128.6%,125.8%,126.1%,132.1%,141.2%
RTX5080,BitNet-2B,128,7.57e+01,102.1%,112.5%,117.5%,113.3%,112.5%,117.6%,123.4%
RTX5080,BitNet-2B,256,1.18e+02,103.2%,106.8%,109.6%,108.4%,105.7%,107.9%,112.3%
RTX5080,BitNet-2B,512,2.00e+02,95.8%,105.0%,107.0%,104.2%,102.9%,105.0%,107.5%
RTX5080,BitNet-2B,1024,3.71e+02,99.6%,103.2%,104.5%,102.9%,101.8%,102.9%,104.7%
RTX5080,BitNet-2B,2048,7.19e+02,100.6%,102.6%,102.9%,103.3%,102.3%,102.3%,104.1%
RTX5080,BitNet-2B,4096,1.41e+03,98.7%,101.4%,102.7%,102.1%,100.1%,101.2%,102.9%
RTX5080,BitNet-2B,8192,2.80e+03,98.4%,100.3%,101.4%,101.7%,99.7%,100.7%,101.2%
RTX5080,BitNet-2B,16384,5.60e+03,98.0%,101.5%,101.6%,101.0%,98.8%,100.9%,102.4%
RTX5080,Llama3.2-3B,64,7.49e+01,110.0%,117.5%,114.7%,118.1%,108.6%,125.4%,123.3%
RTX5080,Llama3.2-3B,128,9.93e+01,105.6%,107.3%,106.7%,110.0%,104.8%,115.5%,115.3%
RTX5080,Llama3.2-3B,256,1.68e+02,105.8%,108.0%,106.7%,107.8%,105.1%,110.8%,113.3%
RTX5080,Llama3.2-3B,512,2.90e+02,104.3%,104.3%,101.4%,105.6%,101.2%,106.5%,105.6%
RTX5080,Llama3.2-3B,1024,5.26e+02,101.7%,101.4%,99.0%,102.1%,100.1%,101.2%,101.7%
RTX5080,Llama3.2-3B,2048,1.04e+03,101.4%,102.6%,101.1%,103.3%,103.3%,102.3%,104.1%
RTX5080,Llama3.2-3B,4096,2.02e+03,101.7%,100.6%,99.9%,103.1%,102.1%,101.2%,101.7%
RTX5080,Llama3.2-3B,8192,4.04e+03,100.8%,101.2%,99.5%,101.7%,102.7%,101.7%,102.3%
RTX5080,Llama3.2-3B,16384,8.07e+03,101.4%,101.8%,100.1%,102.3%,101.3%,102.3%,101.8%
RTX5080,Qwen2.5-7B,64,1.66e+02,101.6%,101.0%,98.0%,91.8%,88.6%,90.5%,91.2%
RTX5080,Qwen2.5-7B,128,1.99e+02,104.4%,104.6%,98.9%,97.6%,99.2%,100.2%,100.0%
RTX5080,Qwen2.5-7B,256,3.38e+02,104.1%,104.3%,102.4%,104.7%,105.6%,103.5%,106.1%
RTX5080,Qwen2.5-7B,512,6.24e+02,103.4%,103.8%,102.2%,103.6%,104.5%,103.6%,104.1%
RTX5080,Qwen2.5-7B,1024,1.19e+03,101.6%,102.9%,101.4%,100.8%,103.7%,101.7%,102.3%
RTX5080,Qwen2.5-7B,2048,2.31e+03,100.0%,99.7%,99.1%,98.5%,100.3%,99.4%,100.0%
RTX5080,Qwen2.5-7B,4096,4.68e+03,100.8%,100.3%,99.5%,99.8%,100.7%,100.7%,101.2%
RTX5080,Qwen2.5-7B,8192,9.28e+03,100.8%,101.2%,100.5%,99.8%,100.7%,100.7%,101.2%
RTX5080,Qwen2.5-7B,16384,1.86e+04,100.6%,100.9%,100.1%,100.4%,101.3%,100.3%,101.8%
RTX5080,Qwen2.5-14B,64,1.79e+02,102.0%,102.0%,92.0%,89.3%,88.5%,90.4%,90.2%
RTX5080,Qwen2.5-14B,128,2.25e+02,104.8%,105.2%,100.8%,97.4%,95.7%,98.9%,100.0%
RTX5080,Qwen2.5-14B,256,3.79e+02,102.6%,103.0%,104.1%,103.6%,103.5%,105.6%,105.3%
RTX5080,Qwen2.5-14B,512,7.10e+02,101.7%,100.6%,101.7%,101.2%,102.1%,102.2%,101.7%
RTX5080,Qwen2.5-14B,1024,1.38e+03,100.8%,101.4%,102.7%,101.3%,102.3%,102.4%,101.1%
RTX5080,Qwen2.5-14B,2048,2.74e+03,100.6%,100.3%,100.6%,101.0%,100.9%,101.0%,100.6%
RTX5080,Qwen2.5-14B,4096,5.43e+03,99.8%,99.4%,99.7%,99.0%,98.9%,100.0%,99.4%
RTX5080,Qwen2.5-14B,8192,1.08e+04,100.4%,100.0%,100.2%,99.6%,99.5%,100.6%,100.0%
RTX5080,Qwen2.5-14B,16384,2.17e+04,100.8%,100.3%,100.5%,99.8%,100.7%,100.7%,101.2%
GB10,Llama3.2-1B,64,7.37e+01,70.3%,71.5%,61.9%,62.1%,60.8%,66.5%,62.4%
GB10,Llama3.2-1B,128,1.05e+02,83.8%,88.1%,79.3%,80.3%,77.1%,84.3%,83.5%
GB10,Llama3.2-1B,256,1.72e+02,100.8%,105.5%,98.6%,100.8%,99.7%,105.8%,105.8%
GB10,Llama3.2-1B,512,2.99e+02,105.1%,105.1%,102.8%,103.4%,107.6%,106.0%,105.1%
GB10,Llama3.2-1B,1024,5.78e+02,104.9%,104.5%,104.9%,102.5%,105.4%,106.1%,104.9%
GB10,Llama3.2-1B,2048,1.13e+03,100.8%,99.2%,100.8%,98.4%,99.9%,100.6%,99.2%
GB10,Llama3.2-1B,4096,2.23e+03,100.8%,100.0%,100.2%,97.6%,100.3%,99.6%,100.8%
GB10,Llama3.2-1B,8192,4.48e+03,100.0%,100.4%,100.6%,98.1%,100.9%,101.6%,101.6%
GB10,Llama3.2-1B,16384,9.06e+03,101.6%,102.0%,101.0%,101.1%,102.6%,101.8%,103.3%
GB10,BitNet-2B,64,9.20e+01,75.6%,77.5%,76.6%,69.3%,68.4%,75.0%,70.6%
GB10,BitNet-2B,128,1.21e+02,82.6%,83.4%,85.1%,80.5%,79.4%,85.4%,82.9%
GB10,BitNet-2B,256,1.90e+02,93.9%,101.2%,101.3%,96.6%,97.4%,101.5%,104.1%
GB10,BitNet-2B,512,3.39e+02,101.3%,104.9%,104.7%,104.0%,103.1%,106.6%,106.8%
GB10,BitNet-2B,1024,6.37e+02,98.9%,102.8%,101.9%,103.5%,102.3%,101.6%,103.2%
GB10,BitNet-2B,2048,1.25e+03,99.5%,102.0%,102.3%,101.1%,98.4%,100.4%,101.6%
GB10,BitNet-2B,4096,2.53e+03,99.2%,100.4%,101.8%,101.9%,99.2%,101.2%,100.8%
GB10,BitNet-2B,8192,5.07e+03,99.2%,100.4%,100.5%,101.9%,99.2%,101.2%,100.8%
GB10,BitNet-2B,16384,1.02e+04,98.4%,100.8%,101.0%,101.1%,98.4%,100.4%,98.4%
GB10,Llama3.2-3B,64,1.58e+02,91.9%,86.8%,76.3%,80.9%,69.3%,81.9%,79.1%
GB10,Llama3.2-3B,128,1.89e+02,95.0%,94.1%,83.8%,88.8%,78.4%,89.2%,84.9%
GB10,Llama3.2-3B,256,2.61e+02,103.7%,102.5%,91.6%,98.1%,90.5%,101.1%,100.0%
GB10,Llama3.2-3B,512,4.70e+02,105.0%,105.3%,102.1%,104.0%,107.0%,103.0%,109.2%
GB10,Llama3.2-3B,1024,8.93e+02,101.9%,100.0%,98.9%,101.6%,101.7%,101.0%,99.2%
GB10,Llama3.2-3B,2048,1.79e+03,100.3%,98.8%,98.0%,98.2%,98.3%,99.0%,99.2%
GB10,Llama3.2-3B,4096,3.63e+03,99.7%,98.8%,97.6%,100.3%,99.0%,99.6%,99.2%
GB10,Llama3.2-3B,8192,7.34e+03,101.1%,100.4%,99.4%,102.2%,100.9%,100.2%,101.6%
GB10,Llama3.2-3B,16384,1.47e+04,101.1%,100.4%,100.6%,102.2%,100.9%,100.2%,101.6%
GB10,Qwen2.5-7B,64,5.50e+02,85.3%,96.7%,92.6%,77.8%,88.8%,93.3%,92.4%
GB10,Qwen2.5-7B,128,5.94e+02,85.9%,96.6%,95.7%,80.8%,91.0%,94.7%,96.9%
GB10,Qwen2.5-7B,256,6.98e+02,91.5%,99.7%,99.5%,86.5%,97.3%,99.3%,101.6%
GB10,Qwen2.5-7B,512,1.04e+03,96.3%,97.7%,95.0%,91.4%,95.1%,94.8%,95.5%
GB10,Qwen2.5-7B,1024,2.14e+03,97.4%,98.1%,97.2%,93.6%,96.3%,98.3%,100.0%
GB10,Qwen2.5-7B,2048,4.33e+03,97.2%,98.8%,96.7%,93.0%,93.0%,97.7%,99.2%
GB10,Qwen2.5-7B,4096,9.11e+03,97.6%,98.8%,98.9%,92.1%,93.4%,99.6%,99.2%
GB10,Qwen2.5-7B,8192,1.73e+04,97.4%,99.2%,98.5%,92.3%,94.9%,99.6%,100.0%
GB10,Qwen2.5-7B,16384,3.54e+04,96.3%,98.8%,99.0%,92.6%,93.9%,100.0%,100.0%
GB10,Qwen2.5-14B,64,5.89e+02,80.2%,86.4%,84.7%,73.4%,69.7%,83.8%,79.7%
GB10,Qwen2.5-14B,128,6.53e+02,86.1%,92.7%,88.7%,76.5%,72.5%,89.1%,88.2%
GB10,Qwen2.5-14B,256,7.78e+02,92.5%,98.7%,95.7%,86.3%,81.8%,97.6%,92.5%
GB10,Qwen2.5-14B,512,1.24e+03,101.5%,100.9%,100.6%,101.7%,97.0%,102.4%,101.9%
GB10,Qwen2.5-14B,1024,2.45e+03,99.0%,97.3%,97.5%,97.7%,93.8%,97.1%,98.4%
GB10,Qwen2.5-14B,2048,5.00e+03,101.1%,100.4%,100.6%,100.8%,95.4%,101.6%,101.6%
GB10,Qwen2.5-14B,4096,1.00e+04,101.6%,100.0%,100.3%,100.5%,96.6%,100.0%,101.6%
GB10,Qwen2.5-14B,8192,1.99e+04,101.3%,99.6%,99.8%,100.0%,96.0%,100.8%,100.8%
GB10,Qwen2.5-14B,16384,3.98e+04,101.6%,100.0%,100.3%,100.5%,96.6%,100.0%,100.0%
