GPU,Model,M,cuSPARSELt 2:4 Throughput (token/s),Eff_2:6,Eff_2:8,Eff_2:10
RTX4090,Qwen2.5-14B,256,4.06e+03,89.4%,52.1%,
RTX4090,Qwen2.5-14B,512,4.15e+03,53.9%,,
H100,Llama3.2-1B,64,1.45e+04,130.9%,132.4%,149.9%
H100,Llama3.2-1B,128,1.93e+04,141.0%,151.4%,169.1%
H100,Llama3.2-1B,256,2.68e+04,147.8%,164.7%,170.4%
H100,Llama3.2-1B,512,3.26e+04,128.4%,144.5%,151.2%
H100,BitNet-2B,64,8.91e+03,133.3%,147.3%,152.7%
H100,BitNet-2B,128,1.53e+04,127.6%,140.9%,149.0%
H100,BitNet-2B,256,2.24e+04,124.8%,140.5%,145.5%
H100,BitNet-2B,512,2.33e+04,125.1%,143.4%,147.3%
H100,Llama3.2-3B,64,8.17e+03,134.5%,150.0%,154.2%
H100,Llama3.2-3B,128,1.40e+04,130.1%,141.5%,150.9%
H100,Llama3.2-3B,256,1.83e+04,134.6%,145.6%,149.0%
H100,Llama3.2-3B,512,2.00e+04,130.9%,144.6%,149.9%
H100,Qwen2.5-7B,64,7.12e+03,123.7%,139.1%,141.9%
H100,Qwen2.5-7B,128,1.23e+04,121.5%,135.5%,140.6%
H100,Qwen2.5-7B,256,1.64e+04,123.8%,135.3%,140.0%
H100,Qwen2.5-7B,512,1.74e+04,117.6%,134.9%,138.5%
H100,Qwen2.5-14B,64,4.95e+03,113.6%,127.9%,133.2%
H100,Qwen2.5-14B,128,7.48e+03,120.2%,131.8%,137.0%
H100,Qwen2.5-14B,256,1.00e+04,117.9%,128.9%,126.9%
H100,Qwen2.5-14B,512,1.04e+04,118.7%,128.9%,132.5%
B200,Llama3.2-1B,64,2.00e+04,134.5%,148.7%,155.9%
B200,Llama3.2-1B,128,2.88e+04,131.0%,146.0%,155.8%
B200,Llama3.2-1B,256,4.51e+04,112.1%,130.1%,151.5%
B200,Llama3.2-1B,512,4.91e+04,129.8%,146.0%,154.3%
B200,BitNet-2B,64,1.05e+04,139.7%,158.6%,167.6%
B200,BitNet-2B,128,2.12e+04,128.0%,144.0%,153.5%
B200,BitNet-2B,256,3.33e+04,117.5%,133.3%,142.2%
B200,BitNet-2B,512,3.71e+04,126.6%,142.4%,151.9%
B200,Llama3.2-3B,64,1.27e+04,129.8%,143.4%,150.2%
B200,Llama3.2-3B,128,2.13e+04,128.0%,142.7%,151.0%
B200,Llama3.2-3B,256,2.98e+04,129.9%,146.1%,148.9%
B200,Llama3.2-3B,512,3.57e+04,129.9%,144.9%,150.4%
B200,Qwen2.5-7B,64,1.22e+04,130.2%,144.1%,151.2%
B200,Qwen2.5-7B,128,2.00e+04,124.1%,139.6%,145.2%
B200,Qwen2.5-7B,256,2.89e+04,125.4%,138.5%,145.0%
B200,Qwen2.5-7B,512,3.28e+04,123.7%,137.9%,144.5%
B200,Qwen2.5-14B,64,7.74e+03,135.3%,148.9%,154.1%
B200,Qwen2.5-14B,128,1.31e+04,124.2%,138.5%,145.3%
B200,Qwen2.5-14B,256,1.88e+04,127.4%,146.0%,147.3%
B200,Qwen2.5-14B,512,2.18e+04,122.7%,134.4%,142.1%
RTX5080,Llama3.2-1B,64,1.66e+04,125.4%,136.0%,142.4%
RTX5080,Llama3.2-1B,128,2.32e+04,126.3%,140.7%,147.3%
RTX5080,Llama3.2-1B,256,2.56e+04,126.4%,134.3%,146.1%
RTX5080,Llama3.2-1B,512,2.49e+04,127.3%,140.5%,145.6%
RTX5080,BitNet-2B,64,9.26e+03,130.9%,140.5%,147.0%
RTX5080,BitNet-2B,128,1.57e+04,123.2%,136.0%,141.0%
RTX5080,BitNet-2B,256,1.80e+04,124.1%,133.2%,146.2%
RTX5080,BitNet-2B,512,1.63e+04,121.7%,134.3%,141.9%
RTX5080,Llama3.2-3B,64,9.01e+03,121.0%,136.2%,140.3%
RTX5080,Llama3.2-3B,128,1.36e+04,123.9%,134.6%,139.8%
RTX5080,Llama3.2-3B,256,1.51e+04,122.3%,132.6%,136.2%
RTX5080,Llama3.2-3B,512,1.28e+04,123.2%,133.6%,139.8%
RTX5080,Qwen2.5-7B,64,6.21e+03,119.8%,127.2%,126.4%
RTX5080,Qwen2.5-7B,128,1.08e+04,115.6%,122.7%,123.1%
RTX5080,Qwen2.5-7B,256,1.22e+04,92.6%,85.0%,82.7%
RTX5080,Qwen2.5-7B,512,9.61e+03,104.4%,76.0%,
RTX5080,Qwen2.5-14B,64,,,,
RTX5080,Qwen2.5-14B,128,,,,
RTX5080,Qwen2.5-14B,256,,,,
RTX5080,Qwen2.5-14B,512,,,,
GB10,Llama3.2-1B,64,4.90e+03,114.9%,129.3%,131.0%
GB10,Llama3.2-1B,128,7.35e+03,117.5%,133.5%,136.9%
GB10,Llama3.2-1B,256,8.76e+03,120.1%,139.2%,139.8%
GB10,Llama3.2-1B,512,9.01e+03,122.7%,139.4%,140.2%
GB10,BitNet-2B,64,3.02e+03,108.2%,131.6%,128.5%
GB10,BitNet-2B,128,4.39e+03,118.6%,134.7%,139.7%
GB10,BitNet-2B,256,5.46e+03,121.5%,136.7%,144.4%
GB10,BitNet-2B,512,5.60e+03,121.9%,137.2%,145.0%
GB10,Llama3.2-3B,64,2.43e+03,121.8%,130.2%,123.0%
GB10,Llama3.2-3B,128,3.71e+03,120.1%,132.6%,126.9%
GB10,Llama3.2-3B,256,4.46e+03,125.0%,137.9%,137.1%
GB10,Llama3.2-3B,512,4.62e+03,124.1%,135.7%,136.3%
GB10,Qwen2.5-7B,64,1.55e+03,105.9%,126.8%,127.1%
GB10,Qwen2.5-7B,128,2.69e+03,101.4%,120.7%,125.2%
GB10,Qwen2.5-7B,256,3.48e+03,103.9%,121.3%,128.2%
GB10,Qwen2.5-7B,512,3.46e+03,109.4%,125.4%,123.8%
GB10,Qwen2.5-14B,64,8.73e+02,99.3%,113.8%,115.7%
GB10,Qwen2.5-14B,128,1.43e+03,101.0%,116.8%,118.9%
GB10,Qwen2.5-14B,256,1.82e+03,107.1%,121.6%,122.4%
GB10,Qwen2.5-14B,512,1.85e+03,107.3%,123.0%,127.5%
