GPU,Model,M,cuSPARSELt 2:4 Throughput (token/s),Eff_2:6,Eff_2:8,Eff_2:10
A100,Qwen2.5-14B,1024,1.33e+04,126.6%,138.0%,138.0%
A100,Qwen2.5-14B,2048,1.78e+04,109.4%,115.3%,118.4%
A100,Qwen2.5-14B,4096,1.84e+04,109.0%,114.9%,117.0%
A100,Qwen2.5-14B,8192,1.88e+04,107.7%,112.7%,114.8%
A100,Qwen2.5-14B,16384,1.89e+04,107.7%,113.6%,114.8%
A100,Qwen2.5-14B,32768,1.89e+04,107.0%,112.7%,113.9%
RTX4090,Llama3.2-1B,512,8.33e+03,133.3%,145.1%,158.2%
RTX4090,Llama3.2-1B,1024,1.59e+04,138.0%,157.1%,163.8%
RTX4090,Llama3.2-1B,2048,3.34e+04,128.9%,150.0%,156.5%
RTX4090,Llama3.2-1B,4096,6.45e+04,130.4%,151.6%,158.3%
RTX4090,Llama3.2-1B,8192,1.13e+05,122.6%,133.1%,135.5%
RTX4090,Llama3.2-1B,16384,1.18e+05,119.0%,130.4%,130.5%
RTX4090,Llama3.2-1B,32768,1.20e+05,119.0%,129.2%,128.0%
RTX4090,BitNet-2B,512,8.64e+03,136.9%,148.6%,161.4%
RTX4090,BitNet-2B,1024,1.78e+04,127.3%,144.6%,149.9%
RTX4090,BitNet-2B,2048,3.51e+04,134.5%,143.3%,161.4%
RTX4090,BitNet-2B,4096,6.75e+04,108.2%,129.0%,126.4%
RTX4090,BitNet-2B,8192,7.03e+04,107.9%,120.2%,127.0%
RTX4090,BitNet-2B,16384,6.90e+04,109.7%,131.5%,131.7%
RTX4090,BitNet-2B,32768,7.15e+04,113.0%,127.1%,131.9%
RTX4090,Llama3.2-3B,512,7.15e+03,138.3%,151.4%,165.9%
RTX4090,Llama3.2-3B,1024,1.40e+04,147.9%,158.9%,175.8%
RTX4090,Llama3.2-3B,2048,3.03e+04,137.0%,152.8%,155.6%
RTX4090,Llama3.2-3B,4096,5.25e+04,123.1%,128.1%,134.2%
RTX4090,Llama3.2-3B,8192,5.30e+04,117.5%,125.6%,129.2%
RTX4090,Llama3.2-3B,16384,5.31e+04,117.4%,125.4%,130.1%
RTX4090,Llama3.2-3B,32768,5.33e+04,117.4%,126.5%,129.0%
RTX4090,Qwen2.5-7B,512,8.78e+03,133.3%,151.4%,160.0%
RTX4090,Qwen2.5-7B,1024,1.75e+04,135.8%,147.2%,155.5%
RTX4090,Qwen2.5-7B,2048,2.76e+04,115.7%,121.3%,124.7%
RTX4090,Qwen2.5-7B,4096,2.94e+04,113.6%,119.4%,121.7%
RTX4090,Qwen2.5-7B,8192,2.94e+04,113.2%,119.8%,124.3%
RTX4090,Qwen2.5-7B,16384,2.95e+04,113.2%,62.6%,46.0%
RTX4090,Qwen2.5-7B,32768,8.75e+03,100.8%,98.8%,97.6%
RTX4090,Qwen2.5-14B,512,4.75e+03,139.6%,151.4%,
RTX4090,Qwen2.5-14B,1024,9.44e+03,139.9%,157.4%,
RTX4090,Qwen2.5-14B,2048,1.58e+04,112.8%,119.6%,
RTX4090,Qwen2.5-14B,4096,1.60e+04,113.3%,120.0%,
RTX4090,Qwen2.5-14B,8192,1.59e+04,111.4%,120.0%,
RTX4090,Qwen2.5-14B,16384,1.58e+04,113.3%,,
RTX4090,Qwen2.5-14B,32768,1.59e+04,,,
H100,Llama3.2-1B,512,1.59e+04,137.9%,146.6%,167.4%
H100,Llama3.2-1B,1024,3.15e+04,136.4%,148.3%,163.6%
H100,Llama3.2-1B,2048,6.34e+04,119.0%,145.2%,160.0%
H100,Llama3.2-1B,4096,1.14e+05,130.3%,148.3%,156.4%
H100,Llama3.2-1B,8192,1.74e+05,124.8%,132.1%,139.4%
H100,Llama3.2-1B,16384,2.02e+05,124.4%,140.0%,136.0%
H100,Llama3.2-1B,32768,2.26e+05,114.9%,128.1%,128.0%
H100,BitNet-2B,512,1.64e+04,139.4%,156.8%,158.5%
H100,BitNet-2B,1024,3.37e+04,138.2%,147.3%,160.0%
H100,BitNet-2B,2048,6.69e+04,126.6%,144.9%,157.3%
H100,BitNet-2B,4096,9.55e+04,123.3%,136.2%,140.0%
H100,BitNet-2B,8192,1.05e+05,124.3%,133.5%,138.3%
H100,BitNet-2B,16384,1.15e+05,116.3%,126.0%,131.8%
H100,BitNet-2B,32768,1.17e+05,116.3%,126.0%,130.6%
H100,Llama3.2-3B,512,1.64e+04,144.9%,160.4%,165.6%
H100,Llama3.2-3B,1024,3.43e+04,138.1%,156.8%,165.8%
H100,Llama3.2-3B,2048,6.71e+04,133.3%,143.6%,149.1%
H100,Llama3.2-3B,4096,8.58e+04,118.1%,128.2%,130.7%
H100,Llama3.2-3B,8192,9.26e+04,116.8%,125.6%,129.0%
H100,Llama3.2-3B,16384,9.60e+04,117.8%,125.6%,127.8%
H100,Llama3.2-3B,32768,9.94e+04,116.0%,122.5%,124.6%
H100,Qwen2.5-7B,512,1.67e+04,148.4%,161.7%,173.9%
H100,Qwen2.5-7B,1024,3.52e+04,127.8%,142.6%,146.8%
H100,Qwen2.5-7B,2048,4.74e+04,111.8%,118.8%,123.1%
H100,Qwen2.5-7B,4096,5.03e+04,111.1%,119.0%,121.9%
H100,Qwen2.5-7B,8192,5.18e+04,112.4%,118.9%,121.1%
H100,Qwen2.5-7B,16384,5.30e+04,111.6%,119.1%,122.6%
H100,Qwen2.5-7B,32768,5.37e+04,111.7%,118.3%,119.4%
H100,Qwen2.5-14B,512,1.20e+04,127.7%,146.2%,156.0%
H100,Qwen2.5-14B,1024,2.25e+04,112.4%,119.8%,124.2%
H100,Qwen2.5-14B,2048,2.53e+04,115.0%,121.7%,125.2%
H100,Qwen2.5-14B,4096,2.60e+04,116.5%,123.3%,126.8%
H100,Qwen2.5-14B,8192,2.82e+04,110.3%,114.8%,118.1%
H100,Qwen2.5-14B,16384,2.84e+04,111.0%,116.4%,119.7%
H100,Qwen2.5-14B,32768,2.86e+04,110.0%,116.4%,117.5%
B200,Llama3.2-1B,512,2.08e+04,141.3%,145.5%,168.0%
B200,Llama3.2-1B,1024,3.67e+04,151.3%,156.7%,183.4%
B200,Llama3.2-1B,2048,8.23e+04,137.3%,141.1%,153.7%
B200,Llama3.2-1B,4096,1.66e+05,131.9%,148.4%,160.0%
B200,Llama3.2-1B,8192,2.99e+05,136.2%,154.8%,165.2%
B200,Llama3.2-1B,16384,4.72e+05,133.3%,150.0%,152.0%
B200,Llama3.2-1B,32768,4.81e+05,133.3%,150.0%,158.4%
B200,BitNet-2B,512,1.66e+04,135.8%,152.8%,165.9%
B200,BitNet-2B,1024,3.27e+04,138.6%,155.9%,164.7%
B200,BitNet-2B,2048,6.72e+04,134.6%,160.0%,161.5%
B200,BitNet-2B,4096,1.36e+05,133.3%,150.0%,158.5%
B200,BitNet-2B,8192,2.60e+05,126.3%,142.0%,148.7%
B200,BitNet-2B,16384,3.23e+05,115.6%,130.0%,134.7%
B200,BitNet-2B,32768,3.44e+05,114.8%,127.9%,131.1%
B200,Llama3.2-3B,512,1.68e+04,139.7%,155.7%,158.5%
B200,Llama3.2-3B,1024,3.44e+04,139.6%,155.6%,164.5%
B200,Llama3.2-3B,2048,6.95e+04,134.5%,148.7%,160.0%
B200,Llama3.2-3B,4096,1.32e+05,138.5%,161.5%,170.8%
B200,Llama3.2-3B,8192,2.53e+05,119.0%,127.7%,130.9%
B200,Llama3.2-3B,16384,2.87e+05,116.5%,125.2%,126.0%
B200,Llama3.2-3B,32768,3.01e+05,115.8%,124.4%,124.0%
B200,Qwen2.5-7B,512,1.92e+04,133.3%,148.7%,162.8%
B200,Qwen2.5-7B,1024,3.97e+04,133.3%,154.1%,162.9%
B200,Qwen2.5-7B,2048,7.43e+04,143.7%,160.2%,169.3%
B200,Qwen2.5-7B,4096,1.42e+05,115.5%,125.2%,128.5%
B200,Qwen2.5-7B,8192,1.58e+05,110.9%,120.2%,123.4%
B200,Qwen2.5-7B,16384,1.67e+05,110.1%,117.4%,124.1%
B200,Qwen2.5-7B,32768,1.70e+05,112.6%,118.9%,124.4%
B200,Qwen2.5-14B,512,1.12e+04,139.4%,165.0%,165.8%
B200,Qwen2.5-14B,1024,2.30e+04,135.8%,156.9%,167.4%
B200,Qwen2.5-14B,2048,4.82e+04,134.5%,144.7%,151.6%
B200,Qwen2.5-14B,4096,8.06e+04,113.0%,119.1%,124.6%
B200,Qwen2.5-14B,8192,8.59e+04,110.3%,121.8%,123.9%
B200,Qwen2.5-14B,16384,9.02e+04,110.6%,118.1%,121.4%
B200,Qwen2.5-14B,32768,9.31e+04,108.7%,118.1%,120.3%
RTX5080,Llama3.2-1B,512,3.28e+04,147.2%,150.0%,180.0%
RTX5080,Llama3.2-1B,1024,6.59e+04,140.6%,154.9%,167.0%
RTX5080,Llama3.2-1B,2048,1.05e+05,123.1%,132.7%,130.5%
RTX5080,Llama3.2-1B,4096,1.15e+05,116.2%,124.3%,122.3%
RTX5080,Llama3.2-1B,8192,1.13e+05,117.3%,125.2%,125.1%
RTX5080,Llama3.2-1B,16384,1.10e+05,118.1%,126.0%,125.8%
RTX5080,Llama3.2-1B,32768,1.10e+05,118.1%,126.0%,125.8%
RTX5080,BitNet-2B,512,2.84e+04,132.1%,150.0%,155.5%
RTX5080,BitNet-2B,1024,5.45e+04,114.3%,125.0%,132.1%
RTX5080,BitNet-2B,2048,6.22e+04,108.6%,122.2%,128.0%
RTX5080,BitNet-2B,4096,6.15e+04,110.9%,122.6%,127.3%
RTX5080,BitNet-2B,8192,5.77e+04,112.3%,124.1%,128.7%
RTX5080,BitNet-2B,16384,5.64e+04,113.0%,124.8%,129.5%
RTX5080,BitNet-2B,32768,5.62e+04,113.0%,124.8%,129.5%
RTX5080,Llama3.2-3B,512,2.54e+04,151.8%,167.8%,181.7%
RTX5080,Llama3.2-3B,1024,4.20e+04,125.1%,131.4%,136.4%
RTX5080,Llama3.2-3B,2048,5.05e+04,118.8%,123.9%,126.4%
RTX5080,Llama3.2-3B,4096,4.94e+04,116.8%,121.5%,123.8%
RTX5080,Llama3.2-3B,8192,4.76e+04,116.5%,122.2%,124.4%
RTX5080,Llama3.2-3B,16384,4.70e+04,116.4%,123.1%,125.4%
RTX5080,Llama3.2-3B,32768,4.69e+04,116.4%,123.1%,125.4%
RTX5080,Qwen2.5-7B,512,2.01e+04,123.2%,129.5%,130.9%
RTX5080,Qwen2.5-7B,1024,2.36e+04,115.6%,121.1%,123.3%
RTX5080,Qwen2.5-7B,2048,2.56e+04,109.5%,115.7%,117.7%
RTX5080,Qwen2.5-7B,4096,2.53e+04,112.1%,118.5%,119.4%
RTX5080,Qwen2.5-7B,8192,2.51e+04,113.0%,119.6%,
RTX5080,Qwen2.5-7B,16384,2.51e+04,,,
RTX5080,Qwen2.5-7B,32768,,,,
RTX5080,Qwen2.5-14B,512,,,,
RTX5080,Qwen2.5-14B,1024,,,,
RTX5080,Qwen2.5-14B,2048,,,,
RTX5080,Qwen2.5-14B,4096,,,,
RTX5080,Qwen2.5-14B,8192,,,,
RTX5080,Qwen2.5-14B,16384,,,,
RTX5080,Qwen2.5-14B,32768,,,,
GB10,Llama3.2-1B,512,2.93e+04,116.5%,133.3%,130.4%
GB10,Llama3.2-1B,1024,3.19e+04,120.2%,133.0%,133.3%
GB10,Llama3.2-1B,2048,3.47e+04,119.1%,129.4%,128.2%
GB10,Llama3.2-1B,4096,3.41e+04,119.1%,130.5%,128.2%
GB10,Llama3.2-1B,8192,3.31e+04,120.8%,131.2%,130.0%
GB10,Llama3.2-1B,16384,3.33e+04,119.7%,131.1%,131.0%
GB10,Llama3.2-1B,32768,3.27e+04,123.6%,134.1%,135.3%
GB10,BitNet-2B,512,1.56e+04,92.1%,136.0%,135.8%
GB10,BitNet-2B,1024,1.74e+04,119.2%,131.8%,135.8%
GB10,BitNet-2B,2048,1.88e+04,115.0%,126.1%,131.0%
GB10,BitNet-2B,4096,1.76e+04,114.7%,126.8%,131.8%
GB10,BitNet-2B,8192,1.73e+04,114.7%,127.9%,135.2%
GB10,BitNet-2B,16384,1.75e+04,115.6%,127.7%,133.8%
GB10,BitNet-2B,32768,1.75e+04,116.7%,127.7%,135.0%
GB10,Llama3.2-3B,512,1.39e+04,114.6%,127.2%,123.1%
GB10,Llama3.2-3B,1024,1.53e+04,117.4%,127.6%,127.8%
GB10,Llama3.2-3B,2048,1.57e+04,118.2%,126.6%,127.1%
GB10,Llama3.2-3B,4096,1.49e+04,120.5%,128.3%,129.1%
GB10,Llama3.2-3B,8192,1.47e+04,122.2%,128.4%,129.7%
GB10,Llama3.2-3B,16384,1.48e+04,120.1%,128.2%,130.7%
GB10,Llama3.2-3B,32768,1.15e+04,153.5%,164.1%,168.6%
GB10,Qwen2.5-7B,512,6.15e+03,115.1%,128.2%,125.2%
GB10,Qwen2.5-7B,1024,7.55e+03,115.0%,120.7%,121.7%
GB10,Qwen2.5-7B,2048,7.74e+03,114.1%,120.9%,124.3%
GB10,Qwen2.5-7B,4096,7.75e+03,110.9%,118.2%,122.6%
GB10,Qwen2.5-7B,8192,7.63e+03,112.2%,113.7%,120.8%
GB10,Qwen2.5-7B,16384,1.35e+03,643.5%,691.3%,90.4%
GB10,Qwen2.5-7B,32768,7.78e+03,111.3%,118.4%,121.5%
GB10,Qwen2.5-14B,512,3.84e+03,114.1%,118.7%,119.7%
GB10,Qwen2.5-14B,1024,4.42e+03,112.8%,113.3%,120.8%
GB10,Qwen2.5-14B,2048,4.38e+03,108.5%,113.8%,115.9%
GB10,Qwen2.5-14B,4096,4.42e+03,107.4%,114.4%,116.3%
GB10,Qwen2.5-14B,8192,4.35e+03,109.6%,116.7%,118.5%
GB10,Qwen2.5-14B,16384,4.40e+03,107.1%,115.0%,116.8%
GB10,Qwen2.5-14B,32768,1.09e+03,427.5%,454.4%,465.9%
