GPU,Model,M,cuSPARSELt 2:4 Throughput (token/s),Eff_2:6,Eff_2:8,Eff_2:10
GB10,BitNet-2B,4096,1.71e+04,116.5%,126.7%,132.0%
GB10,BitNet-2B,8192,1.73e+04,115.9%,126.2%,130.1%
GB10,BitNet-2B,16384,1.75e+04,116.0%,126.4%,128.9%
GB10,BitNet-2B,32768,1.72e+04,118.1%,125.7%,134.1%
GB10,Llama3.2-3B,512,1.39e+04,116.1%,129.3%,132.4%
GB10,Llama3.2-3B,1024,1.53e+04,116.4%,124.1%,125.1%
GB10,Llama3.2-3B,2048,1.51e+04,119.8%,126.4%,127.4%
GB10,Llama3.2-3B,4096,1.44e+04,119.5%,125.9%,128.3%
GB10,Llama3.2-3B,8192,1.45e+04,118.5%,122.2%,128.9%
GB10,Llama3.2-3B,16384,1.47e+04,118.5%,125.0%,128.9%
GB10,Llama3.2-3B,32768,1.46e+04,118.5%,120.8%,130.4%
GB10,Qwen2.5-7B,512,6.35e+03,124.8%,133.5%,132.1%
GB10,Qwen2.5-7B,1024,7.61e+03,108.3%,117.9%,121.4%
GB10,Qwen2.5-7B,2048,7.59e+03,109.1%,117.3%,120.7%
GB10,Qwen2.5-7B,4096,7.34e+03,110.3%,119.7%,121.5%
GB10,Qwen2.5-7B,8192,7.44e+03,110.3%,120.0%,123.6%
GB10,Qwen2.5-7B,16384,7.51e+03,111.5%,120.0%,123.6%
GB10,Qwen2.5-7B,32768,7.63e+03,110.7%,117.9%,121.4%
GB10,Qwen2.5-14B,512,4.10e+03,110.6%,119.8%,120.3%
GB10,Qwen2.5-14B,1024,4.33e+03,106.7%,112.2%,115.5%
GB10,Qwen2.5-14B,2048,4.18e+03,107.6%,115.8%,117.9%
GB10,Qwen2.5-14B,4096,4.27e+03,109.0%,113.5%,115.5%
GB10,Qwen2.5-14B,8192,4.21e+03,110.9%,116.8%,118.9%
GB10,Qwen2.5-14B,16384,1.13e+03,411.7%,434.0%,433.4%
GB10,Qwen2.5-14B,32768,4.15e+03,110.7%,113.8%,117.1%
