"model","pirt_accuracy","theta","n_subset_items","n_all_items","avg_observed","avg_predicted","actual_accuracy","n_items","error","abs_error","squared_error"
"jsfs11/MixtureofMerges-MoE-4x7b-v4",0.711370417812056,1.50553638294245,30,840,0.766666666666667,0.709322408595218,0.708530805687204,844,0.00283961212485206,0.00283961212485206,8.06339701960686e-06
"jsfs11/MixtureofMerges-MoE-4x7b-v5",0.713445654483219,1.5490579361891,30,840,0.8,0.710239937982597,0.719194312796208,844,-0.0057486583129891,0.0057486583129891,3.30470723994986e-05
"jsfs11/MixtureofMerges-MoE-v2",0.694673712307649,1.24719998806212,30,840,0.633333333333333,0.696945578195587,0.703791469194313,844,-0.00911775688666405,0.00911775688666405,8.31334906443098e-05
"kaitchup/Maixtchup-4x7b",0.545031895853916,-0.219259636256194,46,840,0.673913043478261,0.537565229870641,0.562796208530806,844,-0.01776431267689,0.01776431267689,0.000315570804882316
"Karko/Proctora",0.61555175005654,0.466383145870667,30,840,0.7,0.612424037095672,0.637440758293839,844,-0.021889008237299,0.021889008237299,0.000479128681612544
"KoboldAI/Mixtral-8x7B-Holodeck-v1",0.529351763781069,-0.352475149035848,43,840,0.604651162790698,0.525289186419195,0.609004739336493,844,-0.0796529755554241,0.0796529755554241,0.00634459651483298
"Kquant03/Azathoth-16x7B-bf16",0.697037069213171,1.24999994934783,30,840,0.7,0.696927331035881,0.71563981042654,844,-0.018602741213369,0.018602741213369,0.000346061980651578
"Kquant03/Buttercup-4x7B-bf16",0.674868182666708,1.0000083952911,30,840,0.7,0.673937374617327,0.691943127962085,844,-0.017074945295377,0.017074945295377,0.000291553756840117
"Kquant03/Buttercup-V2-bf16",0.697213075287681,1.25005191566056,30,840,0.633333333333333,0.69957899165636,0.716824644549763,844,-0.0196115692620821,0.0196115692620821,0.000384613648921442
"Kquant03/Buttercup-V2-laser",0.695640030075039,1.24949634092728,30,840,0.6,0.699182253411152,0.710900473933649,844,-0.0152604438586099,0.0152604438586099,0.000232881146761785
"Kquant03/CognitiveFusion-4x7B-bf16-MoE",0.620367703665043,0.4983069609102,30,840,0.7,0.617418359356341,0.633886255924171,844,-0.013518552259128,0.013518552259128,0.000182751255182775
"Kquant03/CognitiveFusion2-4x7B-BF16",0.722027818434448,2.27463236082044,500,840,0.678,0.786774610249814,0.720379146919431,844,0.00164867151501702,0.00164867151501702,2.71811776442851e-06
"Kquant03/Cognito-2x7B-bf16",0.697937253496157,1.25040597550359,30,840,0.766666666666667,0.695391719675027,0.712085308056872,844,-0.014148054560715,0.014148054560715,0.000200167447852968
"Kquant03/Eukaryote-8x7B-bf16",0.625261518264546,0.507967768245176,30,840,0.733333333333333,0.621258858447183,0.659952606635071,844,-0.034691088370525,0.034691088370525,0.00120347161233158
"Kquant03/FrankenDPO-4x7B-bf16",0.623343540707991,0.521620595808346,30,840,0.866666666666667,0.614331573079892,0.654028436018957,844,-0.030684895310966,0.030684895310966,0.000941562800244941
"Kquant03/Kaltsit-16x7B-bf16",0.713415084684312,1.54392211816472,30,840,0.833333333333333,0.708973668067681,0.716824644549763,844,-0.003409559865451,0.003409559865451,1.16250984760942e-05
"Kquant03/Nanashi-2x7B-bf16",0.696425565803344,1.24983481474426,30,840,0.7,0.696293179351616,0.71563981042654,844,-0.019214244623196,0.019214244623196,0.000369187196440016
"Kquant03/Prokaryote-8x7B-bf16",0.694210481808371,1.24564174336304,30,840,0.7,0.693996055208681,0.71563981042654,844,-0.021429328618169,0.021429328618169,0.000459216125025479
