"X","a1","d","g","u"
"X129",4.40297803507063,-1.83919262789261,0.0528917769709602,1
"X131",1.50864293467317,5.01286905650059,0.181041923402778,1
"X133",5.3251972310682,-4.01617477984867,0.0235625723154004,1
"X134",-0.97782989285948,-4.68113248470049,0.000553587770410641,1
"X135",0.561423338595193,0.332647957692716,0.00220831479888024,1
"X136",-0.0729624857277517,-2.73641973093793,0.0197435316422121,1
"X137",-2.64285748626907,-8.48877268022207,0.0190014901671019,1
"X139",0.857597527272681,1.45772237127501,0.00838703617708027,1
"X140",0.422409985581458,1.81512248570616,0.0360248572714016,1
"X141",0.0653640408054205,0.739113089814748,0.0286547699734766,1
"X145",3.3360844015694,5.01760572061588,0.392970126645324,1
"X146",-0.968746119204446,-4.00853367635845,0.000219875642700346,1
"X147",1.82813939427392,5.79161749725394,0.336052578058219,1
"X149",1.51834748003492,5.0494056683277,0.350394007470602,1
"X150",3.25781266387239,0.361391800012512,0.23782801380009,1
"X152",4.54746272004662,8.10546202812965,0.207989506900292,1
"X153",3.69000575124055,5.91205968810246,0.063805682353849,1
"X154",2.29746439888016,8.39690907557745,0.179889390684521,1
"X156",7.0785217278153,-0.0923557811053028,0.245003536802598,1
"X157",3.77150313762689,3.18269661593261,0.321926561937544,1
"X159",8.70075036112992,-5.40321328537029,0.196351768856525,1
"X160",-1.07078121210305,-0.835532140257457,0.000579156092549596,1
"X162",1.76365045282301,-0.962013603475936,0.666506422937924,1
"X163",-0.605032434472335,-7.62989315094305,0.000112479907030615,1
"X164",2.97970369434178,3.83325057203931,0.744226668200027,1
"X165",5.00938414095372,6.76926693561103,0.7552698036492,1
"X167",-1.16759589404638,-4.41169900043731,0.000158086219279226,1
"X168",2.13015907279463,5.50595903606542,0.050043561079025,1
"X169",3.139373030348,0.164404004835038,0.346710683066513,1
"X171",1.82138752412916,1.93533838967847,0.608085642202735,1
"X173",-0.710059567845935,-3.99485325107347,0.000184230557946247,1
"X174",-0.273083828961101,-5.37893832406611,0.000152088684767797,1
"X175",1.11694822980147,0.520824024621411,0.000970467814822109,1
"X176",9.23627429393475,-3.21510922246339,0.0471093543900051,1
"X177",2.26356338179008,7.15879965358969,0.133080047563891,1
"X178",-0.554149908906908,-4.38152718969939,0.000198857438891535,1
"X180",3.19436751571,-0.89195663691539,0.121652220302179,1
"X181",1.43896069580265,2.88525079010761,0.234108044168576,1
"X182",1.89036344110464,2.38885159826963,0.716915979328259,1
"X183",4.06932704772788,0.552166407511805,0.45680190388649,1
"X185",4.54075614780963,-1.40501513200816,0.00964560648251659,1
"X186",-0.01815377804636,-2.72308053259282,0.000777149367246912,1
"X187",1.57760918375208,-2.2438158178713,0.035346355980111,1
"X189",2.73181004980053,9.3405906033663,0.193461501926777,1
"X191",8.01735053567664,-6.58659711551189,0.0828246254904716,1
"X193",0.64678515704807,2.9443243020117,0.138607391811799,1
"X195",9.32998669978262,1.60241329079596,0.840603161994553,1
"X196",0.683982390087414,2.41911750800943,0.183365092831172,1
"X197",-0.403302280519661,-1.39464450498267,0.002150334362024,1
"X198",0.828121071343188,3.64554469069668,0.163289685635681,1
"X199",6.08663622468044,-1.86323192906827,0.5909130947232,1
"X200",-0.493946494981022,-1.48548991929701,0.00570109864850902,1
"X201",3.93768579246998,1.70671242255279,0.469957598308846,1
"X202",5.52345195638157,10.8950604146157,0.0141665399763861,1
"X203",3.08243229132126,2.21717449210265,0.47844648291114,1
"X204",13.8272893106467,-8.00484081582337,0.215122885365247,1
"X205",6.06295701025185,-1.65094652755034,0.225615462078722,1
"X206",5.93260261850992,-1.74546581629815,0.683890532953618,1
"X207",-1.05215010251408,-4.78685778756242,0.000190874592901735,1
"X208",0.452201648158526,0.285524567487334,0.0153494532317027,1
"X209",-1.31824374473283,-6.48555824580564,0.000181095098367562,1
"X210",4.31141191490528,0.0557481142630744,0.34571720582435,1
"X211",3.43799500068037,7.03444162875024,0.0476955031401932,1
"X212",3.92325248149354,8.66909587617792,0.294181933540434,1
"X213",3.49296491905177,3.10208443216993,0.792774918336232,1
"X214",1.33437537866632,1.34351689002107,0.0946339117983768,1
"X215",-0.87151436933229,-6.36475866501263,0.00010676288462513,1
"X217",-1.93023342411517,-8.66599822210297,4.99590940574662e-05,1
"X219",-1.29814302917488,-2.73184631180413,0.000207995944292973,1
"X223",1.62330893540005,-1.84710389689358,0.0137638398444571,1
"X224",4.30832764078719,-3.56038784163777,0.0199067686162481,1
"X225",-0.268567440411004,-0.619927718011606,0.00505194171111075,1
"X226",4.72132451927587,7.59465897598676,0.924754455126118,1
"X227",-0.391300023343863,-1.45332353351726,0.0027984078437518,1
"X228",4.09544704239344,4.37875552959938,0.744985961576355,1
"X229",1.53359038694172,-0.579475156616394,0.55080196501769,1
"X230",3.00688939793537,0.853193811815981,0.288506138487839,1
"X231",1.89513966593897,7.34584315312017,0.169979922359069,1
"X232",2.45473694169427,5.43647694478265,0.0605063938992778,1
"X234",3.14459859546258,3.03132942095652,0.614426836879747,1
"X236",5.48582011889865,3.2230863720446,0.575716259967865,1
"X238",9.93014831608377,-8.92866486765802,0.538100814081313,1
"X240",2.92197011161858,3.70547896525111,0.343851678833815,1
"X241",2.43867191048616,6.52514139381426,0.318346177162198,1
"X248",5.83521245471364,5.72861145778756,0.63230099420287,1
"X249",1.03926730900838,4.49863270408436,0.149814857462006,1
"X250",2.32444194754985,6.53178907577003,0.279607515076233,1
"X251",1.73703981864638,3.31255045549925,0.00653683532636745,1
"X252",1.41884517091334,1.65070677801666,0.312089117314935,1
"X253",-1.05724679189887,-6.43235904989921,9.80778847449719e-05,1
"X254",3.41972086303854,2.34018127996331,0.746709455687285,1
"X257",4.07673250556996,7.17925187135738,0.0212071880496696,1
"X259",0.896331204651593,1.20313464365564,0.383758716514867,1
"X261",-2.37262551864732,-9.49689574139731,0.000102376257054799,1
"X263",-0.660040314325556,4.52263163339895,0.14030379831687,1
"X264",2.70915065712694,4.42778035094248,0.451296180128197,1
"X265",-0.354168778667512,-2.98462470727541,0.000599287358341617,1
"X266",2.49687693107676,0.531590746285773,0.379333503074407,1
"X267",2.44044123870236,2.32121755317589,0.745281864367056,1
"X268",2.20463947909513,2.96183210489329,0.0338398133175894,1
"X269",0.846204930313701,3.28258395017318,0.177766456212762,1
"X270",0.57817736931087,4.73785178553844,0.15185392987515,1
"X272",3.75203738459791,-0.607910677311302,0.106644887907177,1
"X273",-1.95882568269466,3.15612378111924,0.00276557236923304,1
"X274",12.9306567023876,-0.979054237306227,0.391519591270935,1
"X275",-1.38676399539112,1.81226128517604,0.00170438367808053,1
"X276",3.54060743091833,-6.21876835928791,0.00677320530704137,1
"X277",-0.231605232481574,-2.1529345796646,0.00262532955413973,1
"X278",11.8846568604119,-7.50980056025128,0.634836360415866,1
"X280",1.4463816567043,-2.92734014869944,0.000213884618260964,1
"X281",0.137302183919338,-1.98508683247265,0.00233193706603278,1
"X282",-0.579006726266101,-0.69390434851971,0.00108911067576595,1
"X285",-1.03158218247093,-2.96297976867704,0.289473810111866,1
"X286",6.84215530405308,-1.28624062274511,0.105634633589347,1
"X287",2.21898009253842,-2.97233486516373,0.00249599187928062,1
"X288",3.18118261247368,1.92635952896313,0.676474229234773,1
"X289",-0.454829786020896,-3.43639385738857,0.00121134448670658,1
"X290",2.44214947915949,0.945601842973611,0.307079300583542,1
"X291",1.72071418568653,5.34099547670255,0.0988351975325939,1
"X292",-0.205186743141779,-2.45072895622036,0.00400024833690456,1
"X293",6.97615883781501,-5.92240869081661,0.0219504983985813,1
"X294",2.5178385318496,7.04001256301715,0.150631949492751,1
"X295",0.768058089190672,3.14966210235312,0.194606511194012,1
"X298",7.05677470619528,-8.42952109007858,0.0531415721029516,1
"X300",3.01511016691875,0.817286761431959,0.133162537896627,1
"X304",2.19638871581936,3.87575155349051,0.118870312620348,1
"X306",4.21966095741187,0.0356730144230678,0.232927727985706,1
"X309",2.59535425474003,1.82925789256837,0.20471353643287,1
"X310",3.06412692526882,1.77386851065793,0.407677376104697,1
"X311",-0.564666235496856,-0.742591294249293,0.000996650758874506,1
"X313",0.492057480563345,1.03256120940935,0.0160499480669535,1
"X316",1.6892945464377,3.82230227428088,0.292550114060714,1
"X318",2.74798228850261,3.21245424618785,0.60293094711731,1
"X319",4.13166156861093,1.97478090895401,0.120812747919208,1
"X322",0.527283202382386,1.12795862238276,0.034241588794201,1
"X323",4.46491832837503,-0.853852612974315,0.152725490816827,1
"X324",-0.857009288061281,-2.98819347119113,0.0011254462922418,1
"X325",8.65695414494204,-10.268445282459,0.0662363655847396,1
"X326",3.97117128173343,2.4804854777298,0.478615547232847,1
"X327",0.162965114335748,-2.56539209347267,0.00830943896430108,1
"X328",1.70804292352062,2.39881609637649,0.00619009111381575,1
"X329",3.82561605203328,6.54391647989909,0.740696120181696,1
"X330",4.96808469536215,-0.660725887582448,0.199895445886858,1
"X331",2.83193056975025,-0.112771049852194,0.136304145613439,1
"X334",4.73135038716867,3.56146141808915,0.645908588203281,1
"X335",3.95546081992794,6.15492623565224,0.420924446834303,1
"X337",4.05921687156842,-0.882107386661031,0.593969245630736,1
"X338",4.92890417600693,-1.07353583583105,0.0452788750310731,1
"X339",-2.53492904340657,-9.80653512028239,0.0013330635635968,1
"X342",-0.396218251209107,-1.79087196804662,0.0015861612745793,1
"X344",2.41277337669011,5.72381022075567,0.161617610422138,1
"X347",2.51067307290614,4.48567783497867,0.122393493097047,1
"X348",2.45921885980005,2.62438788720195,0.475341860910582,1
"X349",-0.980212408453429,-1.79383793702114,0.000346106594677095,1
"X350",-0.61855941390761,-3.67204711127344,0.00105570976619033,1
"X351",-1.21344018616382,-6.47302202900053,0.000983596309455857,1
"X352",-3.02500107969758,-11.3422875958509,4.6585603922495e-05,1
"X353",2.48455374427471,8.23389382981811,0.126175729134517,1
"X355",-0.353581684195379,-6.50133740649518,0.00249247054622745,1
"X356",2.12151154300044,6.76632794318727,0.103689615371205,1
"X357",4.93388562667491,5.22804375715491,0.296288970308752,1
"X358",-0.831478335891752,-0.345929471167737,0.00082476773195439,1
"X359",4.35750150902544,-1.28581438821452,0.362267431394311,1
"X360",2.26473442795604,0.582679710317641,0.0565347082297552,1
"X361",1.37165150497691,1.18307199852233,0.00593321812703942,1
"X362",2.2887335825311,0.55311136601565,0.679610662728002,1
"X363",1.06163311375437,2.93901617286734,0.0295715537985286,1
"X364",7.81906504662459,-2.16285432797794,0.766149810251275,1
"X366",3.27312298245072,-0.426729413058757,0.0274937199105635,1
"X367",1.84095181802214,3.99218677685531,0.741042096062436,1
"X368",-0.00089743259069314,1.65732722356271,0.045408367417924,1
"X369",1.57202224419619,5.54319172789314,0.129063417256185,1
"X370",1.9358800394635,2.27200271626273,0.712678992928953,1
"X372",4.67615622063436,2.34140104394583,0.674651438300733,1
"X373",1.50979547953483,1.87920558575651,0.0414601467921909,1
"X374",2.27524029312212,5.96938191634691,0.169808398632119,1
"X375",3.24286636178994,-0.300775208114261,0.0442352489800794,1
"X376",2.20152060602185,6.61523039867848,0.109101922040532,1
"X377",11.977562573115,-1.89805708347593,0.478428861006831,1
"X378",0.495239104111578,-0.170888869842394,0.00345764089995627,1
"X380",3.92411729752095,4.08791745251636,0.732472622892683,1
"X381",2.39509599308741,6.33658545935352,0.145659712207949,1
"X383",2.76056124954623,-0.260510370613436,0.052279636274087,1
"X384",2.92737849941195,-0.0573707966191662,0.200186278012121,1
"X385",-2.26970723818216,-9.04057681357049,0.00329514416660161,1
"X386",3.55485149906249,-3.02210261801148,0.39847264998566,1
"X387",1.08505851935962,2.89312337961545,0.0607753454169668,1
"X388",3.47304680168473,1.31051216691048,0.801689148629727,1
"X389",1.98865234062497,4.61819479141545,0.325622727121914,1
"X391",8.20375985446691,0.792046059687087,0.234939330661779,1
"X392",1.51087077686123,2.30639160577356,0.0185280794896593,1
"X393",8.48038264812656,-9.3424019671776,0.236728043053796,1
"X394",1.6329362820073,6.26326496657358,0.127520310895764,1
"X395",5.96602268670382,-5.3282856107025,0.0596113849409061,1
"X396",-2.58727082921091,-9.53913667687826,8.97430560396605e-05,1
"X397",9.05315501802123,5.57840617047866,0.81677393465882,1
"X398",4.34203147828172,0.0359530888091479,0.224722912538489,1
"X399",5.55886435706378,3.08590925588198,0.923848027145083,1
"X400",9.77635927449905,5.05575719977807,0.343717492393347,1
"X401",4.20711509178764,2.6695834727948,0.85259326411164,1
"X402",4.46546940711642,6.93477778589151,0.435121924366899,1
"X403",2.53138615936322,5.60833298012706,0.0821576867084906,1
"X404",1.14877005666198,3.4231295417296,0.057612051342744,1
"X406",11.759072399045,-10.297374670025,0.489032339554405,1
"X408",-0.567006484716782,0.000317802289354084,0.00226836153140353,1
"X409",-0.662554903872232,-0.556032860638183,0.000868360795907054,1
"X410",-0.17247727858276,-2.45959553797338,0.00726962766662881,1
"X412",1.43739122365364,4.38152567680736,0.0996109477505692,1
"X413",0.507089718607906,0.244748425332293,0.275432689109508,1
"X414",-0.542504097016277,-0.435198670898089,0.00126604936996325,1
"X415",-2.70529285403519,-10.1913219870741,8.19971539324949e-05,1
"X416",1.30553823351943,1.61074787115133,0.253457893489525,1
"X419",-0.606720540740605,-1.59182834555568,0.000786299367961174,1
"X420",9.49379310757728,-8.22277312718504,0.0139512585907266,1
"X421",3.4580591807847,10.0864762767303,0.136928694819763,1
"X422",0.67980041286556,-4.65023626251072,0.00111731217194102,1
"X423",3.59990409168488,4.53174345542152,0.483231301644218,1
"X424",-0.166392429617621,-6.87895035972029,0.001711471835166,1
"X425",9.63556846722422,-7.00941052604018,0.0303508140954984,1
