file                                 , total          , up             , down           , avg_compute   , node_fail, full_recovery, stack1, stack2, stack3, stack4, stack5, stack6, stack7, stack8, stack9, stack10, stack11, stack12, stack13, stack14, stack15, stack16, stack17, stack18, stack19, stack20, stack21, stack22, stack23, stack24, stack25, stack26, recompute
run_1_dpr_exponential_N1000_r25.log  , 18706811.297735, 18513927.107284,   192884.190452, 6524955.930766,     36705,            28,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_1_dpr_exponential_N1000_r26.log  , 19483582.741731, 19267834.340079,   215748.401651, 6734225.438763,     38018,            30,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_2_dpr_exponential_N200_r2.log    ,  6911301.716569,  2052577.876252,  4858723.840317, 1571715.994046,     22616,           659,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_2_dpr_exponential_N200_r3.log    ,  3991988.036972,  2458995.682122,  1532992.354850, 1773701.347437,     13249,           208,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_2_dpr_exponential_N200_r4.log    ,  4209305.155674,  3142170.108421,  1067135.047253, 2117014.310523,     13688,           143,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_2_dpr_exponential_N200_r5.log    ,  4689670.631765,  3832955.354903,   856715.276862, 2382090.041310,     14974,           115,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_2_dpr_exponential_N200_r6.log    ,  5349002.752767,  4557747.169288,   791255.583479, 2631694.002329,     16704,           105,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_2_dpr_exponential_N200_r7.log    ,  6054118.670841,  5287653.821883,   766464.848958, 2913810.625611,     18266,           102,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_2_dpr_exponential_N200_r8.log    ,  6750185.502672,  6004199.028921,   745986.473751, 3106249.526036,     19522,            99,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_2_dpr_exponential_N200_r9.log    ,  7421689.477503,  6699392.411882,   722297.065621, 3300459.123643,     21129,            99,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_2_dpr_exponential_N200_r10.log   ,  8137662.316568,  7439825.392506,   697836.924062, 3464888.358164,     22147,            94,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_2_dpr_exponential_N200_r11.log   ,  8867367.373997,  8151707.108007,   715660.265990, 3636612.629425,     23437,            95,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_2_dpr_exponential_N200_r12.log   ,  9603003.151686,  8896268.112712,   706735.038973, 3753645.282940,     24669,            94,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_2_dpr_exponential_N600_r2.log    ,  3731416.150594,  1814924.924816,  1916491.225778, 1423279.602441,     12502,           272,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_2_dpr_exponential_N600_r3.log    ,  2991237.450992,  2386779.381438,   604458.069554, 1805620.317258,      9794,            86,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
