"Model_Name","Theta_ATLAS","Theta_WLE","SE","Num_Items","Time_Taken_Sec"
"saucam/Athena-8B",-0.809448617109934,-0.650086923468124,0.098788209180119,30,0.523235559463501
"silvercoder45/Mistral-7b-instruct-v0.2-summ-dpo-e1",-0.487872295690533,-0.385956719801111,0.117312740827756,30,0.618671655654907
"ZoidBB/MultiKory-0.1-4x11b-pre1",1.20137769378,1.1760354562515,0.160147742204653,30,0.497000217437744
"souvik0306/mistral_7b_2epoch_norobots",-0.367786798796195,-0.419976539647923,0.120695830425237,30,0.513160467147827
"CultriX/MistralTrix-v1",1.07615384331165,1.0655813387871,0.155681685853698,30,0.602286338806152
"kyujinpy/Sakura-SOLRCA-Math-Instruct-DPO-v1",0.161039142623742,0.170133378772016,0.132939304642626,30,0.675142526626587
"dreamgen/opus-v1-34b",-0.535197846973853,-0.558271602037591,0.11420067365076,30,0.568794250488281
"LeroyDyer/Mixtral_AI_CyberCoder",-0.93933050288466,-0.960368232035189,0.0945313181146137,30,0.561176300048828
"Nekochu/Luminia-13B-v3",-1.23677312308985,-1.19753350928418,0.0684706404528862,30,0.659162998199463
"TeeZee/DarkSapling-7B-v1.0",-0.378585645466209,-0.366910111718162,0.118394429974326,30,0.665076732635498
"Weyaxi/OpenHermes-2.5-neural-chat-v3-2-Slerp",0.465139081941776,0.478616633391388,0.139313563611281,30,0.630202293395996
"abacusai/MetaMath-Bagel-DPO-34B",-0.432488167508029,-0.288762354650926,0.118173339899114,30,0.688898801803589
"TeeZee/DarkSapling-7B-v1.1",-0.093179797141685,-0.15831605902508,0.126746424957557,30,0.508732080459595
"BarraHome/Wistral-7B-Instruct-v0.3",-0.38671128783075,-0.394243792602383,0.119923119660441,30,0.678551912307739
"rombodawg/Everyone-Coder-4x7b-Base",-0.0693360322844401,-0.0952601842373896,0.12717665493607,30,0.52514123916626
"ndavidson/cisco-iNAM-phi-sft",-1.02686437889102,-1.00519936955432,0.0800252303320491,30,0.605060577392578
"NovoCode/Novocode7b-v3",-0.686752557580888,-0.672822015176886,0.107128038438386,30,0.539062738418579
"Gille/StrangeMerges_41-7B-dare_ties",0.00137555216688954,0.00568380225570147,0.127952370621271,30,0.617197513580322
"venkycs/ZySec-7B-Adapter",-0.229852614718951,-0.260169605556454,0.12290996810567,30,0.701224088668823
"uukuguy/speechless-mistral-hermes-code-7b",-0.514163215930181,-0.581772548948853,0.115353060816071,30,0.622198581695557
"davzoku/frankencria-llama2-11b-v1.3-m.1",-1.33227772172347,-1.20941845156443,0.068866348773853,30,0.578701257705688
"VAGOsolutions/SauerkrautLM-Qwen-32b",-0.651674892594354,-0.967953621281022,0.107156535423686,30,0.810562372207642
"uukuguy/speechless-thoughts-mistral-7b-v1.0",-0.451664529022136,-0.559132490648041,0.116761102273846,30,0.604874134063721
"Sao10K/Frostwind-v2.1-m7",-0.46341756381693,-0.343639266586742,0.119000869690116,30,0.585463285446167
"jambroz/sixtyoneeighty-4x7B-v1",-0.0487907419349767,-0.0626129647274698,0.128149944102904,30,0.809559106826782
"BioMistral/BioMistral-7B",-1.0316647659064,-0.984655078839836,0.0805161745910739,30,0.593525409698486
"ibivibiv/multimaster-7b-v6",1.7679553251221,2.12209180610644,0.205049508042573,30,0.60579252243042
"allknowingroger/JupiterINEX12-12B-MoE",1.47690930013191,1.77156801819155,0.175160596389233,30,0.584734201431274
"nisten/shqiponja-15b-v1",0.0725396367199838,0.252505288137261,0.130653726896712,30,0.572443008422852
"vonjack/phi-3-mini-4k-instruct-llamafied",-0.769837742610202,-0.767846845817664,0.101704598026545,30,0.570936918258667
"Open-Orca/Mixtral-SlimOrca-8x7B",-0.426984925346886,-0.255473083029155,0.11894794447829,30,0.5778489112854
"timdettmers/guanaco-33b-merged",-0.722403509892057,-0.642441281886447,0.104062866845632,30,0.765077114105225
"mlabonne/FrankenMonarch-7B",1.42309321345294,0.758788542657861,0.170779850258006,30,0.529444694519043
"AA051615/A0305a",-0.618641088247701,-0.770215140117868,0.110911261925152,30,0.51878809928894
"maywell/PiVoT-SUS-RP",-0.372925262371663,-0.409072861586315,0.119658397798716,30,0.60367751121521
"TheBloke/orca_mini_v3_7B-GPTQ",-1.26326979228766,-1.16573729059794,0.107073181252635,30,0.519873857498169
"rombodawg/Everyone-LLM-7b-Base",0.124337246562935,0.166680533613279,0.132309742715018,30,0.604928255081177
"ledjo/Gabriel-8x7B-Instruct-v0.1",-0.0439431810806546,-0.101645693154054,0.126566924360505,30,0.579443216323853
"FuseAI/FuseChat-7B-Slerp",0.245808020067235,-0.173572579626867,0.134520168749104,30,0.57326602935791
"JaeyeonKang/CCK-v2.0-DPO",-0.292225267176008,-0.352009296444872,0.121271786099686,30,0.513285160064697
"dawn17/StarlingMaid-2x7B-base",0.321837402246455,0.210433719035158,0.136782445002178,30,0.44310188293457
"jrruethe/balthazar-2x10.7b-v1",-0.149648760565229,-0.402212909388666,0.12827468926395,30,0.503523588180542
"vicgalleorg/OpenHermes-Yi-9B",-0.765159269029535,-0.854233162055914,0.102800811411956,30,0.720747470855713
"DreadPoor/Griffon-7B-Model_Stock",1.47652697076679,1.8102525784152,0.175716831780902,30,0.598244905471802
"cloudyu/Mixtral-8x7B-Instruct-v0.1-DPO",0.0124309231257752,-0.146893393688756,0.131813696307504,30,0.502972841262817
"ShenaoZhang/0.001_4iters_bs256_nodpo_only4w_userresponse_iter_4",-0.0534704090602845,-0.337403829202388,0.12760655139948,30,0.785147666931152
"TeeZee/GALAXY_v03_slimorca_1_epoch_50k_DPO_1_epoch_30k",-0.538260512070138,-0.415135203114111,0.115399908764022,30,0.803745269775391
"hfl/chinese-mixtral-instruct",-0.235113818633246,-0.313783042620833,0.125607746903476,30,0.794232130050659
