"Elevation","TSeason","PSeason","swe","scd","awc","clay","sand","coarse","bulk_density","aspect","slope","tri","dist2fw","dist2cst","dr","As","Cd","Co","Cr","Hg","Mn","Ni","Pb","Sb","Zn","copper","erosion","pH_H2O","OC","CaCO3","P","N","K","parmado_bin"
1.04325888389354e-132,7.37931079537547e-91,6.0330250351352e-16,0,0,0,0,0,1.19297289353982e-151,1.43209938968562e-301,0.00526804368901976,0,1.38139069520095e-300,2.0207099533683e-58,0.0216436649878265,6.59899019264057e-199,0,1.22280843070903e-176,0,0,9.28243381094543e-37,0,NA,0,0,0,0,3.14579854233622e-12,0,9.99316118772106e-17,2.22063372896324e-242,1.92169880724117e-105,2.27407814772926e-53,0,0
7.07093540792156e-67,0,4.37719416604501e-302,0,0,0,0,0,1.41390081292084e-124,0,0.160204254317795,0,0,1.54900501358691e-41,0.0786981906846745,5.54489459017366e-247,0,0,0,0,0,0,0,NA,0,0,0,0.00714317542729928,1.21709473532181e-22,6.2105958505558e-152,1.1531155258592e-13,5.16560661740472e-17,0,0,0
0,0,7.04625122875564e-16,0,0,0,0,3.0160984949263e-298,7.96087833952696e-268,1.26046167952902e-279,0.0778305623395856,0,0,1.16454874475752e-108,1.06635658847996e-24,0,0,0,0,0,2.2190507337067e-42,0,0,0,NA,0,0,2.02326564002736e-07,0,8.08491038354192e-07,1.5840936009147e-288,2.0124124166353e-100,9.67857559732938e-39,0,0
7.38082984280415e-199,6.25679516778816e-272,2.71404020690236e-76,0,0,0,0,0,2.79873277883326e-220,0,0.0404839357020796,0,0,5.36262670827893e-93,2.67614737177055e-10,1.42217229137895e-293,0,2.5485941299376e-219,0,0,7.69271336154181e-269,0,0,0,0,NA,0,1.77155756291081e-11,0,9.98974336791404e-38,4.38567217526183e-110,1.69532722797803e-30,0,0,0
3.11581243715601e-110,4.02241829789369e-173,9.68518644606264e-18,0,0,0,0,0,2.57188547023237e-233,0,0.912184840519523,0,0,1.4015053144915e-108,1.56314242813763e-109,9.72963565486664e-269,0,5.88727303597789e-150,0,0,1.74439104138042e-74,0,0,0,0,0,NA,1.890581195552e-18,0,0.367984588220175,0,1.42445251350824e-88,2.04720825208201e-92,0,0
4.59197389894474e-08,0.0130530445364455,8.02168397658528e-08,3.28562980625631e-21,8.34292384322522e-21,7.8857082427198e-08,4.7466795039645e-14,0.000194654937210231,0.184047346201181,0.0226419520994638,0.00134484741605075,0.00246921453574973,0.000465082010474493,0.026556448337827,0.015601577661441,0.0126371488604771,2.98021144615934e-10,0.00291598349378586,1.95930701898973e-13,3.03020247769497e-10,2.97196203374338e-13,1.77827180932429e-18,3.14579854233651e-12,0.00714317542729907,2.02326564002737e-07,1.77155756291083e-11,1.89058119555212e-18,NA,4.2231664820813e-31,3.27669665743809e-19,2.37301561138995e-15,0.85431949102645,1.10889115251604e-06,1.45258447645259e-14,2.95692392584726e-29
9.91857713365803e-66,2.54683628348682e-79,7.30816355529534e-59,0,0,0,0,1.55141206333844e-209,9.80165152385786e-26,1.94531740572403e-26,0.139683009626093,2.85471283190689e-19,3.47192940925947e-22,0.575163667813407,0.0850402080035792,1.99824001425512e-144,0,6.97826354875091e-05,0,0,0,0,0,1.21709473532104e-22,0,0,0,4.2231664820813e-31,NA,0,0,1.99424558331394e-69,0,0,0
0.027035975590451,0.46644368301686,5.50709126974134e-116,0,0,4.6069794006145e-39,1.40166997066213e-145,1.1232726160103e-308,1.13312782110827e-47,0,0.771533945321177,1.19275517675771e-187,7.69726268275267e-162,5.51032684585377e-40,1.07771423039123e-124,1.38340916911704e-27,7.43568729332772e-15,2.99406964300844e-158,7.82152256080424e-15,0.257107508840116,0,5.56513436521148e-96,9.99316118772196e-17,6.2105958505645e-152,8.08491038354008e-07,9.98974336792023e-38,0.367984588220173,3.27669665743782e-19,0,NA,3.15801600454929e-96,8.52264240329104e-54,0,1.06412362087186e-54,5.46415118587752e-263
3.227645188927e-170,5.94509556187256e-44,6.09035895769471e-71,0,0,0,0,1.18884154933979e-266,1.98458911087943e-124,1.1187985469776e-07,0.140265132747878,2.64075683977659e-23,1.85838120853959e-29,6.60182702616581e-16,1.46053377473391e-19,7.51277164740076e-39,0,1.35245561132763e-22,2.11982208810727e-176,2.01058514506883e-173,1.54532379648458e-235,2.10546760495613e-211,2.22063372896954e-242,1.15311552585896e-13,1.58409360091593e-288,4.38567217526497e-110,0,2.37301561139e-15,0,3.15801600454765e-96,NA,1.32969919245154e-90,6.76396084900899e-32,0,0
0,1.17707778585598e-96,5.42187639746184e-320,4.29787965249976e-11,2.23588024252771e-09,1.06948059990971e-133,6.22986187368007e-77,5.95738269704958e-05,5.28844999095929e-96,8.65004967731583e-100,0.00101891005197904,0,0,1.52830346752409e-47,0.00846998990158572,0.0624950077613004,2.02588966000967e-20,8.35964238130935e-49,2.42364275969245e-206,4.52464615099866e-65,3.75504011268443e-66,3.65482561351671e-56,1.92169880723849e-105,5.16560661740612e-17,2.0124124166324e-100,1.6953272279772e-30,1.42445251350632e-88,0.854319491026469,1.99424558330818e-69,8.52264240326639e-54,1.32969919244963e-90,NA,7.50378658667285e-159,9.35489445360907e-256,1.1772273516198e-183
