"model","pirt_accuracy","theta","n_subset_items","n_all_items","avg_observed","avg_predicted"
"uukuguy/speechless-thoughts-mistral-7b",0.640525930440611,-0.435128581760359,30,839,0.566666666666667,0.643264840098483
"RatanRohith/NeuralPizza-WestSeverus-7B-Merge-slerp",0.789459639281748,1.41286679346774,30,839,0.7,0.792777054829897
"nbeerbower/bophades-mistral-7B",0.762272281218668,0.908954142578451,30,839,0.533333333333333,0.770761982623563
"Xenon1/Xenon-3",0.587799393328602,-0.792524892767084,30,839,0.5,0.591055242277746
"CohereForAI/c4ai-command-r-plus",0.653626184334683,-0.351638326471198,30,839,0.7,0.651906512554758
"jingyeom/KoSoLAR-10.7B-v0.2_1.4_dedup",0.596122350171235,-0.743750924084915,30,839,0.566666666666667,0.597214649930366
"nbeerbower/HeroBophades-2x7B",0.823284210741552,2.93699669060506,76,839,0.697368421052632,0.835826281536254
"allknowingroger/mergekit-slerp-zplzqvn",0.820287457582557,3.01952476805368,89,839,0.674157303370786,0.837628235882353
"jukofyork/Dark-Miqu-70B",0.687839250662419,-0.0367218728126636,30,839,0.566666666666667,0.692332671576971
"ZhangShenao/0.0005_llama_4iters_bs128_5551lr_iter_2",0.610717402031135,-0.654986913688601,30,839,0.466666666666667,0.6160592092758
"yunconglong/10.7Bx2_DPO_200",0.698571022332369,0.0668929008986526,30,839,0.533333333333333,0.704698501528872
"922CA/Silicon-Monika-7b",0.678972258602547,-0.112607852679275,30,839,0.5,0.685609054348006
"senseable/garten2-7b",0.742413506853417,0.598084400459019,30,839,0.566666666666667,0.74893069499384
"NovoCode/Mistral-NeuralDPO-v0.2",0.691401578376577,0.00167321404661168,30,839,0.566666666666667,0.696027100442458
"ZhangShenao/0.0005_llama_4iters_bs128_5551lr_iter_1",0.59952861370085,-0.727245030156464,30,839,0.466666666666667,0.604455509140931
"ResplendentAI/Aura_L3_8B",0.59338541314292,-0.757658546407692,30,839,0.5,0.596848407449827
"lodrick-the-lafted/Grafted-Hermetic-Platypus-C-2x7B",0.618020904631869,-0.600668584386168,30,839,0.5,0.622397452393249
"Kukedlc/NeuTrixOmniBe-7B-model-remix",0.823327601578157,2.8795551955236,60,839,0.716666666666667,0.831542821211904
"walebadr/Mistral-7B-v0.1-DPO",0.437501806820409,-1.5016416951987,30,839,0.333333333333333,0.441364667394713
"mergedlm/zephyrnotus-11b-alpha",0.664191472583239,-0.249097968315406,30,839,0.466666666666667,0.671516249069638
"FelixChao/Capricorn-7B",0.795360524994119,1.52783234169057,30,839,0.733333333333333,0.797660668071775
"Joseph717171/Mistral-12.25B-v0.2",0.598389581302555,-0.727302457196356,30,839,0.566666666666667,0.59956595638176
"louisgrc/Montebello_7B_SLERP",0.824398036024643,2.97700375065609,78,839,0.730769230769231,0.833994680978549
"arcee-ai/Clown-DPO-Extended",0.821787734946533,2.72333883926726,42,839,0.69047619047619,0.828707540301306
