"model","pirt_accuracy","theta","n_subset_items","n_all_items","avg_observed","avg_predicted","actual_accuracy","n_items","error","abs_error","squared_error"
"Gille/StrangeMerges_2-7B-slerp",0.708983069071587,0.208611208952384,87,839,0.551724137931034,0.727176589030667,0.623222748815166,844,0.085760320256421,0.085760320256421,0.00735483253048389
"Gille/StrangeMerges_22-7B-slerp",0.757496106576852,2.68924761773915,500,839,0.674,0.880646706247725,0.718009478672986,844,0.0394866279038659,0.0394866279038659,0.00155919378321836
"Gille/StrangeMerges_24-7B-slerp",0.760917425956757,2.79136346451934,500,839,0.678,0.883214514388551,0.721563981042654,844,0.0393534449141031,0.0393534449141031,0.00154869362660735
"Gille/StrangeMerges_36-7B-slerp",0.75822019065745,2.15476285393759,500,839,0.692,0.855890088382303,0.714454976303318,844,0.0437652143541321,0.0437652143541321,0.00191539398746313
"Gille/StrangeMerges_4-7B-slerp",0.735419189657191,0.524728973034295,122,839,0.614754098360656,0.755950767255764,0.657582938388626,844,0.077836251268565,0.077836251268565,0.00605848201154318
"Gille/StrangeMerges_41-7B-dare_ties",0.687876020967589,-0.0177902042609699,69,839,0.579710144927536,0.697568807262087,0.605450236966825,844,0.0824257840007641,0.0824257840007641,0.00679400986814061
"google/codegemma-7b",0.545297748458673,-1.02029476086685,30,839,0.566666666666667,0.544505328747622,0.447867298578199,844,0.0974304498804739,0.0974304498804739,0.00949269256391155
"GreenNode/GreenNodeLM-7B-v4leo",0.741395563863645,1.00131125502212,500,839,0.718,0.775902295225953,0.683649289099526,844,0.057746274764119,0.057746274764119,0.00333463224913312
"HanNayeoniee/LHK",0.65251911796028,-0.354481196451624,53,839,0.60377358490566,0.655806030494498,0.611374407582938,844,0.0411447103773419,0.0411447103773419,0.00169288719203535
"hfl/chinese-mixtral-instruct",0.649412225927862,-0.359948139601639,53,839,0.547169811320755,0.656306434546407,0.626777251184834,844,0.022634974743028,0.022634974743028,0.000512342081617516
"hon9kon9ize/CantoneseLLMChat-preview20240326",0.545953006991624,-1.01606853145633,30,839,0.566666666666667,0.545184886113686,0.42654028436019,844,0.119412722631434,0.119412722631434,0.0142593983262518
"ibivibiv/multimaster-7b-v4",0.749924380633119,2.00573305170084,500,839,0.688,0.841258275372232,0.703791469194313,844,0.0461329114388059,0.0461329114388059,0.00212824551782071
"ibivibiv/multimaster-7b-v5",0.748414844750432,1.71297532258316,500,839,0.7,0.819823170341041,0.699052132701422,844,0.04936271204901,0.04936271204901,0.00243667734083348
"ibivibiv/multimaster-7b-v6",0.748720750010166,2.09079273818066,500,839,0.678,0.853028640880618,0.704976303317536,844,0.04374444669263,0.04374444669263,0.00191357661644435
"ibivibiv/orthorus-125b-moe",0.63033461439488,-0.511456690239871,44,839,0.613636363636364,0.631258794311075,0.622037914691943,844,0.008296699702937,0.008296699702937,6.8835225960715e-05
"ibivibiv/orthorus-125b-v2",0.69978997160127,0.0485351230203246,75,839,0.64,0.705659405986212,0.696682464454976,844,0.00310750714629404,0.00310750714629404,9.65660066426854e-06
"ibivibiv/strix-rufipes-70b",0.682858770681578,-0.0858598145600415,64,839,0.59375,0.690217430453993,0.669431279620853,844,0.0134274910607249,0.0134274910607249,0.000180297516185848
"icefog72/IceCoffeeTest11",0.75206682550671,0.932811731846203,344,839,0.709302325581395,0.781785993131574,0.682464454976303,844,0.069602370530407,0.069602370530407,0.00484448998345206
"icefog72/IceCoffeeTest8",0.745432566340333,0.526820210542938,123,839,0.682926829268293,0.756170283742374,0.656398104265403,844,0.0890344620749299,0.0890344620749299,0.00792713543697214
"icefog72/IceLatteRP-7b",0.756192352183243,0.75320760023652,176,839,0.6875,0.774427426065974,0.671800947867299,844,0.0843914043159439,0.0843914043159439,0.00712190912241712
"icefog72/Kunokukulemonchini-7b",0.71140266691771,0.217120664146497,88,839,0.568181818181818,0.728184870231637,0.623222748815166,844,0.088179918102544,0.088179918102544,0.00777569795657137
"indischepartij/MiaLatte-Indo-Mistral-7b",0.693547219571646,0.0234787695665427,72,839,0.597222222222222,0.70258946182609,0.619668246445498,844,0.073878973126148,0.073878973126148,0.0054581026701741
"Inv/Dykh-Tau-7B",0.665070328581143,-0.236846752618343,56,839,0.553571428571429,0.673044707125899,0.577014218009479,844,0.088056110571664,0.088056110571664,0.00775387860900911
"itsliupeng/Mixtral-8x7B-v0.1-top3",0.633400177383729,-0.483293582044144,48,839,0.479166666666667,0.642759480183247,0.619668246445498,844,0.013731930938231,0.013731930938231,0.000188565927292346
"JaeyeonKang/CCK-v2.0-DPO",0.660689044934125,-0.282616759173539,55,839,0.545454545454545,0.668773097831289,0.605450236966825,844,0.0552388079673,0.0552388079673,0.00305132590564824
"jambroz/sixtyoneeighty-4x7B-v1",0.685744406659162,-0.0287759915024032,69,839,0.565217391304348,0.696544879463685,0.595971563981043,844,0.089772842678119,0.089772842678119,0.00805916328251031
"jan-hq/komodo-7b-chat",0.493264215383748,-1.25812211385043,30,839,0.466666666666667,0.494250527449894,0.402843601895735,844,0.090420613488013,0.090420613488013,0.00817588734354864
"JCX-kcuf/openchat_3.5-gpt-4-80k",0.685108849739169,-0.0416144583791141,68,839,0.573529411764706,0.694949837783609,0.571090047393365,844,0.114018802345804,0.114018802345804,0.0130002872883715
"jefferylovely/AiMaven-Merkaba-7b",0.756150142366357,2.7986340272719,500,839,0.67,0.883215249101397,0.716824644549763,844,0.039325497816594,0.039325497816594,0.00154649477852294
"jeiku/Eros_Prodigadigm_7B",0.730016764987337,0.438668097447733,110,839,0.609090909090909,0.748263464779665,0.631516587677725,844,0.098500177309612,0.098500177309612,0.00970228493002501
"jeiku/Garbage_9B",0.667823428710159,-0.225438555541549,57,839,0.578947368421053,0.674301607017677,0.578199052132701,844,0.089624376577458,0.089624376577458,0.00803252887689801
"jingyeom/freeze_KoSoLAR-10.7B-v0.2_1.4_dedup",0.575671754104594,-0.862682187557619,30,839,0.633333333333333,0.573533500239499,0.51303317535545,844,0.062638578749144,0.062638578749144,0.00392359154771272
"jingyeom/KoSoLAR-10.7B-v0.2_1.4_dedup",0.594693265337191,-0.752414558483972,34,839,0.529411764705882,0.597450496419755,0.531990521327014,844,0.0627027440101771,0.0627027440101771,0.00393163410640579
"jisukim8873/mistralai-case-0-1",0.633550073932479,-0.489201393038558,46,839,0.565217391304348,0.637513886543947,0.535545023696682,844,0.098005050235797,0.098005050235797,0.00960498987172109
"jondurbin/nontoxic-bagel-34b-v0.2",0.703025287316893,0.0935601021290891,80,839,0.625,0.711249296520255,0.690758293838863,844,0.01226699347803,0.01226699347803,0.000150479128990029
"Joseph717171/Cerebrum-1.0-10.7B",0.627830275581584,-0.523877578901942,43,839,0.558139534883721,0.631594976398178,0.537914691943128,844,0.089915583638456,0.089915583638456,0.00808481218104417
"Joseph717171/Mistral-12.25B-v0.2",0.596657528024652,-0.736987300225385,34,839,0.558823529411765,0.598255485730041,0.503554502369668,844,0.093103025654984,0.093103025654984,0.0086681733861126
